,game_dt,s,team_name
103995,19970505,5,Anaheim  Angels
103996,19970506,-4,Anaheim  Angels
103997,19970507,-3,Anaheim  Angels
104035,19970816,-1,Anaheim  Angels
104036,19970817,-1,Anaheim  Angels
104037,19970818,-1,Anaheim  Angels
104070,19970429,1,Anaheim  Angels
104071,19970430,-9,Anaheim  Angels
104113,19970725,1,Anaheim  Angels
104114,19970725,3,Anaheim  Angels
104115,19970726,-1,Anaheim  Angels
104116,19970727,-1,Anaheim  Angels
104155,19970503,1,Anaheim  Angels
104156,19970503,-2,Anaheim  Angels
104157,19970504,-2,Anaheim  Angels
104195,19970812,-3,Anaheim  Angels
104196,19970813,-3,Anaheim  Angels
104385,19970411,-12,Anaheim  Angels
104386,19970413,5,Anaheim  Angels
104435,19970728,2,Anaheim  Angels
104436,19970728,3,Anaheim  Angels
104437,19970729,5,Anaheim  Angels
104438,19970730,3,Anaheim  Angels
104504,19970630,-4,Anaheim  Angels
104505,19970701,3,Anaheim  Angels
104570,19970526,-6,Anaheim  Angels
104571,19970527,-4,Anaheim  Angels
104616,19970904,-1,Anaheim  Angels
104617,19970905,-5,Anaheim  Angels
104618,19970906,-2,Anaheim  Angels
104619,19970907,1,Anaheim  Angels
104796,19970419,-4,Anaheim  Angels
104797,19970420,10,Anaheim  Angels
104820,19970609,7,Anaheim  Angels
104821,19970610,4,Anaheim  Angels
104822,19970611,-5,Anaheim  Angels
104906,19970617,-1,Anaheim  Angels
104907,19970618,-2,Anaheim  Angels
104966,19970509,-1,Anaheim  Angels
104967,19970510,-1,Anaheim  Angels
104968,19970511,-3,Anaheim  Angels
105006,19970814,4,Anaheim  Angels
105007,19970815,2,Anaheim  Angels
105037,19970416,-2,Anaheim  Angels
105038,19970417,-1,Anaheim  Angels
105061,19970605,3,Anaheim  Angels
105062,19970606,-2,Anaheim  Angels
105063,19970607,-5,Anaheim  Angels
105064,19970608,2,Anaheim  Angels
105196,19970414,4,Anaheim  Angels
105197,19970415,1,Anaheim  Angels
105240,19970722,-7,Anaheim  Angels
105241,19970723,-1,Anaheim  Angels
105375,19970528,4,Anaheim  Angels
105376,19970529,6,Anaheim  Angels
105392,19970710,4,Anaheim  Angels
105393,19970711,10,Anaheim  Angels
105394,19970712,3,Anaheim  Angels
105395,19970713,2,Anaheim  Angels
105662,19970828,-7,Anaheim  Angels
105663,19970829,2,Anaheim  Angels
105714,19970626,-3,Anaheim  Angels
105715,19970627,-7,Anaheim  Angels
105716,19970628,5,Anaheim  Angels
105717,19970629,-1,Anaheim  Angels
105754,19970923,-1,Anaheim  Angels
105755,19970924,6,Anaheim  Angels
105827,19970830,-4,Anaheim  Angels
105828,19970831,3,Anaheim  Angels
105959,19970623,1,Anaheim  Angels
105960,19970624,1,Anaheim  Angels
105961,19970625,-1,Anaheim  Angels
105999,19970919,6,Anaheim  Angels
106000,19970920,1,Anaheim  Angels
106001,19970921,3,Anaheim  Angels
106022,19970523,10,Anaheim  Angels
106023,19970524,2,Anaheim  Angels
106024,19970525,-1,Anaheim  Angels
106075,19970908,-2,Anaheim  Angels
106076,19970909,-2,Anaheim  Angels
106190,19980609,2,Anaheim  Angels
106191,19980610,-8,Anaheim  Angels
106192,19980611,5,Anaheim  Angels
106338,19980427,2,Anaheim  Angels
106339,19980428,1,Anaheim  Angels
106397,19980911,-5,Anaheim  Angels
106398,19980912,-1,Anaheim  Angels
106399,19980913,-5,Anaheim  Angels
106419,19980429,-4,Anaheim  Angels
106420,19980430,5,Anaheim  Angels
106468,19980828,1,Anaheim  Angels
106469,19980829,-5,Anaheim  Angels
106470,19980830,2,Anaheim  Angels
106500,19980512,-3,Anaheim  Angels
106501,19980513,5,Anaheim  Angels
106543,19980808,-2,Anaheim  Angels
106544,19980808,-1,Anaheim  Angels
106545,19980809,9,Anaheim  Angels
106733,19980410,-3,Anaheim  Angels
106734,19980411,-3,Anaheim  Angels
106735,19980412,11,Anaheim  Angels
106802,19980901,-1,Anaheim  Angels
106803,19980902,8,Anaheim  Angels
106910,19980516,2,Anaheim  Angels
106911,19980517,-1,Anaheim  Angels
106912,19980518,-9,Anaheim  Angels
106952,19980810,4,Anaheim  Angels
106953,19980811,1,Anaheim  Angels
106954,19980812,1,Anaheim  Angels
107165,19980601,3,Anaheim  Angels
107166,19980602,2,Anaheim  Angels
107186,19980724,-1,Anaheim  Angels
107187,19980725,1,Anaheim  Angels
107188,19980726,-5,Anaheim  Angels
107189,19980727,5,Anaheim  Angels
107250,19980624,-1,Anaheim  Angels
107251,19980625,1,Anaheim  Angels
107404,19980529,2,Anaheim  Angels
107405,19980530,-7,Anaheim  Angels
107406,19980531,1,Anaheim  Angels
107425,19980721,-2,Anaheim  Angels
107426,19980722,2,Anaheim  Angels
107427,19980723,1,Anaheim  Angels
107545,19980415,-3,Anaheim  Angels
107599,19980824,4,Anaheim  Angels
107600,19980825,1,Anaheim  Angels
107601,19980826,2,Anaheim  Angels
107602,19980826,-1,Anaheim  Angels
107603,19980827,-1,Anaheim  Angels
107749,19980713,-3,Anaheim  Angels
107750,19980714,-4,Anaheim  Angels
107781,19980924,4,Anaheim  Angels
107782,19980925,-5,Anaheim  Angels
107783,19980926,-1,Anaheim  Angels
107784,19980927,2,Anaheim  Angels
107983,19980626,-3,Anaheim  Angels
107984,19980627,-4,Anaheim  Angels
107985,19980628,8,Anaheim  Angels
108056,19980603,7,Anaheim  Angels
108057,19980604,4,Anaheim  Angels
108069,19980709,-2,Anaheim  Angels
108070,19980710,2,Anaheim  Angels
108071,19980711,-2,Anaheim  Angels
108072,19980712,3,Anaheim  Angels
108280,19980424,7,Anaheim  Angels
108281,19980425,6,Anaheim  Angels
108282,19980426,1,Anaheim  Angels
108346,19980914,2,Anaheim  Angels
108347,19980915,-7,Anaheim  Angels
108386,19980612,4,Anaheim  Angels
108387,19980613,12,Anaheim  Angels
