,game_dt,s,team_name
106253,19980422,-3,Arizona  Diamondbacks
106254,19980423,-2,Arizona  Diamondbacks
106255,19980424,-1,Arizona  Diamondbacks
106615,19980630,1,Arizona  Diamondbacks
106616,19980701,-2,Arizona  Diamondbacks
106617,19980702,-1,Arizona  Diamondbacks
106630,19980803,1,Arizona  Diamondbacks
106631,19980804,-2,Arizona  Diamondbacks
106632,19980805,3,Arizona  Diamondbacks
106686,19980616,4,Arizona  Diamondbacks
106687,19980617,3,Arizona  Diamondbacks
106688,19980618,2,Arizona  Diamondbacks
106721,19980911,-12,Arizona  Diamondbacks
106722,19980912,-3,Arizona  Diamondbacks
106723,19980913,5,Arizona  Diamondbacks
106838,19980601,2,Arizona  Diamondbacks
106839,19980602,6,Arizona  Diamondbacks
106840,19980603,-1,Arizona  Diamondbacks
106841,19980604,-3,Arizona  Diamondbacks
106890,19980922,2,Arizona  Diamondbacks
106891,19980923,-3,Arizona  Diamondbacks
106988,19980425,1,Arizona  Diamondbacks
106989,19980426,-6,Arizona  Diamondbacks
107001,19980520,4,Arizona  Diamondbacks
107002,19980521,2,Arizona  Diamondbacks
107097,19980703,-1,Arizona  Diamondbacks
107098,19980704,3,Arizona  Diamondbacks
107099,19980705,-3,Arizona  Diamondbacks
107218,19980407,-8,Arizona  Diamondbacks
107219,19980408,3,Arizona  Diamondbacks
107220,19980409,-5,Arizona  Diamondbacks
107266,19980724,-2,Arizona  Diamondbacks
107267,19980725,2,Arizona  Diamondbacks
107268,19980726,-2,Arizona  Diamondbacks
107356,19980731,6,Arizona  Diamondbacks
107357,19980801,1,Arizona  Diamondbacks
107358,19980802,-5,Arizona  Diamondbacks
107475,19980501,-3,Arizona  Diamondbacks
107476,19980502,-1,Arizona  Diamondbacks
107477,19980503,-3,Arizona  Diamondbacks
107525,19980807,2,Arizona  Diamondbacks
107526,19980808,-2,Arizona  Diamondbacks
107527,19980809,-6,Arizona  Diamondbacks
107640,19980504,2,Arizona  Diamondbacks
107641,19980505,-8,Arizona  Diamondbacks
107642,19980506,-6,Arizona  Diamondbacks
107692,19980822,-5,Arizona  Diamondbacks
107693,19980823,1,Arizona  Diamondbacks
107694,19980824,4,Arizona  Diamondbacks
107733,19980605,-1,Arizona  Diamondbacks
107734,19980606,-5,Arizona  Diamondbacks
107735,19980607,8,Arizona  Diamondbacks
107803,19980507,-3,Arizona  Diamondbacks
107804,19980508,-2,Arizona  Diamondbacks
107805,19980510,-3,Arizona  Diamondbacks
107848,19980820,-10,Arizona  Diamondbacks
107849,19980820,3,Arizona  Diamondbacks
107850,19980821,-1,Arizona  Diamondbacks
107936,19980901,1,Arizona  Diamondbacks
107937,19980902,1,Arizona  Diamondbacks
107938,19980903,1,Arizona  Diamondbacks
107950,19980410,-2,Arizona  Diamondbacks
107951,19980411,-7,Arizona  Diamondbacks
107952,19980412,-2,Arizona  Diamondbacks
107953,19980413,-1,Arizona  Diamondbacks
107991,19980722,-6,Arizona  Diamondbacks
107992,19980723,-3,Arizona  Diamondbacks
108130,19980528,1,Arizona  Diamondbacks
108131,19980529,-2,Arizona  Diamondbacks
108132,19980530,-3,Arizona  Diamondbacks
108133,19980531,-3,Arizona  Diamondbacks
108155,19980720,-2,Arizona  Diamondbacks
108156,19980721,2,Arizona  Diamondbacks
108195,19980414,-10,Arizona  Diamondbacks
108196,19980416,-1,Arizona  Diamondbacks
108197,19980416,6,Arizona  Diamondbacks
108220,19980619,-5,Arizona  Diamondbacks
108221,19980620,-2,Arizona  Diamondbacks
108222,19980621,-1,Arizona  Diamondbacks
108393,19980622,6,Arizona  Diamondbacks
108394,19980623,-11,Arizona  Diamondbacks
108541,19990611,10,Arizona  Diamondbacks
108542,19990612,-1,Arizona  Diamondbacks
108543,19990613,2,Arizona  Diamondbacks
108681,19990409,-1,Arizona  Diamondbacks
