,game_dt,s,team_name
661,19220610,-5,Boston  Red Sox
662,19220612,-1,Boston  Red Sox
663,19220613,-5,Boston  Red Sox
679,19220725,-2,Boston  Red Sox
680,19220726,2,Boston  Red Sox
681,19220727,-1,Boston  Red Sox
682,19220728,-1,Boston  Red Sox
706,19220917,1,Boston  Red Sox
707,19220918,-7,Boston  Red Sox
888,19220614,-3,Boston  Red Sox
889,19220615,5,Boston  Red Sox
890,19220616,2,Boston  Red Sox
891,19220617,-1,Boston  Red Sox
914,19220806,-1,Boston  Red Sox
915,19220807,-7,Boston  Red Sox
916,19220808,9,Boston  Red Sox
917,19220809,-4,Boston  Red Sox
931,19220919,-3,Boston  Red Sox
932,19220919,-1,Boston  Red Sox
1044,19220428,-7,Boston  Red Sox
1045,19220429,3,Boston  Red Sox
1046,19220430,1,Boston  Red Sox
1047,19220501,3,Boston  Red Sox
1048,19220502,-6,Boston  Red Sox
1069,19220601,-1,Boston  Red Sox
1070,19220603,4,Boston  Red Sox
1089,19220723,-4,Boston  Red Sox
1106,19220905,1,Boston  Red Sox
1107,19220905,1,Boston  Red Sox
1108,19220906,-7,Boston  Red Sox
1112,19220422,6,Boston  Red Sox
1132,19220627,-2,Boston  Red Sox
1133,19220627,-2,Boston  Red Sox
1134,19220628,2,Boston  Red Sox
1135,19220629,-7,Boston  Red Sox
1136,19220630,3,Boston  Red Sox
1170,19220829,-1,Boston  Red Sox
1171,19220830,1,Boston  Red Sox
1172,19220831,3,Boston  Red Sox
1173,19220901,-1,Boston  Red Sox
1395,19220701,-5,Boston  Red Sox
1396,19220704,1,Boston  Red Sox
1610,19250520,-3,Boston  Red Sox
1611,19250521,2,Boston  Red Sox
1612,19250523,7,Boston  Red Sox
1635,19250718,-8,Boston  Red Sox
1636,19250720,-2,Boston  Red Sox
1637,19250720,3,Boston  Red Sox
1638,19250721,3,Boston  Red Sox
1639,19250721,-5,Boston  Red Sox
1642,19250818,-2,Boston  Red Sox
1643,19250819,-2,Boston  Red Sox
1644,19250820,-4,Boston  Red Sox
1813,19250512,-5,Boston  Red Sox
