,game_dt,s,team_name
75,19210413,1,Brooklyn  Dodgers
76,19210414,-7,Brooklyn  Dodgers
77,19210415,-1,Brooklyn  Dodgers
78,19210416,-6,Brooklyn  Dodgers
91,19210530,-6,Brooklyn  Dodgers
92,19210530,-1,Brooklyn  Dodgers
93,19210531,2,Brooklyn  Dodgers
94,19210601,1,Brooklyn  Dodgers
115,19210927,-3,Brooklyn  Dodgers
116,19210927,8,Brooklyn  Dodgers
117,19210928,4,Brooklyn  Dodgers
131,19210603,-5,Brooklyn  Dodgers
132,19210604,1,Brooklyn  Dodgers
133,19210605,2,Brooklyn  Dodgers
134,19210606,3,Brooklyn  Dodgers
153,19210726,3,Brooklyn  Dodgers
154,19210727,8,Brooklyn  Dodgers
155,19210728,1,Brooklyn  Dodgers
172,19210917,-1,Brooklyn  Dodgers
173,19210918,-1,Brooklyn  Dodgers
174,19210918,-4,Brooklyn  Dodgers
204,19210611,-10,Brooklyn  Dodgers
205,19210612,-6,Brooklyn  Dodgers
206,19210613,2,Brooklyn  Dodgers
207,19210614,-5,Brooklyn  Dodgers
221,19210802,1,Brooklyn  Dodgers
222,19210804,1,Brooklyn  Dodgers
223,19210804,-3,Brooklyn  Dodgers
224,19210805,5,Brooklyn  Dodgers
241,19210924,2,Brooklyn  Dodgers
242,19210925,-4,Brooklyn  Dodgers
253,19210504,-1,Brooklyn  Dodgers
254,19210507,-2,Brooklyn  Dodgers
279,19210706,7,Brooklyn  Dodgers
280,19210707,1,Brooklyn  Dodgers
297,19210811,2,Brooklyn  Dodgers
298,19210811,-1,Brooklyn  Dodgers
299,19210812,2,Brooklyn  Dodgers
300,19210813,-1,Brooklyn  Dodgers
303,19210816,1,Brooklyn  Dodgers
323,19210909,-4,Brooklyn  Dodgers
324,19210910,-2,Brooklyn  Dodgers
328,19210419,-1,Brooklyn  Dodgers
329,19210420,2,Brooklyn  Dodgers
334,19210509,3,Brooklyn  Dodgers
335,19210509,-1,Brooklyn  Dodgers
346,19210526,-8,Brooklyn  Dodgers
347,19210527,-1,Brooklyn  Dodgers
348,19210528,12,Brooklyn  Dodgers
353,19210629,7,Brooklyn  Dodgers
354,19210702,2,Brooklyn  Dodgers
355,19210702,2,Brooklyn  Dodgers
417,19210615,4,Brooklyn  Dodgers
418,19210616,-1,Brooklyn  Dodgers
419,19210617,5,Brooklyn  Dodgers
420,19210618,-1,Brooklyn  Dodgers
438,19210806,1,Brooklyn  Dodgers
439,19210808,2,Brooklyn  Dodgers
440,19210809,-2,Brooklyn  Dodgers
441,19210810,1,Brooklyn  Dodgers
461,19210921,2,Brooklyn  Dodgers
462,19210922,-2,Brooklyn  Dodgers
463,19210922,2,Brooklyn  Dodgers
