,game_dt,s,team_name
0,19210417,2,Boston  Braves
1,19210421,-2,Boston  Braves
2,19210422,-2,Boston  Braves
3,19210424,-6,Boston  Braves
29,19210624,1,Boston  Braves
30,19210625,-1,Boston  Braves
31,19210626,3,Boston  Braves
32,19210627,-3,Boston  Braves
50,19210724,1,Boston  Braves
51,19210814,1,Boston  Braves
73,19211001,-1,Boston  Braves
138,19210611,-3,Boston  Braves
139,19210614,8,Boston  Braves
160,19210803,-2,Boston  Braves
161,19210804,8,Boston  Braves
162,19210805,5,Boston  Braves
177,19210923,-8,Boston  Braves
198,19210603,4,Boston  Braves
199,19210604,5,Boston  Braves
200,19210605,-6,Boston  Braves
201,19210606,5,Boston  Braves
214,19210727,-2,Boston  Braves
215,19210727,-1,Boston  Braves
216,19210728,1,Boston  Braves
235,19210916,-4,Boston  Braves
236,19210918,-3,Boston  Braves
237,19210918,-7,Boston  Braves
238,19210919,3,Boston  Braves
249,19210430,-5,Boston  Braves
250,19210501,-5,Boston  Braves
251,19210502,-7,Boston  Braves
252,19210503,-5,Boston  Braves
274,19210621,11,Boston  Braves
275,19210622,4,Boston  Braves
276,19210623,-6,Boston  Braves
277,19210703,-1,Boston  Braves
278,19210703,-5,Boston  Braves
319,19210904,3,Boston  Braves
320,19210905,1,Boston  Braves
321,19210905,-2,Boston  Braves
322,19210906,4,Boston  Braves
330,19210425,-1,Boston  Braves
331,19210426,4,Boston  Braves
332,19210427,3,Boston  Braves
333,19210428,-5,Boston  Braves
356,19210704,2,Boston  Braves
357,19210704,1,Boston  Braves
358,19210705,-1,Boston  Braves
387,19210903,-3,Boston  Braves
388,19210903,11,Boston  Braves
410,19210607,3,Boston  Braves
411,19210608,-12,Boston  Braves
412,19210609,-2,Boston  Braves
413,19210610,3,Boston  Braves
433,19210730,1,Boston  Braves
434,19210801,-4,Boston  Braves
453,19210912,-1,Boston  Braves
454,19210912,1,Boston  Braves
455,19210913,-2,Boston  Braves
456,19210914,-3,Boston  Braves
457,19210915,3,Boston  Braves
534,19220507,1,Boston  Braves
535,19220528,1,Boston  Braves
536,19220529,1,Boston  Braves
537,19220530,-6,Boston  Braves
538,19220530,-4,Boston  Braves
539,19220531,-3,Boston  Braves
578,19220903,-3,Boston  Braves
579,19220909,-1,Boston  Braves
730,19220517,-3,Boston  Braves
731,19220520,-2,Boston  Braves
749,19220707,-5,Boston  Braves
750,19220708,-1,Boston  Braves
751,19220709,-5,Boston  Braves
752,19220710,-4,Boston  Braves
766,19220815,-5,Boston  Braves
767,19220815,-5,Boston  Braves
768,19220816,-5,Boston  Braves
769,19220817,-5,Boston  Braves
796,19220509,-3,Boston  Braves
797,19220510,6,Boston  Braves
798,19220511,-4,Boston  Braves
828,19220715,-1,Boston  Braves
829,19220716,1,Boston  Braves
830,19220717,-1,Boston  Braves
831,19220718,-6,Boston  Braves
846,19220826,-2,Boston  Braves
847,19220826,-1,Boston  Braves
848,19220827,-9,Boston  Braves
849,19220827,-1,Boston  Braves
970,19220416,-3,Boston  Braves
971,19220503,8,Boston  Braves
973,19220526,-4,Boston  Braves
974,19220526,-8,Boston  Braves
975,19220527,-6,Boston  Braves
992,19220625,-1,Boston  Braves
1016,19220813,-2,Boston  Braves
1020,19220911,-1,Boston  Braves
1021,19220911,-1,Boston  Braves
1038,19221001,3,Boston  Braves
1183,19220412,-6,Boston  Braves
1184,19220413,-2,Boston  Braves
1185,19220415,-9,Boston  Braves
1209,19220624,-5,Boston  Braves
1210,19220624,-3,Boston  Braves
1251,19220512,-2,Boston  Braves
1252,19220513,3,Boston  Braves
1253,19220515,-1,Boston  Braves
1254,19220516,2,Boston  Braves
1281,19220711,6,Boston  Braves
1282,19220712,1,Boston  Braves
1283,19220714,-5,Boston  Braves
1298,19220818,3,Boston  Braves
1299,19220819,3,Boston  Braves
1300,19220819,-6,Boston  Braves
1301,19220821,-4,Boston  Braves
1460,19250426,3,Boston  Braves
1461,19250427,-13,Boston  Braves
1462,19250429,7,Boston  Braves
1484,19250701,-1,Boston  Braves
1485,19250702,-13,Boston  Braves
1489,19250705,3,Boston  Braves
1490,19250705,2,Boston  Braves
1491,19250706,4,Boston  Braves
1523,19250906,13,Boston  Braves
1524,19250906,7,Boston  Braves
1531,19251003,3,Boston  Braves
1675,19250612,-2,Boston  Braves
1676,19250613,-2,Boston  Braves
1677,19250615,-4,Boston  Braves
1678,19250616,3,Boston  Braves
1706,19250810,2,Boston  Braves
1707,19250811,7,Boston  Braves
1714,19250916,-3,Boston  Braves
1715,19250916,2,Boston  Braves
1743,19250604,-1,Boston  Braves
1744,19250605,-1,Boston  Braves
1745,19250607,-1,Boston  Braves
1769,19250731,-1,Boston  Braves
1770,19250801,-1,Boston  Braves
1771,19250802,-3,Boston  Braves
1772,19250802,2,Boston  Braves
1773,19250803,2,Boston  Braves
1793,19250921,1,Boston  Braves
1794,19250923,5,Boston  Braves
1795,19250923,1,Boston  Braves
1922,19250422,-1,Boston  Braves
1923,19250423,-4,Boston  Braves
1924,19250424,7,Boston  Braves
1925,19250425,-1,Boston  Braves
1948,19250627,5,Boston  Braves
1949,19250630,1,Boston  Braves
1981,19250908,-1,Boston  Braves
1982,19250908,1,Boston  Braves
2130,19250501,-2,Boston  Braves
2131,19250502,3,Boston  Braves
2132,19250502,-6,Boston  Braves
2206,19250608,-4,Boston  Braves
2207,19250609,3,Boston  Braves
2208,19250610,2,Boston  Braves
2209,19250611,-8,Boston  Braves
2228,19250727,-1,Boston  Braves
2229,19250728,-4,Boston  Braves
2230,19250729,-2,Boston  Braves
2231,19250730,4,Boston  Braves
2258,19250917,-9,Boston  Braves
2259,19250918,-2,Boston  Braves
2260,19250919,-1,Boston  Braves
2344,19250618,-1,Boston  Braves
2345,19250619,-3,Boston  Braves
2346,19250620,1,Boston  Braves
2359,19250808,-1,Boston  Braves
2468,19270420,-1,Boston  Braves
2469,19270421,3,Boston  Braves
2470,19270423,2,Boston  Braves
2490,19270624,2,Boston  Braves
2491,19270625,-1,Boston  Braves
2492,19270625,4,Boston  Braves
2587,19330610,-1,Boston  Braves
2657,19270603,1,Boston  Braves
2658,19270604,2,Boston  Braves
2659,19270606,-1,Boston  Braves
2682,19270803,-11,Boston  Braves
2683,19270804,-1,Boston  Braves
2684,19270805,-3,Boston  Braves
2697,19270919,-6,Boston  Braves
2698,19270920,-3,Boston  Braves
2731,19270611,-3,Boston  Braves
2732,19270612,3,Boston  Braves
2733,19270614,-1,Boston  Braves
2748,19270727,5,Boston  Braves
2749,19270727,-3,Boston  Braves
2750,19270728,-5,Boston  Braves
2763,19270909,-7,Boston  Braves
2764,19270911,-4,Boston  Braves
2765,19270911,-11,Boston  Braves
2766,19270912,-2,Boston  Braves
2767,19270912,-3,Boston  Braves
2916,19270428,-1,Boston  Braves
2917,19270429,-7,Boston  Braves
2918,19270430,-1,Boston  Braves
2935,19270621,2,Boston  Braves
2936,19270623,-4,Boston  Braves
2937,19270623,-3,Boston  Braves
2973,19270906,-3,Boston  Braves
