,game_dt,s,team_name
12,19210510,-4,Cincinnati  Reds
13,19210511,-1,Cincinnati  Reds
14,19210512,-7,Cincinnati  Reds
15,19210513,1,Cincinnati  Reds
38,19210712,2,Cincinnati  Reds
39,19210713,-4,Cincinnati  Reds
40,19210714,1,Cincinnati  Reds
55,19210820,7,Cincinnati  Reds
56,19210821,-5,Cincinnati  Reds
57,19210822,2,Cincinnati  Reds
58,19210823,5,Cincinnati  Reds
125,19210504,-2,Cincinnati  Reds
126,19210505,4,Cincinnati  Reds
127,19210506,-1,Cincinnati  Reds
128,19210507,-3,Cincinnati  Reds
152,19210705,-1,Cincinnati  Reds
167,19210907,3,Cincinnati  Reds
168,19210908,-4,Cincinnati  Reds
178,19210927,5,Cincinnati  Reds
179,19210928,-2,Cincinnati  Reds
259,19210514,-5,Cincinnati  Reds
260,19210515,-1,Cincinnati  Reds
261,19210516,-3,Cincinnati  Reds
262,19210517,-1,Cincinnati  Reds
292,19210720,1,Cincinnati  Reds
293,19210722,9,Cincinnati  Reds
294,19210723,-1,Cincinnati  Reds
295,19210723,-6,Cincinnati  Reds
304,19210817,-3,Cincinnati  Reds
305,19210818,1,Cincinnati  Reds
306,19210819,-5,Cincinnati  Reds
345,19210524,-1,Cincinnati  Reds
364,19210716,6,Cincinnati  Reds
365,19210716,-1,Cincinnati  Reds
366,19210718,4,Cincinnati  Reds
381,19210824,-3,Cincinnati  Reds
382,19210824,-2,Cincinnati  Reds
383,19210825,2,Cincinnati  Reds
384,19210826,5,Cincinnati  Reds
385,19210827,-1,Cincinnati  Reds
392,19210421,-1,Cincinnati  Reds
393,19210422,-5,Cincinnati  Reds
394,19210423,1,Cincinnati  Reds
399,19210526,3,Cincinnati  Reds
400,19210527,-1,Cincinnati  Reds
401,19210528,-1,Cincinnati  Reds
422,19210630,-2,Cincinnati  Reds
423,19210701,-3,Cincinnati  Reds
424,19210702,-9,Cincinnati  Reds
449,19210905,1,Cincinnati  Reds
450,19210905,-1,Cincinnati  Reds
471,19210429,4,Cincinnati  Reds
472,19210430,-2,Cincinnati  Reds
542,19220607,4,Cincinnati  Reds
543,19220608,5,Cincinnati  Reds
544,19220609,-1,Cincinnati  Reds
564,19220803,-4,Cincinnati  Reds
565,19220804,1,Cincinnati  Reds
566,19220805,-5,Cincinnati  Reds
567,19220805,-1,Cincinnati  Reds
568,19220806,3,Cincinnati  Reds
581,19220913,-1,Cincinnati  Reds
582,19220914,4,Cincinnati  Reds
583,19220915,-5,Cincinnati  Reds
712,19220420,-2,Cincinnati  Reds
