,game_dt,s,team_name
649,19220418,-4,Detroit  Tigers
676,19220701,-4,Detroit  Tigers
677,19220702,6,Detroit  Tigers
678,19220703,1,Detroit  Tigers
696,19220904,-1,Detroit  Tigers
697,19220904,-3,Detroit  Tigers
698,19220905,1,Detroit  Tigers
863,19220412,-3,Detroit  Tigers
864,19220413,-5,Detroit  Tigers
865,19220415,-7,Detroit  Tigers
878,19220601,-3,Detroit  Tigers
879,19220602,-5,Detroit  Tigers
880,19220603,-1,Detroit  Tigers
881,19220604,-8,Detroit  Tigers
918,19220812,5,Detroit  Tigers
919,19220813,-1,Detroit  Tigers
1053,19220512,-2,Detroit  Tigers
1054,19220513,3,Detroit  Tigers
1055,19220514,6,Detroit  Tigers
1056,19220515,5,Detroit  Tigers
1085,19220719,4,Detroit  Tigers
1086,19220720,-4,Detroit  Tigers
1087,19220721,-2,Detroit  Tigers
1088,19220722,2,Detroit  Tigers
1091,19220815,-1,Detroit  Tigers
1092,19220816,4,Detroit  Tigers
1093,19220817,-6,Detroit  Tigers
1129,19220520,-5,Detroit  Tigers
1130,19220523,1,Detroit  Tigers
1131,19220524,1,Detroit  Tigers
1147,19220712,4,Detroit  Tigers
1148,19220713,-5,Detroit  Tigers
1164,19220822,2,Detroit  Tigers
1165,19220822,14,Detroit  Tigers
1166,19220823,-3,Detroit  Tigers
1326,19220530,1,Detroit  Tigers
1593,19250422,-2,Detroit  Tigers
1594,19250423,-1,Detroit  Tigers
1595,19250425,-2,Detroit  Tigers
1613,19250526,7,Detroit  Tigers
1614,19250527,-4,Detroit  Tigers
1615,19250528,2,Detroit  Tigers
1616,19250529,4,Detroit  Tigers
1640,19250815,-7,Detroit  Tigers
1641,19250817,-1,Detroit  Tigers
1751,19250503,0,Detroit  Tigers
1806,19250501,-1,Detroit  Tigers
1807,19250502,-1,Detroit  Tigers
1831,19250629,3,Detroit  Tigers
1832,19250629,3,Detroit  Tigers
1833,19250630,-3,Detroit  Tigers
1834,19250701,-11,Detroit  Tigers
1835,19250701,3,Detroit  Tigers
1836,19250702,-8,Detroit  Tigers
1873,19250903,2,Detroit  Tigers
1874,19250905,2,Detroit  Tigers
2010,19250616,2,Detroit  Tigers
2011,19250617,18,Detroit  Tigers
2012,19250618,3,Detroit  Tigers
2028,19250806,-6,Detroit  Tigers
2029,19250807,2,Detroit  Tigers
2030,19250808,6,Detroit  Tigers
2031,19250808,1,Detroit  Tigers
2048,19250926,-2,Detroit  Tigers
2049,19250928,4,Detroit  Tigers
2050,19250928,-1,Detroit  Tigers
2064,19250605,-2,Detroit  Tigers
2065,19250606,2,Detroit  Tigers
2066,19250608,1,Detroit  Tigers
2086,19250729,-8,Detroit  Tigers
2087,19250730,-9,Detroit  Tigers
2114,19250918,-2,Detroit  Tigers
2115,19250918,-4,Detroit  Tigers
2116,19250919,4,Detroit  Tigers
2117,19250921,-3,Detroit  Tigers
2273,19250504,-1,Detroit  Tigers
2274,19250505,6,Detroit  Tigers
2275,19250506,7,Detroit  Tigers
2276,19250507,-1,Detroit  Tigers
2299,19250703,4,Detroit  Tigers
2420,19270608,2,Detroit  Tigers
2461,19270920,1,Detroit  Tigers
2580,19270425,-1,Detroit  Tigers
2581,19270426,-6,Detroit  Tigers
2582,19270427,-5,Detroit  Tigers
2603,19270623,1,Detroit  Tigers
2604,19270624,5,Detroit  Tigers
2605,19270625,4,Detroit  Tigers
2640,19270930,-3,Detroit  Tigers
2792,19270417,4,Detroit  Tigers
2793,19270418,-1,Detroit  Tigers
