,game_dt,s,team_name
34549,19610411,5,Los Angeles  Angels
34572,19610605,3,Los Angeles  Angels
34573,19610606,4,Los Angeles  Angels
34574,19610606,-2,Los Angeles  Angels
34575,19610607,4,Los Angeles  Angels
34602,19610804,2,Los Angeles  Angels
34603,19610804,-3,Los Angeles  Angels
34604,19610805,2,Los Angeles  Angels
34632,19610415,-3,Los Angeles  Angels
34633,19610417,-1,Los Angeles  Angels
34656,19610608,-1,Los Angeles  Angels
34657,19610608,0,Los Angeles  Angels
34658,19610609,-2,Los Angeles  Angels
34659,19610609,4,Los Angeles  Angels
34660,19610610,5,Los Angeles  Angels
34683,19610802,-5,Los Angeles  Angels
34684,19610802,-1,Los Angeles  Angels
34685,19610803,-4,Los Angeles  Angels
34739,19610613,-1,Los Angeles  Angels
34740,19610613,-8,Los Angeles  Angels
34741,19610614,-3,Los Angeles  Angels
34742,19610614,-1,Los Angeles  Angels
34743,19610615,-1,Los Angeles  Angels
34785,19610915,4,Los Angeles  Angels
34786,19610916,7,Los Angeles  Angels
34787,19610917,-7,Los Angeles  Angels
34788,19610917,-1,Los Angeles  Angels
34969,19610602,-2,Los Angeles  Angels
34970,19610603,-5,Los Angeles  Angels
34971,19610604,-2,Los Angeles  Angels
34972,19610604,-4,Los Angeles  Angels
34996,19610714,-2,Los Angeles  Angels
34997,19610715,1,Los Angeles  Angels
35009,19610811,-1,Los Angeles  Angels
35010,19610812,3,Los Angeles  Angels
35011,19610813,1,Los Angeles  Angels
35033,19610421,-8,Los Angeles  Angels
35034,19610423,-2,Los Angeles  Angels
35035,19610423,-1,Los Angeles  Angels
35070,19610707,2,Los Angeles  Angels
35071,19610708,-1,Los Angeles  Angels
35072,19610709,-1,Los Angeles  Angels
35073,19610709,-3,Los Angeles  Angels
35110,19610919,-4,Los Angeles  Angels
35111,19610920,-3,Los Angeles  Angels
35126,19610515,-2,Los Angeles  Angels
35127,19610516,-2,Los Angeles  Angels
35133,19610616,-4,Los Angeles  Angels
35134,19610617,3,Los Angeles  Angels
35135,19610618,2,Los Angeles  Angels
35175,19610904,1,Los Angeles  Angels
35176,19610904,-6,Los Angeles  Angels
35177,19610905,-4,Los Angeles  Angels
35178,19610905,-1,Los Angeles  Angels
35364,19610512,-1,Los Angeles  Angels
35365,19610513,-7,Los Angeles  Angels
35366,19610514,-1,Los Angeles  Angels
35392,19610705,4,Los Angeles  Angels
35393,19610706,1,Los Angeles  Angels
35420,19610911,-3,Los Angeles  Angels
35421,19610914,4,Los Angeles  Angels
35422,19610914,-2,Los Angeles  Angels
35512,19610420,-2,Los Angeles  Angels
35513,19610420,-2,Los Angeles  Angels
35537,19610611,-1,Los Angeles  Angels
35538,19610611,-4,Los Angeles  Angels
35539,19610612,-2,Los Angeles  Angels
35566,19610807,-3,Los Angeles  Angels
35567,19610808,-1,Los Angeles  Angels
35568,19610809,-2,Los Angeles  Angels
35569,19610810,-2,Los Angeles  Angels
35919,19610530,-4,Los Angeles  Angels
35920,19610531,2,Los Angeles  Angels
35921,19610601,-1,Los Angeles  Angels
35943,19610716,9,Los Angeles  Angels
35944,19610716,-1,Los Angeles  Angels
35952,19610814,4,Los Angeles  Angels
35953,19610815,1,Los Angeles  Angels
35954,19610816,-1,Los Angeles  Angels
35955,19610817,-1,Los Angeles  Angels
35993,19620515,-6,Los Angeles  Angels
35994,19620516,2,Los Angeles  Angels
35995,19620517,-2,Los Angeles  Angels
36031,19620803,-3,Los Angeles  Angels
36032,19620804,-2,Los Angeles  Angels
36033,19620805,-5,Los Angeles  Angels
36049,19620907,1,Los Angeles  Angels
36050,19620908,1,Los Angeles  Angels
36051,19620909,-1,Los Angeles  Angels
36076,19620518,4,Los Angeles  Angels
36077,19620519,1,Los Angeles  Angels
36078,19620520,2,Los Angeles  Angels
36079,19620520,1,Los Angeles  Angels
36098,19620626,-2,Los Angeles  Angels
36099,19620627,3,Los Angeles  Angels
36100,19620628,12,Los Angeles  Angels
36118,19620806,3,Los Angeles  Angels
36119,19620807,2,Los Angeles  Angels
36140,19620410,-1,Los Angeles  Angels
36141,19620412,1,Los Angeles  Angels
36165,19620615,-1,Los Angeles  Angels
36166,19620616,-1,Los Angeles  Angels
36167,19620617,2,Los Angeles  Angels
36168,19620617,1,Los Angeles  Angels
36197,19620808,4,Los Angeles  Angels
