,game_dt,s,team_name
31097,19580514,-4,Los Angeles  Dodgers
31098,19580515,2,Los Angeles  Dodgers
31103,19580530,-1,Los Angeles  Dodgers
31104,19580530,-2,Los Angeles  Dodgers
31105,19580531,5,Los Angeles  Dodgers
31106,19580601,1,Los Angeles  Dodgers
31135,19580806,3,Los Angeles  Dodgers
31136,19580807,2,Los Angeles  Dodgers
31156,19580919,4,Los Angeles  Dodgers
31157,19580920,-1,Los Angeles  Dodgers
31158,19580921,1,Los Angeles  Dodgers
31171,19580523,-3,Los Angeles  Dodgers
31172,19580524,-1,Los Angeles  Dodgers
31185,19580623,-5,Los Angeles  Dodgers
31186,19580624,3,Los Angeles  Dodgers
31187,19580624,5,Los Angeles  Dodgers
31208,19580801,4,Los Angeles  Dodgers
31209,19580802,1,Los Angeles  Dodgers
31210,19580803,2,Los Angeles  Dodgers
31211,19580803,-2,Los Angeles  Dodgers
31231,19580916,-2,Los Angeles  Dodgers
31232,19580916,-2,Los Angeles  Dodgers
31548,19580520,3,Los Angeles  Dodgers
31549,19580521,1,Los Angeles  Dodgers
31566,19580626,3,Los Angeles  Dodgers
31567,19580627,2,Los Angeles  Dodgers
31568,19580628,-4,Los Angeles  Dodgers
31569,19580629,-4,Los Angeles  Dodgers
31586,19580729,2,Los Angeles  Dodgers
31587,19580730,-1,Los Angeles  Dodgers
31588,19580731,-3,Los Angeles  Dodgers
31609,19580914,2,Los Angeles  Dodgers
31610,19580915,-5,Los Angeles  Dodgers
31711,19580526,1,Los Angeles  Dodgers
31718,19580617,-3,Los Angeles  Dodgers
31719,19580618,3,Los Angeles  Dodgers
31720,19580619,-6,Los Angeles  Dodgers
31731,19580725,4,Los Angeles  Dodgers
31732,19580726,6,Los Angeles  Dodgers
31733,19580727,-3,Los Angeles  Dodgers
31734,19580727,-4,Los Angeles  Dodgers
31757,19580909,-1,Los Angeles  Dodgers
31758,19580910,-2,Los Angeles  Dodgers
31759,19580911,-1,Los Angeles  Dodgers
31788,19580527,-2,Los Angeles  Dodgers
31789,19580528,6,Los Angeles  Dodgers
31797,19580620,-1,Los Angeles  Dodgers
31798,19580621,-4,Los Angeles  Dodgers
31799,19580622,3,Los Angeles  Dodgers
31800,19580622,1,Los Angeles  Dodgers
31810,19580723,-8,Los Angeles  Dodgers
31811,19580723,-3,Los Angeles  Dodgers
31812,19580724,-2,Los Angeles  Dodgers
31840,19580912,4,Los Angeles  Dodgers
31841,19580913,-5,Los Angeles  Dodgers
31847,19580415,-8,Los Angeles  Dodgers
31848,19580416,12,Los Angeles  Dodgers
31849,19580417,-3,Los Angeles  Dodgers
31866,19580509,-8,Los Angeles  Dodgers
31867,19580510,-1,Los Angeles  Dodgers
31913,19580829,3,Los Angeles  Dodgers
31914,19580830,-1,Los Angeles  Dodgers
31915,19580830,-2,Los Angeles  Dodgers
31916,19580831,-12,Los Angeles  Dodgers
31917,19580901,-2,Los Angeles  Dodgers
31918,19580901,-1,Los Angeles  Dodgers
31936,19580516,-2,Los Angeles  Dodgers
31937,19580517,-9,Los Angeles  Dodgers
31938,19580518,-1,Los Angeles  Dodgers
31939,19580518,4,Los Angeles  Dodgers
31956,19580630,-2,Los Angeles  Dodgers
31957,19580701,6,Los Angeles  Dodgers
31971,19580804,-1,Los Angeles  Dodgers
31972,19580805,-10,Los Angeles  Dodgers
31991,19580905,1,Los Angeles  Dodgers
31992,19580906,-1,Los Angeles  Dodgers
31993,19580907,2,Los Angeles  Dodgers
32312,19590411,-5,Los Angeles  Dodgers
32313,19590412,2,Los Angeles  Dodgers
32349,19590704,-1,Los Angeles  Dodgers
32350,19590704,3,Los Angeles  Dodgers
32351,19590705,1,Los Angeles  Dodgers
32352,19590705,2,Los Angeles  Dodgers
32364,19590811,-1,Los Angeles  Dodgers
32365,19590812,-3,Los Angeles  Dodgers
32386,19590925,1,Los Angeles  Dodgers
32387,19590926,-10,Los Angeles  Dodgers
32388,19590927,6,Los Angeles  Dodgers
32400,19590501,-2,Los Angeles  Dodgers
32401,19590502,-12,Los Angeles  Dodgers
32402,19590503,-3,Los Angeles  Dodgers
32403,19590503,6,Los Angeles  Dodgers
32413,19590602,-1,Los Angeles  Dodgers
32414,19590603,4,Los Angeles  Dodgers
32415,19590604,-2,Los Angeles  Dodgers
32431,19590712,-1,Los Angeles  Dodgers
32432,19590713,-8,Los Angeles  Dodgers
32450,19590819,-5,Los Angeles  Dodgers
32451,19590820,3,Los Angeles  Dodgers
32784,19590504,2,Los Angeles  Dodgers
32785,19590505,-1,Los Angeles  Dodgers
32786,19590506,-1,Los Angeles  Dodgers
32802,19590605,4,Los Angeles  Dodgers
32803,19590606,1,Los Angeles  Dodgers
32804,19590607,-6,Los Angeles  Dodgers
32812,19590709,1,Los Angeles  Dodgers
32813,19590711,2,Los Angeles  Dodgers
32831,19590817,-7,Los Angeles  Dodgers
32832,19590817,1,Los Angeles  Dodgers
32833,19590818,1,Los Angeles  Dodgers
32852,19590928,1,Los Angeles  Dodgers
32937,19590429,-1,Los Angeles  Dodgers
32938,19590430,2,Los Angeles  Dodgers
32955,19590609,1,Los Angeles  Dodgers
32956,19590610,-1,Los Angeles  Dodgers
32957,19590611,11,Los Angeles  Dodgers
32977,19590717,-1,Los Angeles  Dodgers
32978,19590718,-3,Los Angeles  Dodgers
32979,19590719,4,Los Angeles  Dodgers
32980,19590719,-1,Los Angeles  Dodgers
32997,19590824,6,Los Angeles  Dodgers
32998,19590825,3,Los Angeles  Dodgers
33012,19590427,6,Los Angeles  Dodgers
33041,19590612,3,Los Angeles  Dodgers
33042,19590613,-2,Los Angeles  Dodgers
33043,19590614,-3,Los Angeles  Dodgers
33044,19590614,-3,Los Angeles  Dodgers
33054,19590714,-8,Los Angeles  Dodgers
33055,19590715,3,Los Angeles  Dodgers
33067,19590821,1,Los Angeles  Dodgers
33068,19590822,-2,Los Angeles  Dodgers
33069,19590823,-7,Los Angeles  Dodgers
33070,19590823,-1,Los Angeles  Dodgers
33088,19590507,1,Los Angeles  Dodgers
33089,19590508,-6,Los Angeles  Dodgers
33090,19590509,1,Los Angeles  Dodgers
33091,19590510,1,Los Angeles  Dodgers
33102,19590525,8,Los Angeles  Dodgers
33103,19590526,-2,Los Angeles  Dodgers
33122,19590720,1,Los Angeles  Dodgers
33123,19590721,1,Los Angeles  Dodgers
33156,19590919,3,Los Angeles  Dodgers
33157,19590919,2,Los Angeles  Dodgers
33158,19590920,6,Los Angeles  Dodgers
33162,19590424,1,Los Angeles  Dodgers
33163,19590425,-1,Los Angeles  Dodgers
33164,19590426,6,Los Angeles  Dodgers
33193,19590702,4,Los Angeles  Dodgers
33194,19590703,-1,Los Angeles  Dodgers
33216,19590813,1,Los Angeles  Dodgers
33217,19590814,-1,Los Angeles  Dodgers
33218,19590815,1,Los Angeles  Dodgers
33219,19590816,-2,Los Angeles  Dodgers
33231,19590922,-1,Los Angeles  Dodgers
33232,19590923,3,Los Angeles  Dodgers
33547,19600426,7,Los Angeles  Dodgers
33548,19600427,5,Los Angeles  Dodgers
33558,19600527,2,Los Angeles  Dodgers
33559,19600528,-1,Los Angeles  Dodgers
33560,19600529,4,Los Angeles  Dodgers
33593,19600816,2,Los Angeles  Dodgers
33594,19600817,-1,Los Angeles  Dodgers
33595,19600818,1,Los Angeles  Dodgers
33613,19600916,1,Los Angeles  Dodgers
33614,19600917,-4,Los Angeles  Dodgers
33615,19600918,-3,Los Angeles  Dodgers
33637,19600518,-1,Los Angeles  Dodgers
33638,19600519,-1,Los Angeles  Dodgers
33650,19600621,-2,Los Angeles  Dodgers
33651,19600623,4,Los Angeles  Dodgers
33669,19600811,3,Los Angeles  Dodgers
33670,19600812,-1,Los Angeles  Dodgers
33671,19600813,-4,Los Angeles  Dodgers
33672,19600814,-2,Los Angeles  Dodgers
33673,19600814,4,Los Angeles  Dodgers
33687,19600907,-1,Los Angeles  Dodgers
33688,19600908,3,Los Angeles  Dodgers
34020,19600517,2,Los Angeles  Dodgers
34036,19600620,-3,Los Angeles  Dodgers
34041,19600624,2,Los Angeles  Dodgers
34042,19600625,-2,Los Angeles  Dodgers
34043,19600626,3,Los Angeles  Dodgers
34058,19600808,-1,Los Angeles  Dodgers
34059,19600809,1,Los Angeles  Dodgers
34060,19600810,1,Los Angeles  Dodgers
34073,19600909,2,Los Angeles  Dodgers
34074,19600910,-2,Los Angeles  Dodgers
34075,19600911,2,Los Angeles  Dodgers
34174,19600520,-3,Los Angeles  Dodgers
34175,19600522,3,Los Angeles  Dodgers
34195,19600628,-2,Los Angeles  Dodgers
34196,19600629,3,Los Angeles  Dodgers
34197,19600629,3,Los Angeles  Dodgers
34198,19600630,4,Los Angeles  Dodgers
34212,19600806,-2,Los Angeles  Dodgers
34213,19600807,1,Los Angeles  Dodgers
34214,19600807,1,Los Angeles  Dodgers
34229,19600913,1,Los Angeles  Dodgers
34230,19600913,3,Los Angeles  Dodgers
34256,19600523,1,Los Angeles  Dodgers
34257,19600524,2,Los Angeles  Dodgers
34258,19600525,4,Los Angeles  Dodgers
34274,19600701,-1,Los Angeles  Dodgers
34275,19600702,5,Los Angeles  Dodgers
