,game_dt,s,team_name
49334,19700615,3,Milwaukee  Brewers
49335,19700617,4,Milwaukee  Brewers
49365,19700828,1,Milwaukee  Brewers
49366,19700828,-4,Milwaukee  Brewers
49367,19700829,-5,Milwaukee  Brewers
49368,19700830,3,Milwaukee  Brewers
49389,19700425,6,Milwaukee  Brewers
49390,19700425,-3,Milwaukee  Brewers
49391,19700426,2,Milwaukee  Brewers
49427,19700716,-1,Milwaukee  Brewers
49428,19700717,-6,Milwaukee  Brewers
49429,19700718,5,Milwaukee  Brewers
49469,19700420,-1,Milwaukee  Brewers
49470,19700421,-2,Milwaukee  Brewers
49472,19700422,-2,Milwaukee  Brewers
49493,19700619,3,Milwaukee  Brewers
49494,19700620,-4,Milwaukee  Brewers
49495,19700621,-1,Milwaukee  Brewers
49534,19700911,1,Milwaukee  Brewers
49535,19700912,1,Milwaukee  Brewers
49536,19700913,-1,Milwaukee  Brewers
49546,19700410,-1,Milwaukee  Brewers
49547,19700411,4,Milwaukee  Brewers
49548,19700412,3,Milwaukee  Brewers
49549,19700412,14,Milwaukee  Brewers
49596,19700805,-6,Milwaukee  Brewers
49597,19700806,-4,Milwaukee  Brewers
49624,19700925,-4,Milwaukee  Brewers
49625,19700925,1,Milwaukee  Brewers
49626,19700926,4,Milwaukee  Brewers
49627,19700927,6,Milwaukee  Brewers
49811,19700612,3,Milwaukee  Brewers
49812,19700613,-4,Milwaukee  Brewers
49813,19700614,-7,Milwaukee  Brewers
49849,19700825,2,Milwaukee  Brewers
49850,19700826,-5,Milwaukee  Brewers
49851,19700827,12,Milwaukee  Brewers
49891,19700609,-5,Milwaukee  Brewers
49892,19700610,-2,Milwaukee  Brewers
49893,19700611,-4,Milwaukee  Brewers
49929,19700821,-2,Milwaukee  Brewers
49930,19700822,-3,Milwaukee  Brewers
49931,19700823,-1,Milwaukee  Brewers
50050,19700522,-3,Milwaukee  Brewers
50051,19700523,-2,Milwaukee  Brewers
50052,19700524,-1,Milwaukee  Brewers
50086,19700807,-4,Milwaukee  Brewers
50087,19700807,-8,Milwaukee  Brewers
50088,19700808,2,Milwaukee  Brewers
50089,19700809,2,Milwaukee  Brewers
50102,19700910,-2,Milwaukee  Brewers
50103,19700910,-8,Milwaukee  Brewers
50290,19700525,-1,Milwaukee  Brewers
50291,19700526,-4,Milwaukee  Brewers
50292,19700528,-9,Milwaukee  Brewers
50318,19700803,-1,Milwaukee  Brewers
50319,19700803,2,Milwaukee  Brewers
50320,19700804,-3,Milwaukee  Brewers
50337,19700907,-1,Milwaukee  Brewers
50338,19700907,-5,Milwaukee  Brewers
50339,19700908,1,Milwaukee  Brewers
50444,19700501,-3,Milwaukee  Brewers
50445,19700502,-1,Milwaukee  Brewers
50446,19700503,-1,Milwaukee  Brewers
50447,19700503,-2,Milwaukee  Brewers
50479,19700721,-2,Milwaukee  Brewers
50480,19700722,3,Milwaukee  Brewers
50598,19700413,-1,Milwaukee  Brewers
50599,19700414,-8,Milwaukee  Brewers
50639,19700710,1,Milwaukee  Brewers
50640,19700711,-10,Milwaukee  Brewers
50641,19700712,-1,Milwaukee  Brewers
50642,19700712,1,Milwaukee  Brewers
50675,19700929,-1,Milwaukee  Brewers
50676,19700930,3,Milwaukee  Brewers
50677,19701001,-1,Milwaukee  Brewers
51096,19700427,-1,Milwaukee  Brewers
51097,19700428,-3,Milwaukee  Brewers
