,game_dt,s,team_name
34550,19610414,1,Minnesota  Twins
34551,19610415,-8,Minnesota  Twins
34552,19610416,5,Minnesota  Twins
34553,19610416,2,Minnesota  Twins
34576,19610608,2,Minnesota  Twins
34577,19610610,-1,Minnesota  Twins
34599,19610802,1,Minnesota  Twins
34600,19610802,-1,Minnesota  Twins
34601,19610803,-3,Minnesota  Twins
34634,19610418,1,Minnesota  Twins
34661,19610611,-6,Minnesota  Twins
34662,19610611,5,Minnesota  Twins
34663,19610612,-2,Minnesota  Twins
34690,19610807,-1,Minnesota  Twins
34691,19610807,-1,Minnesota  Twins
34692,19610808,1,Minnesota  Twins
34693,19610809,-1,Minnesota  Twins
34694,19610810,-1,Minnesota  Twins
34729,19610515,5,Minnesota  Twins
34730,19610516,-1,Minnesota  Twins
34744,19610616,5,Minnesota  Twins
34745,19610617,-4,Minnesota  Twins
34746,19610618,-1,Minnesota  Twins
34747,19610618,-3,Minnesota  Twins
34775,19610822,-1,Minnesota  Twins
34776,19610823,4,Minnesota  Twins
34777,19610824,3,Minnesota  Twins
34967,19610530,-1,Minnesota  Twins
34968,19610530,-2,Minnesota  Twins
34995,19610713,3,Minnesota  Twins
34998,19610716,-2,Minnesota  Twins
34999,19610716,7,Minnesota  Twins
35023,19610915,1,Minnesota  Twins
35024,19610916,-2,Minnesota  Twins
35025,19610917,5,Minnesota  Twins
35026,19610917,2,Minnesota  Twins
35050,19610602,-2,Minnesota  Twins
35051,19610603,-1,Minnesota  Twins
35052,19610604,-6,Minnesota  Twins
35053,19610604,-6,Minnesota  Twins
35074,19610714,3,Minnesota  Twins
35075,19610715,-1,Minnesota  Twins
35082,19610728,1,Minnesota  Twins
35083,19610729,1,Minnesota  Twins
35084,19610730,4,Minnesota  Twins
35115,19610424,4,Minnesota  Twins
35116,19610425,-18,Minnesota  Twins
35148,19610630,6,Minnesota  Twins
35149,19610701,6,Minnesota  Twins
35150,19610702,-1,Minnesota  Twins
35179,19610908,-2,Minnesota  Twins
35180,19610909,1,Minnesota  Twins
35181,19610910,-12,Minnesota  Twins
35182,19610910,7,Minnesota  Twins
35192,19610427,2,Minnesota  Twins
35193,19610428,-1,Minnesota  Twins
35194,19610429,-3,Minnesota  Twins
35233,19610718,-3,Minnesota  Twins
35234,19610719,6,Minnesota  Twins
35235,19610719,-1,Minnesota  Twins
35245,19610818,-3,Minnesota  Twins
35246,19610819,2,Minnesota  Twins
35247,19610820,2,Minnesota  Twins
35509,19610411,6,Minnesota  Twins
35529,19610605,-4,Minnesota  Twins
35530,19610605,-5,Minnesota  Twins
35531,19610606,-5,Minnesota  Twins
35532,19610607,-4,Minnesota  Twins
35562,19610804,-3,Minnesota  Twins
35563,19610805,-1,Minnesota  Twins
35564,19610806,-1,Minnesota  Twins
35565,19610806,-1,Minnesota  Twins
35916,19610526,-1,Minnesota  Twins
35917,19610527,-10,Minnesota  Twins
35918,19610528,-2,Minnesota  Twins
35937,19610707,-3,Minnesota  Twins
35938,19610708,-1,Minnesota  Twins
35939,19610709,6,Minnesota  Twins
35977,19610919,2,Minnesota  Twins
35978,19610921,3,Minnesota  Twins
35985,19620424,-1,Minnesota  Twins
35986,19620425,2,Minnesota  Twins
35987,19620426,1,Minnesota  Twins
36028,19620731,-1,Minnesota  Twins
36029,19620801,2,Minnesota  Twins
36030,19620802,3,Minnesota  Twins
36055,19620921,-1,Minnesota  Twins
36056,19620922,-2,Minnesota  Twins
36057,19620923,7,Minnesota  Twins
36082,19620523,-5,Minnesota  Twins
36083,19620524,-2,Minnesota  Twins
36104,19620702,-1,Minnesota  Twins
36105,19620703,1,Minnesota  Twins
36106,19620704,4,Minnesota  Twins
36107,19620704,-4,Minnesota  Twins
36126,19620831,-2,Minnesota  Twins
36127,19620901,-1,Minnesota  Twins
36128,19620902,3,Minnesota  Twins
36161,19620525,-1,Minnesota  Twins
36162,19620526,3,Minnesota  Twins
36163,19620527,1,Minnesota  Twins
36164,19620527,2,Minnesota  Twins
36169,19620619,5,Minnesota  Twins
36170,19620620,-4,Minnesota  Twins
36171,19620621,-4,Minnesota  Twins
36204,19620828,2,Minnesota  Twins
36205,19620829,2,Minnesota  Twins
36386,19620427,-5,Minnesota  Twins
36387,19620428,-1,Minnesota  Twins
36388,19620429,4,Minnesota  Twins
36389,19620429,4,Minnesota  Twins
36426,19620727,1,Minnesota  Twins
36427,19620728,3,Minnesota  Twins
36428,19620729,-1,Minnesota  Twins
36429,19620729,2,Minnesota  Twins
36459,19620925,-4,Minnesota  Twins
36477,19620515,2,Minnesota  Twins
36478,19620516,4,Minnesota  Twins
36515,19620803,3,Minnesota  Twins
36516,19620804,1,Minnesota  Twins
36517,19620805,5,Minnesota  Twins
36518,19620805,-3,Minnesota  Twins
36533,19620907,2,Minnesota  Twins
36534,19620908,7,Minnesota  Twins
36535,19620909,-1,Minnesota  Twins
36628,19620410,-2,Minnesota  Twins
36629,19620411,8,Minnesota  Twins
36630,19620412,4,Minnesota  Twins
36656,19620615,-5,Minnesota  Twins
36657,19620616,-4,Minnesota  Twins
36658,19620617,-4,Minnesota  Twins
36659,19620618,5,Minnesota  Twins
36678,19620808,-1,Minnesota  Twins
36679,19620809,2,Minnesota  Twins
36708,19620420,2,Minnesota  Twins
36709,19620421,3,Minnesota  Twins
36710,19620422,5,Minnesota  Twins
36737,19620612,-2,Minnesota  Twins
36738,19620613,2,Minnesota  Twins
36739,19620614,1,Minnesota  Twins
36759,19620810,-1,Minnesota  Twins
36760,19620811,-3,Minnesota  Twins
36761,19620812,2,Minnesota  Twins
37042,19620518,1,Minnesota  Twins
37043,19620519,-1,Minnesota  Twins
37044,19620520,-1,Minnesota  Twins
37045,19620520,2,Minnesota  Twins
37061,19620626,5,Minnesota  Twins
