,game_dt,s,team_name
47290,19690506,1,Montreal  Expos
47291,19690507,-2,Montreal  Expos
47326,19690724,-3,Montreal  Expos
47327,19690725,1,Montreal  Expos
47328,19690726,3,Montreal  Expos
47329,19690727,-6,Montreal  Expos
47683,19690411,-1,Montreal  Expos
47684,19690412,4,Montreal  Expos
47685,19690413,-1,Montreal  Expos
47708,19690620,-2,Montreal  Expos
47709,19690621,1,Montreal  Expos
47710,19690622,-1,Montreal  Expos
47711,19690622,1,Montreal  Expos
47758,19690923,4,Montreal  Expos
47759,19690924,-3,Montreal  Expos
47777,19690523,-1,Montreal  Expos
47778,19690524,-9,Montreal  Expos
47779,19690525,-5,Montreal  Expos
47806,19690729,-2,Montreal  Expos
47807,19690730,-2,Montreal  Expos
47808,19690731,-5,Montreal  Expos
48022,19690520,-5,Montreal  Expos
48023,19690521,-1,Montreal  Expos
48024,19690522,-3,Montreal  Expos
48062,19690808,-3,Montreal  Expos
48063,19690809,-2,Montreal  Expos
48064,19690810,-2,Montreal  Expos
48189,19690606,-2,Montreal  Expos
48190,19690607,-4,Montreal  Expos
48191,19690608,1,Montreal  Expos
48226,19690826,-6,Montreal  Expos
48227,19690827,-4,Montreal  Expos
48228,19690828,4,Montreal  Expos
48491,19690408,1,Montreal  Expos
48492,19690409,-4,Montreal  Expos
48493,19690410,-2,Montreal  Expos
48533,19690711,7,Montreal  Expos
48534,19690713,-1,Montreal  Expos
48535,19690713,-2,Montreal  Expos
48562,19690910,-1,Montreal  Expos
48563,19690910,-6,Montreal  Expos
48564,19690911,-4,Montreal  Expos
48656,19690417,7,Montreal  Expos
48690,19690704,3,Montreal  Expos
48691,19690704,4,Montreal  Expos
48692,19690705,2,Montreal  Expos
48693,19690706,-11,Montreal  Expos
48694,19690706,5,Montreal  Expos
48726,19690912,4,Montreal  Expos
48727,19690913,2,Montreal  Expos
48728,19690914,5,Montreal  Expos
48742,19690425,-6,Montreal  Expos
48743,19690426,-1,Montreal  Expos
48744,19690427,2,Montreal  Expos
48775,19690708,-7,Montreal  Expos
48776,19690709,-1,Montreal  Expos
48777,19690709,-1,Montreal  Expos
48778,19690710,-1,Montreal  Expos
48814,19691001,-1,Montreal  Expos
48815,19691002,-6,Montreal  Expos
48843,19690610,3,Montreal  Expos
48844,19690611,-1,Montreal  Expos
48845,19690612,3,Montreal  Expos
48877,19690829,-3,Montreal  Expos
48878,19690831,-3,Montreal  Expos
48879,19690831,5,Montreal  Expos
49006,19690613,-2,Montreal  Expos
49007,19690614,8,Montreal  Expos
49008,19690615,-3,Montreal  Expos
49009,19690615,-5,Montreal  Expos
49045,19690901,-10,Montreal  Expos
49046,19690903,-1,Montreal  Expos
49068,19690421,-1,Montreal  Expos
49069,19690422,2,Montreal  Expos
49088,19690616,-3,Montreal  Expos
49089,19690617,-2,Montreal  Expos
49090,19690618,4,Montreal  Expos
49091,19690619,-2,Montreal  Expos
49129,19690905,-1,Montreal  Expos
49130,19690906,1,Montreal  Expos
49131,19690907,3,Montreal  Expos
49246,19700605,1,Montreal  Expos
49247,19700606,8,Montreal  Expos
49248,19700607,9,Montreal  Expos
49277,19700811,-1,Montreal  Expos
49278,19700812,-1,Montreal  Expos
49279,19700813,-3,Montreal  Expos
49631,19700417,-1,Montreal  Expos
49632,19700418,-7,Montreal  Expos
49669,19700706,-1,Montreal  Expos
49670,19700706,-12,Montreal  Expos
49671,19700707,-3,Montreal  Expos
49672,19700708,-4,Montreal  Expos
49673,19700708,1,Montreal  Expos
49701,19700909,1,Montreal  Expos
49702,19700910,-6,Montreal  Expos
49708,19700406,-4,Montreal  Expos
49729,19700529,-2,Montreal  Expos
49730,19700530,-1,Montreal  Expos
49731,19700531,-2,Montreal  Expos
49773,19700818,3,Montreal  Expos
49774,19700819,2,Montreal  Expos
49975,19700602,-2,Montreal  Expos
49976,19700603,-5,Montreal  Expos
49977,19700604,-8,Montreal  Expos
50011,19700814,8,Montreal  Expos
50012,19700815,-4,Montreal  Expos
50013,19700816,2,Montreal  Expos
50123,19700430,-1,Montreal  Expos
50124,19700501,2,Montreal  Expos
50125,19700502,-4,Montreal  Expos
50126,19700503,-14,Montreal  Expos
50158,19700721,3,Montreal  Expos
50159,19700722,-2,Montreal  Expos
50530,19700511,3,Montreal  Expos
50531,19700512,-4,Montreal  Expos
50556,19700709,-6,Montreal  Expos
50557,19700710,2,Montreal  Expos
50558,19700711,4,Montreal  Expos
50559,19700712,2,Montreal  Expos
50581,19700907,-1,Montreal  Expos
50582,19700907,-4,Montreal  Expos
50583,19700908,-5,Montreal  Expos
50690,19700513,1,Montreal  Expos
50705,19700622,-6,Montreal  Expos
50706,19700622,-1,Montreal  Expos
50707,19700623,1,Montreal  Expos
50708,19700624,8,Montreal  Expos
50709,19700625,-1,Montreal  Expos
50755,19700929,7,Montreal  Expos
50756,19700930,1,Montreal  Expos
50757,19701001,-1,Montreal  Expos
50775,19700515,1,Montreal  Expos
50776,19700516,-1,Montreal  Expos
50777,19700517,1,Montreal  Expos
50790,19700619,-4,Montreal  Expos
50791,19700620,-2,Montreal  Expos
50792,19700621,1,Montreal  Expos
50833,19700922,1,Montreal  Expos
50834,19700922,-2,Montreal  Expos
50835,19700923,1,Montreal  Expos
50836,19700924,-8,Montreal  Expos
50846,19700428,2,Montreal  Expos
50847,19700428,4,Montreal  Expos
50848,19700429,-10,Montreal  Expos
50886,19700719,-1,Montreal  Expos
50887,19700719,1,Montreal  Expos
50888,19700720,-2,Montreal  Expos
50928,19700424,-9,Montreal  Expos
50929,19700425,4,Montreal  Expos
50930,19700426,-10,Montreal  Expos
50931,19700426,1,Montreal  Expos
50966,19700717,4,Montreal  Expos
50967,19700718,-9,Montreal  Expos
51005,19700414,-1,Montreal  Expos
51006,19700415,-10,Montreal  Expos
51053,19700807,-1,Montreal  Expos
51054,19700808,-1,Montreal  Expos
51055,19700809,1,Montreal  Expos
51056,19700809,-4,Montreal  Expos
51071,19700904,2,Montreal  Expos
51072,19700905,6,Montreal  Expos
51073,19700906,-5,Montreal  Expos
51184,19710519,-6,Montreal  Expos
51185,19710520,1,Montreal  Expos
51194,19710621,-2,Montreal  Expos
51195,19710621,2,Montreal  Expos
51196,19710622,-4,Montreal  Expos
51197,19710623,3,Montreal  Expos
51570,19710428,-1,Montreal  Expos
51571,19710429,1,Montreal  Expos
51609,19710718,-4,Montreal  Expos
51610,19710719,2,Montreal  Expos
51628,19710830,4,Montreal  Expos
51629,19710831,-1,Montreal  Expos
51630,19710831,9,Montreal  Expos
51631,19710901,-3,Montreal  Expos
51632,19710902,4,Montreal  Expos
51645,19710514,-3,Montreal  Expos
51659,19710515,-5,Montreal  Expos
51660,19710516,6,Montreal  Expos
51696,19710806,-8,Montreal  Expos
51697,19710807,1,Montreal  Expos
51698,19710808,-3,Montreal  Expos
51894,19710423,1,Montreal  Expos
51895,19710424,1,Montreal  Expos
51896,19710425,1,Montreal  Expos
51938,19710720,1,Montreal  Expos
51939,19710721,2,Montreal  Expos
51940,19710722,-6,Montreal  Expos
52073,19710531,-4,Montreal  Expos
52074,19710601,3,Montreal  Expos
