,game_dt,s,team_name
492,19220418,2,New York  Yankees
503,19220622,-4,New York  Yankees
504,19220623,-1,New York  Yankees
505,19220624,-5,New York  Yankees
506,19220624,-3,New York  Yankees
507,19220626,2,New York  Yankees
525,19220928,-2,New York  Yankees
657,19220606,2,New York  Yankees
658,19220607,2,New York  Yankees
659,19220608,5,New York  Yankees
660,19220609,-4,New York  Yankees
683,19220729,4,New York  Yankees
684,19220730,-1,New York  Yankees
685,19220731,-1,New York  Yankees
703,19220913,-4,New York  Yankees
704,19220914,3,New York  Yankees
705,19220915,-1,New York  Yankees
892,19220618,-7,New York  Yankees
893,19220619,-2,New York  Yankees
894,19220620,1,New York  Yankees
895,19220621,4,New York  Yankees
910,19220802,4,New York  Yankees
911,19220803,1,New York  Yankees
912,19220804,2,New York  Yankees
913,19220805,6,New York  Yankees
933,19220922,6,New York  Yankees
934,19220923,1,New York  Yankees
935,19220924,-3,New York  Yankees
951,19220614,-4,New York  Yankees
952,19220615,-1,New York  Yankees
953,19220616,-5,New York  Yankees
954,19220617,-1,New York  Yankees
960,19220806,5,New York  Yankees
961,19220808,-1,New York  Yankees
962,19220809,5,New York  Yankees
965,19220919,1,New York  Yankees
966,19220920,1,New York  Yankees
967,19220921,1,New York  Yankees
1116,19220503,-2,New York  Yankees
1117,19220505,1,New York  Yankees
1118,19220506,2,New York  Yankees
1137,19220701,3,New York  Yankees
1138,19220701,3,New York  Yankees
1139,19220703,11,New York  Yankees
1140,19220704,-2,New York  Yankees
1141,19220704,5,New York  Yankees
1174,19220902,5,New York  Yankees
1175,19220902,-6,New York  Yankees
1176,19220911,5,New York  Yankees
1333,19220726,5,New York  Yankees
1334,19220727,1,New York  Yankees
1335,19220728,4,New York  Yankees
1340,19220916,1,New York  Yankees
1341,19220917,-4,New York  Yankees
1342,19220918,1,New York  Yankees
1378,19220412,-1,New York  Yankees
1379,19220507,7,New York  Yankees
1390,19220526,-2,New York  Yankees
1391,19220527,2,New York  Yankees
1392,19220528,-1,New York  Yankees
1394,19220628,-1,New York  Yankees
1407,19221001,-5,New York  Yankees
1409,19250501,-2,New York  Yankees
1410,19250502,-1,New York  Yankees
1427,19250627,5,New York  Yankees
1428,19250627,4,New York  Yankees
1429,19250629,-5,New York  Yankees
1430,19250630,3,New York  Yankees
1431,19250701,3,New York  Yankees
1445,19250908,1,New York  Yankees
1446,19250908,3,New York  Yankees
1447,19250909,-1,New York  Yankees
1604,19250512,-1,New York  Yankees
1605,19250513,-4,New York  Yankees
1606,19250514,-1,New York  Yankees
1607,19250515,1,New York  Yankees
1628,19250711,2,New York  Yankees
1629,19250713,-4,New York  Yankees
1630,19250714,-3,New York  Yankees
1649,19250825,3,New York  Yankees
1650,19250826,-1,New York  Yankees
1651,19250827,-1,New York  Yankees
1821,19250520,-1,New York  Yankees
1822,19250521,3,New York  Yankees
1823,19250523,1,New York  Yankees
1851,19250715,-1,New York  Yankees
1852,19250715,5,New York  Yankees
1853,19250716,-8,New York  Yankees
1854,19250717,4,New York  Yankees
1864,19250821,-1,New York  Yankees
1865,19250822,-1,New York  Yankees
1866,19250823,-1,New York  Yankees
1867,19250824,-4,New York  Yankees
1888,19250516,9,New York  Yankees
1889,19250518,2,New York  Yankees
1890,19250519,-6,New York  Yankees
1904,19250718,-4,New York  Yankees
1905,19250720,-4,New York  Yankees
1906,19250721,1,New York  Yankees
1910,19250818,3,New York  Yankees
1911,19250819,-1,New York  Yankees
2056,19250427,-8,New York  Yankees
2061,19250529,-2,New York  Yankees
2062,19250530,-2,New York  Yankees
2063,19250530,-1,New York  Yankees
2104,19250910,4,New York  Yankees
2105,19250910,-1,New York  Yankees
2106,19250911,-1,New York  Yankees
2107,19250912,5,New York  Yankees
2108,19250912,-4,New York  Yankees
2109,19250914,2,New York  Yankees
2125,19251002,-10,New York  Yankees
2277,19250508,12,New York  Yankees
2278,19250509,0,New York  Yankees
2279,19250511,-9,New York  Yankees
2300,19250707,-10,New York  Yankees
2301,19250708,2,New York  Yankees
2302,19250710,-1,New York  Yankees
2319,19250828,-1,New York  Yankees
2320,19250829,3,New York  Yankees
2374,19250422,-9,New York  Yankees
2375,19250423,-1,New York  Yankees
2376,19250425,-1,New York  Yankees
2386,19250623,-7,New York  Yankees
2387,19250624,2,New York  Yankees
2400,19250814,-2,New York  Yankees
2401,19250816,1,New York  Yankees
2412,19270429,9,New York  Yankees
2413,19270430,-1,New York  Yankees
2427,19270621,4,New York  Yankees
