,game_dt,s,team_name
45744,19680410,-2,Oakland  Athletics
45772,19680607,5,Oakland  Athletics
45773,19680607,6,Oakland  Athletics
45774,19680608,-7,Oakland  Athletics
45806,19680826,-6,Oakland  Athletics
45807,19680826,2,Oakland  Athletics
45808,19680827,-2,Oakland  Athletics
45809,19680827,-5,Oakland  Athletics
45834,19680503,5,Oakland  Athletics
45835,19680504,2,Oakland  Athletics
45836,19680505,1,Oakland  Athletics
45859,19680701,-3,Oakland  Athletics
45860,19680702,-1,Oakland  Athletics
45861,19680703,-1,Oakland  Athletics
45862,19680704,-5,Oakland  Athletics
45891,19680828,2,Oakland  Athletics
45892,19680829,-9,Oakland  Athletics
45913,19680426,4,Oakland  Athletics
45914,19680427,3,Oakland  Athletics
45915,19680428,-1,Oakland  Athletics
45944,19680624,1,Oakland  Athletics
45945,19680625,-1,Oakland  Athletics
45946,19680626,3,Oakland  Athletics
45968,19680830,-2,Oakland  Athletics
45969,19680831,2,Oakland  Athletics
45970,19680901,3,Oakland  Athletics
45998,19680517,-1,Oakland  Athletics
45999,19680518,-2,Oakland  Athletics
46000,19680519,-4,Oakland  Athletics
46001,19680519,-4,Oakland  Athletics
46036,19680722,4,Oakland  Athletics
46037,19680724,1,Oakland  Athletics
46038,19680724,1,Oakland  Athletics
46062,19680917,-1,Oakland  Athletics
46063,19680917,7,Oakland  Athletics
46239,19680501,-2,Oakland  Athletics
46257,19680610,-5,Oakland  Athletics
46258,19680611,2,Oakland  Athletics
46259,19680612,7,Oakland  Athletics
46260,19680613,1,Oakland  Athletics
46285,19680802,4,Oakland  Athletics
46286,19680803,-3,Oakland  Athletics
46287,19680804,5,Oakland  Athletics
46288,19680804,-3,Oakland  Athletics
46318,19680429,-1,Oakland  Athletics
46319,19680430,2,Oakland  Athletics
46352,19680705,-3,Oakland  Athletics
46353,19680706,3,Oakland  Athletics
46354,19680707,-1,Oakland  Athletics
46355,19680707,-1,Oakland  Athletics
46384,19680913,-3,Oakland  Athletics
46385,19680914,-1,Oakland  Athletics
46386,19680915,-13,Oakland  Athletics
46557,19680514,5,Oakland  Athletics
46558,19680516,-1,Oakland  Athletics
46588,19680719,2,Oakland  Athletics
46589,19680720,1,Oakland  Athletics
46590,19680721,-2,Oakland  Athletics
46591,19680721,-10,Oakland  Athletics
46625,19680920,6,Oakland  Athletics
46626,19680921,-1,Oakland  Athletics
46627,19680922,-1,Oakland  Athletics
46631,19680415,3,Oakland  Athletics
46632,19680416,1,Oakland  Athletics
46662,19680628,1,Oakland  Athletics
46663,19680629,3,Oakland  Athletics
46664,19680629,-1,Oakland  Athletics
46665,19680630,-2,Oakland  Athletics
46683,19680807,-3,Oakland  Athletics
46684,19680807,1,Oakland  Athletics
46685,19680808,2,Oakland  Athletics
47197,19680413,3,Oakland  Athletics
47198,19680414,-7,Oakland  Athletics
47216,19680604,-2,Oakland  Athletics
47217,19680605,-2,Oakland  Athletics
47218,19680606,-1,Oakland  Athletics
47246,19680809,2,Oakland  Athletics
47247,19680809,-1,Oakland  Athletics
47248,19680810,3,Oakland  Athletics
47249,19680811,5,Oakland  Athletics
47378,19690523,-1,Oakland  Athletics
47379,19690524,-1,Oakland  Athletics
47380,19690525,-2,Oakland  Athletics
47415,19690811,3,Oakland  Athletics
47416,19690812,-1,Oakland  Athletics
47417,19690813,-8,Oakland  Athletics
47464,19690613,3,Oakland  Athletics
47465,19690614,14,Oakland  Athletics
47466,19690615,8,Oakland  Athletics
47501,19690901,-4,Oakland  Athletics
47502,19690903,3,Oakland  Athletics
47503,19690903,-4,Oakland  Athletics
47524,19690430,5,Oakland  Athletics
47525,19690501,-1,Oakland  Athletics
47561,19690718,3,Oakland  Athletics
47562,19690719,1,Oakland  Athletics
47563,19690720,-4,Oakland  Athletics
47564,19690720,3,Oakland  Athletics
47593,19690919,-1,Oakland  Athletics
47594,19690920,-4,Oakland  Athletics
47595,19690921,10,Oakland  Athletics
47638,19690707,-2,Oakland  Athletics
47639,19690708,1,Oakland  Athletics
47640,19690708,-3,Oakland  Athletics
47641,19690709,-2,Oakland  Athletics
47642,19690710,10,Oakland  Athletics
47667,19690912,8,Oakland  Athletics
47668,19690913,4,Oakland  Athletics
47669,19690914,-4,Oakland  Athletics
47670,19690914,-1,Oakland  Athletics
47857,19690516,3,Oakland  Athletics
47858,19690517,-1,Oakland  Athletics
47899,19690805,5,Oakland  Athletics
47900,19690805,-6,Oakland  Athletics
47901,19690806,2,Oakland  Athletics
47902,19690807,3,Oakland  Athletics
47946,19690606,2,Oakland  Athletics
