,game_dt,s,team_name
8,19210430,-1,Philadelphia  Phillies
9,19210501,-3,Philadelphia  Phillies
10,19210502,-1,Philadelphia  Phillies
25,19210529,1,Philadelphia  Phillies
26,19210621,-2,Philadelphia  Phillies
27,19210622,-6,Philadelphia  Phillies
28,19210623,-2,Philadelphia  Phillies
33,19210703,-2,Philadelphia  Phillies
68,19210904,-6,Philadelphia  Phillies
69,19210905,-2,Philadelphia  Phillies
70,19210905,-4,Philadelphia  Phillies
71,19210906,3,Philadelphia  Phillies
81,19210504,-3,Philadelphia  Phillies
82,19210507,-1,Philadelphia  Phillies
104,19210811,-1,Philadelphia  Phillies
105,19210812,5,Philadelphia  Phillies
106,19210812,4,Philadelphia  Phillies
107,19210813,-1,Philadelphia  Phillies
108,19210813,-8,Philadelphia  Phillies
135,19210607,-2,Philadelphia  Phillies
136,19210608,3,Philadelphia  Phillies
137,19210609,-2,Philadelphia  Phillies
156,19210729,4,Philadelphia  Phillies
157,19210730,-1,Philadelphia  Phillies
158,19210730,1,Philadelphia  Phillies
159,19210801,5,Philadelphia  Phillies
169,19210913,2,Philadelphia  Phillies
170,19210914,-10,Philadelphia  Phillies
171,19210915,3,Philadelphia  Phillies
208,19210619,3,Philadelphia  Phillies
225,19210807,1,Philadelphia  Phillies
239,19210920,5,Philadelphia  Phillies
240,19210922,-1,Philadelphia  Phillies
246,19210421,1,Philadelphia  Phillies
247,19210422,-1,Philadelphia  Phillies
248,19210424,-1,Philadelphia  Phillies
269,19210530,-4,Philadelphia  Phillies
270,19210530,-6,Philadelphia  Phillies
271,19210531,5,Philadelphia  Phillies
272,19210601,-7,Philadelphia  Phillies
273,19210601,-5,Philadelphia  Phillies
296,19210724,-1,Philadelphia  Phillies
301,19210814,-6,Philadelphia  Phillies
302,19210815,1,Philadelphia  Phillies
414,19210611,-7,Philadelphia  Phillies
415,19210613,-7,Philadelphia  Phillies
416,19210614,-5,Philadelphia  Phillies
421,19210620,-1,Philadelphia  Phillies
435,19210803,-4,Philadelphia  Phillies
436,19210804,-5,Philadelphia  Phillies
437,19210805,-3,Philadelphia  Phillies
464,19210923,-2,Philadelphia  Phillies
465,19210924,-1,Philadelphia  Phillies
466,19210926,1,Philadelphia  Phillies
467,19210927,-3,Philadelphia  Phillies
526,19220416,-8,Philadelphia  Phillies
530,19220428,3,Philadelphia  Phillies
531,19220429,-1,Philadelphia  Phillies
532,19220430,-4,Philadelphia  Phillies
