,game_dt,s,team_name
47285,19690430,-3,San Diego  Padres
47286,19690501,1,San Diego  Padres
47322,19690718,-4,San Diego  Padres
47323,19690718,-3,San Diego  Padres
47324,19690719,5,San Diego  Padres
47325,19690720,-10,San Diego  Padres
47351,19690926,-6,San Diego  Padres
47352,19690927,-2,San Diego  Padres
47353,19690928,-2,San Diego  Padres
47697,19690512,-2,San Diego  Padres
47698,19690513,-19,San Diego  Padres
47699,19690514,-1,San Diego  Padres
47735,19690801,-3,San Diego  Padres
47736,19690802,-3,San Diego  Padres
47737,19690803,-1,San Diego  Padres
47769,19690502,3,San Diego  Padres
47770,19690503,8,San Diego  Padres
47771,19690504,-1,San Diego  Padres
47772,19690504,-12,San Diego  Padres
47792,19690623,-5,San Diego  Padres
47793,19690624,-1,San Diego  Padres
47794,19690625,-4,San Diego  Padres
47832,19690910,1,San Diego  Padres
47833,19690911,-2,San Diego  Padres
48014,19690423,-4,San Diego  Padres
48015,19690424,3,San Diego  Padres
48037,19690619,-2,San Diego  Padres
48038,19690620,-5,San Diego  Padres
48039,19690620,-2,San Diego  Padres
48040,19690621,-4,San Diego  Padres
48041,19690622,-2,San Diego  Padres
48076,19690908,-7,San Diego  Padres
48077,19690909,-7,San Diego  Padres
48168,19690415,-14,San Diego  Padres
48169,19690416,-8,San Diego  Padres
48198,19690616,1,San Diego  Padres
48199,19690617,-4,San Diego  Padres
48200,19690617,-11,San Diego  Padres
48201,19690618,-9,San Diego  Padres
48235,19690912,-2,San Diego  Padres
48236,19690913,-5,San Diego  Padres
48237,19690914,-2,San Diego  Padres
48351,19690530,1,San Diego  Padres
48352,19690531,4,San Diego  Padres
48353,19690601,3,San Diego  Padres
48391,19690819,1,San Diego  Padres
48392,19690820,-1,San Diego  Padres
48393,19690821,1,San Diego  Padres
48511,19690527,1,San Diego  Padres
48512,19690528,-1,San Diego  Padres
48546,19690816,-2,San Diego  Padres
48547,19690816,-1,San Diego  Padres
48548,19690817,-1,San Diego  Padres
48549,19690817,-1,San Diego  Padres
48679,19690602,2,San Diego  Padres
48680,19690603,1,San Diego  Padres
48681,19690604,3,San Diego  Padres
48719,19690822,-10,San Diego  Padres
48720,19690823,-1,San Diego  Padres
48721,19690824,-2,San Diego  Padres
48749,19690506,2,San Diego  Padres
48750,19690507,-2,San Diego  Padres
48781,19690724,-1,San Diego  Padres
48782,19690725,1,San Diego  Padres
48783,19690726,-1,San Diego  Padres
48784,19690727,-3,San Diego  Padres
48979,19690417,-1,San Diego  Padres
48980,19690418,2,San Diego  Padres
48981,19690419,-2,San Diego  Padres
48982,19690420,-1,San Diego  Padres
49023,19690715,7,San Diego  Padres
49024,19690716,-1,San Diego  Padres
49058,19690930,-5,San Diego  Padres
49059,19691001,5,San Diego  Padres
49060,19691002,1,San Diego  Padres
49075,19690509,-1,San Diego  Padres
49076,19690510,2,San Diego  Padres
49077,19690511,2,San Diego  Padres
49112,19690728,-1,San Diego  Padres
49113,19690729,-6,San Diego  Padres
49114,19690730,-3,San Diego  Padres
49224,19700415,-2,San Diego  Padres
49225,19700416,1,San Diego  Padres
49256,19700703,-7,San Diego  Padres
49257,19700703,-5,San Diego  Padres
49258,19700704,-1,San Diego  Padres
49259,19700705,1,San Diego  Padres
49297,19700922,-1,San Diego  Padres
49298,19700923,2,San Diego  Padres
49299,19700924,5,San Diego  Padres
49648,19700530,7,San Diego  Padres
49649,19700530,-1,San Diego  Padres
49650,19700531,-3,San Diego  Padres
49693,19700817,-7,San Diego  Padres
49694,19700818,8,San Diego  Padres
49695,19700819,-10,San Diego  Padres
49709,19700413,2,San Diego  Padres
49710,19700414,-5,San Diego  Padres
49751,19700706,-5,San Diego  Padres
49752,19700707,-3,San Diego  Padres
49753,19700708,2,San Diego  Padres
49754,19700709,1,San Diego  Padres
49778,19700904,13,San Diego  Padres
49779,19700905,-4,San Diego  Padres
49780,19700906,-1,San Diego  Padres
49959,19700417,-3,San Diego  Padres
49960,19700418,-1,San Diego  Padres
49961,19700419,-4,San Diego  Padres
49983,19700622,-3,San Diego  Padres
49984,19700623,-1,San Diego  Padres
49985,19700624,-1,San Diego  Padres
50017,19700901,1,San Diego  Padres
50018,19700902,-1,San Diego  Padres
50019,19700903,4,San Diego  Padres
50114,19700410,5,San Diego  Padres
50115,19700411,4,San Diego  Padres
50116,19700412,-6,San Diego  Padres
50146,19700626,-3,San Diego  Padres
50147,19700627,-2,San Diego  Padres
50148,19700628,-2,San Diego  Padres
50182,19700914,-8,San Diego  Padres
50183,19700915,-1,San Diego  Padres
50184,19700916,4,San Diego  Padres
50361,19700508,10,San Diego  Padres
50362,19700508,-1,San Diego  Padres
50363,19700509,6,San Diego  Padres
50364,19700510,1,San Diego  Padres
50398,19700728,-1,San Diego  Padres
50399,19700729,-1,San Diego  Padres
50522,19700421,2,San Diego  Padres
50523,19700422,-1,San Diego  Padres
50566,19700731,-1,San Diego  Padres
50567,19700801,-2,San Diego  Padres
50568,19700802,3,San Diego  Padres
50569,19700802,2,San Diego  Padres
50684,19700505,3,San Diego  Padres
50685,19700506,-1,San Diego  Padres
50686,19700507,6,San Diego  Padres
50718,19700724,-1,San Diego  Padres
50719,19700725,-7,San Diego  Padres
50720,19700726,14,San Diego  Padres
50784,19700601,-4,San Diego  Padres
50785,19700602,6,San Diego  Padres
50818,19700814,-1,San Diego  Padres
50819,19700814,-9,San Diego  Padres
50820,19700815,-6,San Diego  Padres
50821,19700816,2,San Diego  Padres
50941,19700522,-5,San Diego  Padres
50942,19700523,1,San Diego  Padres
50943,19700524,-5,San Diego  Padres
50944,19700524,-1,San Diego  Padres
50961,19700630,1,San Diego  Padres
50962,19700701,-5,San Diego  Padres
50999,19700925,3,San Diego  Padres
51000,19700926,-1,San Diego  Padres
51001,19700927,-1,San Diego  Padres
51028,19700605,1,San Diego  Padres
51029,19700606,1,San Diego  Padres
51030,19700607,-3,San Diego  Padres
51057,19700811,-1,San Diego  Padres
51058,19700812,-1,San Diego  Padres
51059,19700813,2,San Diego  Padres
51170,19710424,1,San Diego  Padres
51171,19710425,1,San Diego  Padres
51172,19710425,-1,San Diego  Padres
51211,19710720,-2,San Diego  Padres
51212,19710721,-1,San Diego  Padres
51213,19710721,-1,San Diego  Padres
51214,19710722,-1,San Diego  Padres
51237,19710921,-3,San Diego  Padres
51238,19710922,4,San Diego  Padres
51575,19710514,-1,San Diego  Padres
51576,19710515,-2,San Diego  Padres
51577,19710516,-1,San Diego  Padres
51578,19710516,-2,San Diego  Padres
51614,19710804,-3,San Diego  Padres
51615,19710805,-3,San Diego  Padres
51653,19710427,-5,San Diego  Padres
51654,19710428,-1,San Diego  Padres
51655,19710429,-2,San Diego  Padres
51691,19710718,-3,San Diego  Padres
51692,19710719,1,San Diego  Padres
51711,19710830,-1,San Diego  Padres
51712,19710830,1,San Diego  Padres
51713,19710831,-1,San Diego  Padres
51714,19710901,2,San Diego  Padres
51906,19710517,-2,San Diego  Padres
51907,19710518,-1,San Diego  Padres
51908,19710519,1,San Diego  Padres
51909,19710520,2,San Diego  Padres
51945,19710806,1,San Diego  Padres
51946,19710807,-2,San Diego  Padres
51947,19710808,1,San Diego  Padres
51958,19710913,-1,San Diego  Padres
51959,19710914,3,San Diego  Padres
52049,19710409,3,San Diego  Padres
52050,19710410,-7,San Diego  Padres
52051,19710411,2,San Diego  Padres
52086,19710625,1,San Diego  Padres
52087,19710626,-2,San Diego  Padres
52088,19710626,-1,San Diego  Padres
52089,19710627,-5,San Diego  Padres
52121,19710915,1,San Diego  Padres
52122,19710916,3,San Diego  Padres
52316,19710614,1,San Diego  Padres
52317,19710615,2,San Diego  Padres
52318,19710616,-2,San Diego  Padres
52352,19710829,-5,San Diego  Padres
52353,19710829,10,San Diego  Padres
52472,19710608,-2,San Diego  Padres
52473,19710609,-2,San Diego  Padres
52474,19710610,2,San Diego  Padres
52508,19710820,1,San Diego  Padres
52509,19710821,-1,San Diego  Padres
52510,19710822,-2,San Diego  Padres
52639,19710611,1,San Diego  Padres
52640,19710612,-3,San Diego  Padres
52641,19710613,1,San Diego  Padres
52673,19710823,-2,San Diego  Padres
52674,19710824,2,San Diego  Padres
52675,19710825,7,San Diego  Padres
52705,19710430,-2,San Diego  Padres
52706,19710501,-1,San Diego  Padres
52707,19710502,-4,San Diego  Padres
52738,19710715,-1,San Diego  Padres
52739,19710716,-1,San Diego  Padres
52740,19710717,-7,San Diego  Padres
52849,19710412,-5,San Diego  Padres
52882,19710618,-4,San Diego  Padres
52883,19710618,-1,San Diego  Padres
52884,19710619,-3,San Diego  Padres
52885,19710620,-4,San Diego  Padres
52886,19710620,-2,San Diego  Padres
52927,19710917,-2,San Diego  Padres
52928,19710918,1,San Diego  Padres
52929,19710919,-3,San Diego  Padres
52949,19710521,-7,San Diego  Padres
52950,19710522,-3,San Diego  Padres
52951,19710523,-5,San Diego  Padres
52952,19710524,9,San Diego  Padres
52985,19710802,-2,San Diego  Padres
52986,19710803,5,San Diego  Padres
53110,19720529,-1,San Diego  Padres
53111,19720531,-1,San Diego  Padres
53138,19720801,9,San Diego  Padres
53139,19720801,4,San Diego  Padres
53140,19720802,5,San Diego  Padres
53141,19720803,1,San Diego  Padres
53164,19720922,-2,San Diego  Padres
53165,19720923,3,San Diego  Padres
53166,19720924,1,San Diego  Padres
53501,19720613,1,San Diego  Padres
53502,19720614,-3,San Diego  Padres
53503,19720615,-9,San Diego  Padres
53542,19720901,-11,San Diego  Padres
53543,19720902,-8,San Diego  Padres
53544,19720903,3,San Diego  Padres
53574,19720526,-4,San Diego  Padres
53575,19720527,-5,San Diego  Padres
53576,19720528,3,San Diego  Padres
53599,19720727,-6,San Diego  Padres
53600,19720728,2,San Diego  Padres
53601,19720729,1,San Diego  Padres
53622,19720915,1,San Diego  Padres
53623,19720916,-3,San Diego  Padres
53624,19720917,3,San Diego  Padres
53837,19720730,3,San Diego  Padres
53838,19720730,-1,San Diego  Padres
53839,19720731,-1,San Diego  Padres
53857,19720913,-1,San Diego  Padres
53858,19720914,-4,San Diego  Padres
53944,19720421,-10,San Diego  Padres
53945,19720422,-1,San Diego  Padres
53946,19720423,1,San Diego  Padres
53992,19720804,2,San Diego  Padres
53993,19720805,-1,San Diego  Padres
53994,19720806,-6,San Diego  Padres
54016,19720925,2,San Diego  Padres
54017,19720926,-4,San Diego  Padres
54018,19720927,-2,San Diego  Padres
54182,19720512,2,San Diego  Padres
54183,19720513,5,San Diego  Padres
54184,19720514,-6,San Diego  Padres
54209,19720710,-3,San Diego  Padres
54210,19720711,-1,San Diego  Padres
