,game_dt,s,team_name
47381,19690606,-4,Seattle  Pilots
47382,19690607,-10,Seattle  Pilots
47383,19690608,2,Seattle  Pilots
47418,19690826,1,Seattle  Pilots
47419,19690827,-5,Seattle  Pilots
47420,19690828,-1,Seattle  Pilots
47449,19690516,1,Seattle  Pilots
47450,19690517,-5,Seattle  Pilots
47451,19690518,3,Seattle  Pilots
47486,19690805,7,Seattle  Pilots
47487,19690806,1,Seattle  Pilots
47488,19690807,-1,Seattle  Pilots
47518,19690408,1,Seattle  Pilots
47519,19690409,-4,Seattle  Pilots
47554,19690627,-2,Seattle  Pilots
47555,19690627,3,Seattle  Pilots
47556,19690628,3,Seattle  Pilots
47557,19690629,-6,Seattle  Pilots
47596,19690922,1,Seattle  Pilots
47597,19690923,-1,Seattle  Pilots
47598,19690924,-2,Seattle  Pilots
47600,19690419,4,Seattle  Pilots
47601,19690420,-1,Seattle  Pilots
47602,19690420,-10,Seattle  Pilots
47626,19690616,-5,Seattle  Pilots
47627,19690618,-4,Seattle  Pilots
47628,19690618,1,Seattle  Pilots
47629,19690619,-3,Seattle  Pilots
47674,19690917,-2,Seattle  Pilots
47675,19690917,-1,Seattle  Pilots
47862,19690523,-6,Seattle  Pilots
47863,19690524,6,Seattle  Pilots
47864,19690525,1,Seattle  Pilots
47906,19690811,6,Seattle  Pilots
47907,19690812,-1,Seattle  Pilots
47908,19690813,2,Seattle  Pilots
47948,19690609,1,Seattle  Pilots
47949,19690610,-5,Seattle  Pilots
47950,19690611,-1,Seattle  Pilots
47988,19690829,-5,Seattle  Pilots
47989,19690830,-1,Seattle  Pilots
47990,19690831,-5,Seattle  Pilots
48091,19690421,3,Seattle  Pilots
48092,19690422,-1,Seattle  Pilots
48093,19690423,-1,Seattle  Pilots
48128,19690704,-11,Seattle  Pilots
48129,19690704,-1,Seattle  Pilots
48130,19690705,-2,Seattle  Pilots
48131,19690706,6,Seattle  Pilots
48155,19690915,1,Seattle  Pilots
48156,19690916,-1,Seattle  Pilots
48258,19690430,-2,Seattle  Pilots
48259,19690501,-3,Seattle  Pilots
48290,19690711,-6,Seattle  Pilots
48291,19690712,-10,Seattle  Pilots
48292,19690713,-3,Seattle  Pilots
48293,19690713,-1,Seattle  Pilots
48324,19690919,-1,Seattle  Pilots
48325,19690920,-1,Seattle  Pilots
48326,19690921,1,Seattle  Pilots
48441,19690613,1,Seattle  Pilots
48442,19690614,1,Seattle  Pilots
48443,19690615,-4,Seattle  Pilots
48475,19690901,-5,Seattle  Pilots
48476,19690901,4,Seattle  Pilots
48477,19690902,-1,Seattle  Pilots
