,game_dt,s,team_name
62804,19770506,-3,Seattle  Mariners
62805,19770507,-2,Seattle  Mariners
62806,19770508,-2,Seattle  Mariners
62843,19770810,-1,Seattle  Mariners
62844,19770811,-1,Seattle  Mariners
62880,19770503,2,Seattle  Mariners
62881,19770504,-3,Seattle  Mariners
62882,19770505,-3,Seattle  Mariners
62924,19770812,-5,Seattle  Mariners
62925,19770813,-7,Seattle  Mariners
62926,19770814,-10,Seattle  Mariners
62951,19770415,-7,Seattle  Mariners
62952,19770416,-2,Seattle  Mariners
62953,19770417,4,Seattle  Mariners
62996,19770714,3,Seattle  Mariners
62997,19770715,4,Seattle  Mariners
62998,19770716,-1,Seattle  Mariners
62999,19770717,1,Seattle  Mariners
63062,19770627,-6,Seattle  Mariners
63063,19770628,-6,Seattle  Mariners
63064,19770629,2,Seattle  Mariners
63087,19770808,-1,Seattle  Mariners
63088,19770809,-10,Seattle  Mariners
63110,19771001,2,Seattle  Mariners
63111,19771001,-5,Seattle  Mariners
63112,19771002,1,Seattle  Mariners
63291,19770524,-2,Seattle  Mariners
63292,19770525,-1,Seattle  Mariners
63334,19770826,2,Seattle  Mariners
63335,19770827,-10,Seattle  Mariners
63336,19770828,-4,Seattle  Mariners
63371,19770527,1,Seattle  Mariners
63372,19770528,2,Seattle  Mariners
63373,19770529,2,Seattle  Mariners
63412,19770815,-12,Seattle  Mariners
63413,19770816,1,Seattle  Mariners
63553,19770620,2,Seattle  Mariners
63554,19770621,-10,Seattle  Mariners
63555,19770622,-1,Seattle  Mariners
63556,19770623,2,Seattle  Mariners
63590,19770916,3,Seattle  Mariners
63591,19770917,-2,Seattle  Mariners
63592,19770918,-5,Seattle  Mariners
63716,19770624,-6,Seattle  Mariners
63717,19770625,5,Seattle  Mariners
63718,19770626,-2,Seattle  Mariners
63754,19770920,-4,Seattle  Mariners
63755,19770921,7,Seattle  Mariners
63764,19770426,-2,Seattle  Mariners
63765,19770427,-2,Seattle  Mariners
63766,19770428,1,Seattle  Mariners
63790,19770710,-15,Seattle  Mariners
63802,19770708,2,Seattle  Mariners
63803,19770709,3,Seattle  Mariners
63817,19770817,1,Seattle  Mariners
63818,19770818,-6,Seattle  Mariners
63929,19770429,-3,Seattle  Mariners
63930,19770430,-5,Seattle  Mariners
63931,19770501,-3,Seattle  Mariners
63987,19770830,-1,Seattle  Mariners
63988,19770831,-1,Seattle  Mariners
64104,19770519,3,Seattle  Mariners
64105,19770520,-9,Seattle  Mariners
64106,19770521,1,Seattle  Mariners
64107,19770522,4,Seattle  Mariners
64124,19770711,-7,Seattle  Mariners
64125,19770712,-1,Seattle  Mariners
64126,19770713,2,Seattle  Mariners
64671,19770530,3,Seattle  Mariners
64672,19770530,6,Seattle  Mariners
64681,19770617,1,Seattle  Mariners
64682,19770617,-2,Seattle  Mariners
64683,19770618,5,Seattle  Mariners
64684,19770619,1,Seattle  Mariners
64727,19770928,-2,Seattle  Mariners
64728,19770929,1,Seattle  Mariners
64749,19770509,-6,Seattle  Mariners
64750,19770510,-6,Seattle  Mariners
64795,19770902,1,Seattle  Mariners
64796,19770903,4,Seattle  Mariners
64797,19770904,5,Seattle  Mariners
64917,19780612,-1,Seattle  Mariners
64918,19780613,-1,Seattle  Mariners
64949,19780825,-5,Seattle  Mariners
64950,19780826,-7,Seattle  Mariners
64951,19780827,-1,Seattle  Mariners
65004,19780616,-3,Seattle  Mariners
65005,19780617,-1,Seattle  Mariners
65006,19780618,1,Seattle  Mariners
65036,19780828,-1,Seattle  Mariners
65037,19780829,-5,Seattle  Mariners
65063,19780424,1,Seattle  Mariners
