,game_dt,s,team_name
31099,19580516,-1,San Francisco  Giants
31100,19580517,5,San Francisco  Giants
31101,19580518,4,San Francisco  Giants
31102,19580518,4,San Francisco  Giants
31119,19580701,-4,San Francisco  Giants
31120,19580702,3,San Francisco  Giants
31133,19580804,2,San Francisco  Giants
31134,19580805,-1,San Francisco  Giants
31153,19580906,-3,San Francisco  Giants
31154,19580907,-2,San Francisco  Giants
31155,19580907,-3,San Francisco  Giants
31169,19580520,2,San Francisco  Giants
31170,19580521,1,San Francisco  Giants
31188,19580626,4,San Francisco  Giants
31189,19580627,-1,San Francisco  Giants
31190,19580628,-6,San Francisco  Giants
31191,19580629,2,San Francisco  Giants
31205,19580729,1,San Francisco  Giants
31206,19580730,-4,San Francisco  Giants
31207,19580731,-1,San Francisco  Giants
31229,19580914,-1,San Francisco  Giants
31230,19580914,2,San Francisco  Giants
31463,19580418,-1,San Francisco  Giants
31464,19580419,7,San Francisco  Giants
31465,19580420,10,San Francisco  Giants
31482,19580512,9,San Francisco  Giants
31483,19580513,7,San Francisco  Giants
31513,19580808,-3,San Francisco  Giants
31514,19580809,3,San Francisco  Giants
31515,19580810,4,San Francisco  Giants
31532,19580902,-4,San Francisco  Giants
31533,19580903,-2,San Francisco  Giants
31534,19580904,10,San Francisco  Giants
31550,19580522,-6,San Francisco  Giants
31551,19580523,2,San Francisco  Giants
31552,19580524,-3,San Francisco  Giants
31563,19580623,-7,San Francisco  Giants
31564,19580624,-1,San Francisco  Giants
31565,19580625,8,San Francisco  Giants
31589,19580801,-2,San Francisco  Giants
31590,19580802,-10,San Francisco  Giants
31591,19580803,-1,San Francisco  Giants
31592,19580803,-6,San Francisco  Giants
31611,19580916,-3,San Francisco  Giants
31712,19580527,-4,San Francisco  Giants
31713,19580528,1,San Francisco  Giants
31721,19580620,-1,San Francisco  Giants
31722,19580622,1,San Francisco  Giants
31723,19580622,-1,San Francisco  Giants
31730,19580723,-2,San Francisco  Giants
31735,19580728,1,San Francisco  Giants
31736,19580728,1,San Francisco  Giants
31760,19580912,3,San Francisco  Giants
31761,19580912,17,San Francisco  Giants
31762,19580913,1,San Francisco  Giants
31786,19580525,3,San Francisco  Giants
31787,19580525,5,San Francisco  Giants
31794,19580617,-5,San Francisco  Giants
31795,19580618,1,San Francisco  Giants
31796,19580619,-1,San Francisco  Giants
31813,19580725,-10,San Francisco  Giants
31814,19580726,1,San Francisco  Giants
31815,19580727,-1,San Francisco  Giants
31816,19580727,-1,San Francisco  Giants
31838,19580909,-1,San Francisco  Giants
31839,19580910,-2,San Francisco  Giants
31934,19580514,-1,San Francisco  Giants
31935,19580515,2,San Francisco  Giants
31940,19580530,-1,San Francisco  Giants
31941,19580530,-7,San Francisco  Giants
31942,19580531,-1,San Francisco  Giants
31943,19580601,5,San Francisco  Giants
31973,19580806,-1,San Francisco  Giants
31974,19580807,-11,San Francisco  Giants
31998,19580919,7,San Francisco  Giants
31999,19580920,4,San Francisco  Giants
32000,19580921,3,San Francisco  Giants
32317,19590424,1,San Francisco  Giants
32318,19590425,-2,San Francisco  Giants
32319,19590426,1,San Francisco  Giants
32347,19590702,-6,San Francisco  Giants
32348,19590703,4,San Francisco  Giants
32366,19590813,-11,San Francisco  Giants
32367,19590814,-2,San Francisco  Giants
32368,19590815,2,San Francisco  Giants
32369,19590816,-1,San Francisco  Giants
32384,19590922,-1,San Francisco  Giants
32385,19590923,-1,San Francisco  Giants
32404,19590504,1,San Francisco  Giants
32405,19590505,-3,San Francisco  Giants
32416,19590605,-5,San Francisco  Giants
32417,19590606,10,San Francisco  Giants
32418,19590607,2,San Francisco  Giants
32419,19590607,-6,San Francisco  Giants
32428,19590709,1,San Francisco  Giants
32429,19590710,2,San Francisco  Giants
32430,19590711,2,San Francisco  Giants
32448,19590817,3,San Francisco  Giants
32449,19590818,-7,San Francisco  Giants
32702,19590420,-1,San Francisco  Giants
32703,19590421,-2,San Francisco  Giants
32704,19590422,3,San Francisco  Giants
32715,19590522,-1,San Francisco  Giants
32716,19590523,2,San Francisco  Giants
32717,19590524,5,San Francisco  Giants
32738,19590629,2,San Francisco  Giants
32739,19590630,2,San Francisco  Giants
32755,19590828,5,San Francisco  Giants
32756,19590830,-1,San Francisco  Giants
32757,19590831,-3,San Francisco  Giants
32781,19590501,2,San Francisco  Giants
32782,19590502,3,San Francisco  Giants
32783,19590503,-5,San Francisco  Giants
32798,19590601,9,San Francisco  Giants
32799,19590602,-3,San Francisco  Giants
32800,19590603,-3,San Francisco  Giants
32801,19590604,6,San Francisco  Giants
32814,19590712,-2,San Francisco  Giants
32815,19590713,-3,San Francisco  Giants
32834,19590819,-3,San Francisco  Giants
32835,19590820,2,San Francisco  Giants
32958,19590612,3,San Francisco  Giants
32959,19590613,1,San Francisco  Giants
32960,19590614,-2,San Francisco  Giants
32961,19590614,-3,San Francisco  Giants
32975,19590716,-2,San Francisco  Giants
32976,19590716,1,San Francisco  Giants
32994,19590821,6,San Francisco  Giants
32995,19590821,4,San Francisco  Giants
32996,19590822,7,San Francisco  Giants
32999,19590827,-5,San Francisco  Giants
33000,19590827,-1,San Francisco  Giants
33013,19590429,-1,San Francisco  Giants
33037,19590608,-3,San Francisco  Giants
33038,19590609,4,San Francisco  Giants
33039,19590610,4,San Francisco  Giants
33040,19590611,-3,San Francisco  Giants
