,game_dt,s,team_name
496,19220516,1,St.Louis  Browns
497,19220517,-1,St.Louis  Browns
508,19220707,1,St.Louis  Browns
509,19220708,-1,St.Louis  Browns
510,19220710,1,St.Louis  Browns
523,19220823,3,St.Louis  Browns
646,19220412,1,St.Louis  Browns
647,19220413,2,St.Louis  Browns
648,19220415,14,St.Louis  Browns
653,19220526,-1,St.Louis  Browns
654,19220527,-1,St.Louis  Browns
655,19220527,-1,St.Louis  Browns
656,19220528,2,St.Louis  Browns
694,19220812,1,St.Louis  Browns
695,19220813,-6,St.Louis  Browns
866,19220416,-3,St.Louis  Browns
867,19220418,-15,St.Louis  Browns
868,19220419,14,St.Louis  Browns
872,19220506,-4,St.Louis  Browns
873,19220507,3,St.Louis  Browns
896,19220627,-2,St.Louis  Browns
897,19220628,9,St.Louis  Browns
920,19220829,3,St.Louis  Browns
921,19220830,8,St.Louis  Browns
922,19220831,-1,St.Louis  Browns
942,19220502,-2,St.Louis  Browns
943,19220504,-1,St.Louis  Browns
944,19220505,5,St.Louis  Browns
1060,19220520,6,St.Louis  Browns
1061,19220521,-1,St.Louis  Browns
1062,19220522,-1,St.Louis  Browns
1063,19220523,8,St.Louis  Browns
1078,19220711,-1,St.Louis  Browns
1079,19220712,3,St.Louis  Browns
1080,19220714,-4,St.Louis  Browns
1100,19220825,2,St.Louis  Browns
1101,19220825,-1,St.Louis  Browns
1102,19220826,-7,St.Louis  Browns
1103,19220828,-1,St.Louis  Browns
1123,19220512,9,St.Louis  Browns
1124,19220513,-3,St.Louis  Browns
1125,19220515,-10,St.Louis  Browns
1152,19220720,4,St.Louis  Browns
1153,19220721,8,St.Louis  Browns
1154,19220722,9,St.Louis  Browns
1160,19220818,-4,St.Louis  Browns
1161,19220819,4,St.Louis  Browns
1162,19220819,-1,St.Louis  Browns
1163,19220821,-1,St.Louis  Browns
1380,19220509,2,St.Louis  Browns
1381,19220510,-1,St.Louis  Browns
1382,19220511,2,St.Louis  Browns
1419,19250611,2,St.Louis  Browns
1420,19250612,-3,St.Louis  Browns
1421,19250613,3,St.Louis  Browns
1436,19250803,8,St.Louis  Browns
1437,19250804,3,St.Louis  Browns
1448,19250915,1,St.Louis  Browns
1449,19250917,-2,St.Louis  Browns
1450,19250917,-4,St.Louis  Browns
1599,19250501,-4,St.Louis  Browns
1600,19250502,-3,St.Louis  Browns
1617,19250530,-3,St.Louis  Browns
1618,19250530,-2,St.Louis  Browns
1654,19250910,2,St.Louis  Browns
1655,19250912,6,St.Louis  Browns
1656,19250912,4,St.Louis  Browns
1802,19250422,1,St.Louis  Browns
1803,19250423,-5,St.Louis  Browns
1804,19250424,-4,St.Louis  Browns
1805,19250425,1,St.Louis  Browns
1824,19250601,8,St.Louis  Browns
1825,19250602,5,St.Louis  Browns
1826,19250603,1,St.Louis  Browns
1827,19250604,-1,St.Louis  Browns
1858,19250814,3,St.Louis  Browns
1859,19250815,3,St.Louis  Browns
1860,19250816,-1,St.Louis  Browns
1885,19250427,2,St.Louis  Browns
1886,19250428,2,St.Louis  Browns
1887,19250429,-6,St.Louis  Browns
1897,19250625,-1,St.Louis  Browns
1898,19250626,-1,St.Louis  Browns
1899,19250627,-1,St.Louis  Browns
1915,19250907,-1,St.Louis  Browns
2003,19250605,-3,St.Louis  Browns
2004,19250606,-2,St.Louis  Browns
2005,19250608,-1,St.Louis  Browns
2021,19250728,-4,St.Louis  Browns
2022,19250729,-1,St.Louis  Browns
2023,19250730,-7,St.Louis  Browns
2041,19250918,-2,St.Louis  Browns
2042,19250919,3,St.Louis  Browns
2043,19250919,1,St.Louis  Browns
2074,19250619,-4,St.Louis  Browns
2075,19250620,-5,St.Louis  Browns
2076,19250622,7,St.Louis  Browns
2096,19250810,-2,St.Louis  Browns
2097,19250811,-1,St.Louis  Browns
2098,19250812,-3,St.Louis  Browns
2099,19250813,1,St.Louis  Browns
2118,19250922,1,St.Louis  Browns
2119,19250923,-3,St.Louis  Browns
2120,19250923,-4,St.Louis  Browns
2121,19250924,2,St.Louis  Browns
2380,19250616,-3,St.Louis  Browns
2381,19250617,-1,St.Louis  Browns
2382,19250618,3,St.Louis  Browns
2394,19250806,-1,St.Louis  Browns
2421,19270611,5,St.Louis  Browns
2422,19270613,2,St.Louis  Browns
2442,19270729,-6,St.Louis  Browns
2443,19270730,-1,St.Louis  Browns
2444,19270730,7,St.Louis  Browns
2445,19270802,1,St.Louis  Browns
2446,19270802,-3,St.Louis  Browns
2458,19270913,-1,St.Louis  Browns
2459,19270914,-3,St.Louis  Browns
2460,19270915,1,St.Louis  Browns
2583,19270428,-1,St.Louis  Browns
2584,19270430,-2,St.Louis  Browns
2598,19270530,8,St.Louis  Browns
2599,19270530,-10,St.Louis  Browns
2600,19270531,-5,St.Louis  Browns
2601,19270622,1,St.Louis  Browns
2602,19270622,-3,St.Louis  Browns
2641,19271001,-2,St.Louis  Browns
2795,19270424,5,St.Louis  Browns
2796,19270425,-8,St.Louis  Browns
2797,19270426,-4,St.Louis  Browns
2798,19270427,2,St.Louis  Browns
2815,19270623,-5,St.Louis  Browns
2816,19270624,1,St.Louis  Browns
2817,19270626,-2,St.Louis  Browns
2818,19270626,4,St.Louis  Browns
2860,19270905,-1,St.Louis  Browns
2861,19270905,1,St.Louis  Browns
2862,19270906,3,St.Louis  Browns
2887,19270627,-2,St.Louis  Browns
2888,19270628,-6,St.Louis  Browns
2889,19270628,-3,St.Louis  Browns
2890,19270629,-6,St.Louis  Browns
2902,19270810,-1,St.Louis  Browns
2903,19270811,-4,St.Louis  Browns
2904,19270812,-4,St.Louis  Browns
2905,19270813,-1,St.Louis  Browns
3000,19270616,-7,St.Louis  Browns
3001,19270617,-1,St.Louis  Browns
3002,19270618,-4,St.Louis  Browns
3016,19270726,-14,St.Louis  Browns
