,game_dt,s,team_name
106091,19980416,1,Tampa Bay  Devil Rays
106092,19980417,-5,Tampa Bay  Devil Rays
106093,19980418,7,Tampa Bay  Devil Rays
106094,19980419,6,Tampa Bay  Devil Rays
106132,19980715,-2,Tampa Bay  Devil Rays
106133,19980716,7,Tampa Bay  Devil Rays
106345,19980515,3,Tampa Bay  Devil Rays
106346,19980516,3,Tampa Bay  Devil Rays
106347,19980517,4,Tampa Bay  Devil Rays
106348,19980518,3,Tampa Bay  Devil Rays
106386,19980819,-2,Tampa Bay  Devil Rays
106387,19980820,2,Tampa Bay  Devil Rays
106441,19980612,-4,Tampa Bay  Devil Rays
106442,19980614,-1,Tampa Bay  Devil Rays
106480,19980921,-1,Tampa Bay  Devil Rays
106481,19980921,4,Tampa Bay  Devil Rays
106482,19980922,-9,Tampa Bay  Devil Rays
106483,19980923,-1,Tampa Bay  Devil Rays
106490,19980410,-3,Tampa Bay  Devil Rays
106491,19980411,4,Tampa Bay  Devil Rays
106492,19980412,3,Tampa Bay  Devil Rays
106541,19980728,-3,Tampa Bay  Devil Rays
106542,19980729,5,Tampa Bay  Devil Rays
106746,19980501,-2,Tampa Bay  Devil Rays
106747,19980502,-4,Tampa Bay  Devil Rays
106748,19980503,-2,Tampa Bay  Devil Rays
106793,19980817,-1,Tampa Bay  Devil Rays
106794,19980818,-2,Tampa Bay  Devil Rays
106895,19980407,-2,Tampa Bay  Devil Rays
106958,19980828,1,Tampa Bay  Devil Rays
106959,19980829,4,Tampa Bay  Devil Rays
106960,19980829,-6,Tampa Bay  Devil Rays
106961,19980830,5,Tampa Bay  Devil Rays
107015,19980624,-4,Tampa Bay  Devil Rays
107016,19980625,-4,Tampa Bay  Devil Rays
107153,19980505,-2,Tampa Bay  Devil Rays
107154,19980506,5,Tampa Bay  Devil Rays
107196,19980813,-2,Tampa Bay  Devil Rays
107197,19980814,-2,Tampa Bay  Devil Rays
107198,19980815,2,Tampa Bay  Devil Rays
107199,19980816,5,Tampa Bay  Devil Rays
107392,19980429,-2,Tampa Bay  Devil Rays
107393,19980430,2,Tampa Bay  Devil Rays
