,game_dt,s,team_name
53182,19720510,-1,Texas  Rangers
53183,19720511,2,Texas  Rangers
53201,19720707,1,Texas  Rangers
53202,19720708,1,Texas  Rangers
53203,19720708,2,Texas  Rangers
53204,19720709,1,Texas  Rangers
53271,19720619,-12,Texas  Rangers
53272,19720620,3,Texas  Rangers
53273,19720621,-1,Texas  Rangers
53301,19720825,-4,Texas  Rangers
53302,19720826,-1,Texas  Rangers
53303,19720827,-7,Texas  Rangers
53325,19720415,-1,Texas  Rangers
53326,19720416,4,Texas  Rangers
53370,19720727,-5,Texas  Rangers
53371,19720728,-1,Texas  Rangers
53372,19720729,-7,Texas  Rangers
53390,19720912,3,Texas  Rangers
53391,19720913,-1,Texas  Rangers
53392,19720914,-4,Texas  Rangers
53404,19720418,-14,Texas  Rangers
53405,19720419,-1,Texas  Rangers
53456,19720804,-1,Texas  Rangers
53457,19720805,6,Texas  Rangers
53458,19720806,-9,Texas  Rangers
53459,19720806,-6,Texas  Rangers
53477,19720922,-4,Texas  Rangers
53478,19720923,-1,Texas  Rangers
53479,19720924,-3,Texas  Rangers
53644,19720512,2,Texas  Rangers
53645,19720513,-4,Texas  Rangers
53646,19720514,-1,Texas  Rangers
53665,19720704,-2,Texas  Rangers
53666,19720706,-1,Texas  Rangers
53667,19720706,-1,Texas  Rangers
53718,19720505,1,Texas  Rangers
53719,19720506,-3,Texas  Rangers
53720,19720507,-3,Texas  Rangers
53746,19720710,-5,Texas  Rangers
53747,19720711,-1,Texas  Rangers
53748,19720712,-2,Texas  Rangers
53878,19720515,-1,Texas  Rangers
53879,19720516,-5,Texas  Rangers
53880,19720517,1,Texas  Rangers
53901,19720701,-1,Texas  Rangers
53902,19720702,2,Texas  Rangers
53903,19720702,-5,Texas  Rangers
53904,19720703,1,Texas  Rangers
53942,19721003,3,Texas  Rangers
53943,19721004,-4,Texas  Rangers
54035,19720602,-2,Texas  Rangers
54036,19720603,-2,Texas  Rangers
54037,19720604,10,Texas  Rangers
54075,19720822,1,Texas  Rangers
54076,19720824,3,Texas  Rangers
54077,19720824,-1,Texas  Rangers
54107,19720525,-1,Texas  Rangers
54108,19720526,-7,Texas  Rangers
54109,19720527,14,Texas  Rangers
54110,19720528,-5,Texas  Rangers
54145,19720807,-5,Texas  Rangers
54146,19720808,-1,Texas  Rangers
54147,19720809,1,Texas  Rangers
54164,19720919,-2,Texas  Rangers
54165,19720920,-2,Texas  Rangers
54273,19720617,-2,Texas  Rangers
54274,19720617,-1,Texas  Rangers
54310,19720829,-1,Texas  Rangers
54311,19720829,3,Texas  Rangers
54312,19720830,-2,Texas  Rangers
54313,19720831,-7,Texas  Rangers
54450,19720730,1,Texas  Rangers
54451,19720730,2,Texas  Rangers
54452,19720731,-2,Texas  Rangers
54470,19720915,-9,Texas  Rangers
54471,19720916,-4,Texas  Rangers
54472,19720917,-3,Texas  Rangers
55054,19730615,-1,Texas  Rangers
55055,19730616,-8,Texas  Rangers
55056,19730617,-1,Texas  Rangers
55091,19730827,-5,Texas  Rangers
55092,19730828,2,Texas  Rangers
55093,19730829,-5,Texas  Rangers
55121,19730501,1,Texas  Rangers
55122,19730502,-4,Texas  Rangers
55150,19730712,-3,Texas  Rangers
55151,19730713,3,Texas  Rangers
55152,19730714,-1,Texas  Rangers
55153,19730715,-2,Texas  Rangers
55207,19730518,-6,Texas  Rangers
55208,19730519,-8,Texas  Rangers
55209,19730520,-2,Texas  Rangers
55237,19730731,2,Texas  Rangers
