,game_dt,s,team_name
62824,19770624,1,Toronto  Blue Jays
62825,19770625,-3,Toronto  Blue Jays
62826,19770625,-2,Toronto  Blue Jays
62827,19770626,2,Toronto  Blue Jays
62864,19770919,2,Toronto  Blue Jays
62865,19770920,-3,Toronto  Blue Jays
62866,19770921,-4,Toronto  Blue Jays
62867,19770922,-6,Toronto  Blue Jays
62910,19770704,-3,Toronto  Blue Jays
62911,19770706,-4,Toronto  Blue Jays
62912,19770707,-3,Toronto  Blue Jays
62945,19770927,-1,Toronto  Blue Jays
62946,19770927,-4,Toronto  Blue Jays
62947,19770928,1,Toronto  Blue Jays
62948,19770929,-4,Toronto  Blue Jays
62976,19770607,3,Toronto  Blue Jays
62977,19770608,-1,Toronto  Blue Jays
63009,19770819,2,Toronto  Blue Jays
63010,19770820,1,Toronto  Blue Jays
63011,19770821,-1,Toronto  Blue Jays
63034,19770415,-2,Toronto  Blue Jays
63035,19770416,-1,Toronto  Blue Jays
63036,19770417,-2,Toronto  Blue Jays
63071,19770713,-3,Toronto  Blue Jays
63072,19770713,2,Toronto  Blue Jays
63073,19770714,-1,Toronto  Blue Jays
63281,19770427,1,Toronto  Blue Jays
63282,19770428,-1,Toronto  Blue Jays
63312,19770708,-6,Toronto  Blue Jays
63313,19770709,-1,Toronto  Blue Jays
63314,19770710,2,Toronto  Blue Jays
63350,19770917,-3,Toronto  Blue Jays
63351,19770917,1,Toronto  Blue Jays
63352,19770918,3,Toronto  Blue Jays
63378,19770614,-5,Toronto  Blue Jays
63379,19770615,-9,Toronto  Blue Jays
63380,19770616,-3,Toronto  Blue Jays
63394,19770711,-2,Toronto  Blue Jays
63395,19770712,-1,Toronto  Blue Jays
63399,19770724,-4,Toronto  Blue Jays
63400,19770725,-5,Toronto  Blue Jays
63528,19770429,-5,Toronto  Blue Jays
63529,19770430,1,Toronto  Blue Jays
63530,19770501,-6,Toronto  Blue Jays
63569,19770803,-3,Toronto  Blue Jays
63570,19770804,-8,Toronto  Blue Jays
63697,19770517,2,Toronto  Blue Jays
63698,19770518,-1,Toronto  Blue Jays
63699,19770519,-2,Toronto  Blue Jays
63734,19770805,5,Toronto  Blue Jays
63735,19770806,2,Toronto  Blue Jays
63736,19770807,-4,Toronto  Blue Jays
63737,19770807,-2,Toronto  Blue Jays
63770,19770513,-1,Toronto  Blue Jays
63771,19770514,-10,Toronto  Blue Jays
63772,19770515,-2,Toronto  Blue Jays
63824,19770829,-1,Toronto  Blue Jays
63825,19770829,-1,Toronto  Blue Jays
63925,19770418,4,Toronto  Blue Jays
63926,19770419,5,Toronto  Blue Jays
63927,19770420,-2,Toronto  Blue Jays
63928,19770421,-2,Toronto  Blue Jays
63989,19770909,-2,Toronto  Blue Jays
63990,19770910,16,Toronto  Blue Jays
63991,19770911,-1,Toronto  Blue Jays
63992,19770911,2,Toronto  Blue Jays
64108,19770603,-1,Toronto  Blue Jays
64109,19770604,2,Toronto  Blue Jays
64110,19770605,4,Toronto  Blue Jays
64144,19770822,-3,Toronto  Blue Jays
64145,19770823,7,Toronto  Blue Jays
64437,19770610,1,Toronto  Blue Jays
64438,19770611,1,Toronto  Blue Jays
64439,19770612,-3,Toronto  Blue Jays
64471,19770824,7,Toronto  Blue Jays
64472,19770824,6,Toronto  Blue Jays
64668,19770520,1,Toronto  Blue Jays
64669,19770521,3,Toronto  Blue Jays
64670,19770522,-3,Toronto  Blue Jays
64709,19770817,-1,Toronto  Blue Jays
64710,19770818,-8,Toronto  Blue Jays
64908,19780518,-2,Toronto  Blue Jays
64927,19780705,-2,Toronto  Blue Jays
64928,19780705,-2,Toronto  Blue Jays
64929,19780706,2,Toronto  Blue Jays
64964,19780915,-5,Toronto  Blue Jays
64965,19780916,-10,Toronto  Blue Jays
64966,19780917,-5,Toronto  Blue Jays
64997,19780529,-1,Toronto  Blue Jays
64998,19780530,-4,Toronto  Blue Jays
64999,19780531,4,Toronto  Blue Jays
65038,19780830,-1,Toronto  Blue Jays
65039,19780830,1,Toronto  Blue Jays
65052,19780929,-11,Toronto  Blue Jays
65053,19780930,-4,Toronto  Blue Jays
65054,19781001,-5,Toronto  Blue Jays
65067,19780428,-1,Toronto  Blue Jays
65068,19780429,-5,Toronto  Blue Jays
65069,19780430,6,Toronto  Blue Jays
65100,19780713,-5,Toronto  Blue Jays
65101,19780714,-1,Toronto  Blue Jays
65140,19780411,-4,Toronto  Blue Jays
65141,19780412,-1,Toronto  Blue Jays
65182,19780707,1,Toronto  Blue Jays
65183,19780708,3,Toronto  Blue Jays
65184,19780709,-2,Toronto  Blue Jays
65408,19780623,-5,Toronto  Blue Jays
65409,19780624,-9,Toronto  Blue Jays
65410,19780625,1,Toronto  Blue Jays
65411,19780625,-1,Toronto  Blue Jays
65445,19780911,-2,Toronto  Blue Jays
65446,19780911,6,Toronto  Blue Jays
65457,19780407,-4,Toronto  Blue Jays
65458,19780408,3,Toronto  Blue Jays
65459,19780409,-4,Toronto  Blue Jays
65490,19780703,-1,Toronto  Blue Jays
65491,19780704,7,Toronto  Blue Jays
65516,19780823,1,Toronto  Blue Jays
65517,19780823,1,Toronto  Blue Jays
65518,19780824,-3,Toronto  Blue Jays
65624,19780426,2,Toronto  Blue Jays
65625,19780427,1,Toronto  Blue Jays
65671,19780804,1,Toronto  Blue Jays
65672,19780805,-2,Toronto  Blue Jays
65673,19780806,-7,Toronto  Blue Jays
65808,19780609,-1,Toronto  Blue Jays
65809,19780610,-5,Toronto  Blue Jays
65810,19780611,-1,Toronto  Blue Jays
65811,19780611,-1,Toronto  Blue Jays
65838,19780815,-8,Toronto  Blue Jays
65839,19780816,-7,Toronto  Blue Jays
65840,19780816,-1,Toronto  Blue Jays
65841,19780817,-6,Toronto  Blue Jays
65905,19780726,4,Toronto  Blue Jays
65906,19780727,-3,Toronto  Blue Jays
65918,19780818,-1,Toronto  Blue Jays
65919,19780819,-5,Toronto  Blue Jays
65920,19780820,4,Toronto  Blue Jays
66040,19780526,-1,Toronto  Blue Jays
66041,19780527,3,Toronto  Blue Jays
66042,19780528,-2,Toronto  Blue Jays
66043,19780528,-1,Toronto  Blue Jays
66098,19780926,-3,Toronto  Blue Jays
66099,19780927,-4,Toronto  Blue Jays
66100,19780928,-2,Toronto  Blue Jays
66197,19780502,-1,Toronto  Blue Jays
66198,19780503,-8,Toronto  Blue Jays
66232,19780715,-1,Toronto  Blue Jays
66233,19780716,-3,Toronto  Blue Jays
66234,19780717,-2,Toronto  Blue Jays
66524,19780505,-8,Toronto  Blue Jays
66525,19780506,-6,Toronto  Blue Jays
66526,19780507,-2,Toronto  Blue Jays
66561,19780718,1,Toronto  Blue Jays
66562,19780719,-4,Toronto  Blue Jays
66782,19780616,5,Toronto  Blue Jays
66783,19780616,3,Toronto  Blue Jays
66784,19780617,-11,Toronto  Blue Jays
66785,19780618,-1,Toronto  Blue Jays
66815,19780828,-8,Toronto  Blue Jays
66816,19780829,3,Toronto  Blue Jays
67029,19790629,-5,Toronto  Blue Jays
67030,19790629,-4,Toronto  Blue Jays
67031,19790630,-2,Toronto  Blue Jays
67032,19790701,-3,Toronto  Blue Jays
67061,19790903,-1,Toronto  Blue Jays
67062,19790903,-4,Toronto  Blue Jays
67063,19790906,-5,Toronto  Blue Jays
67108,19790622,-11,Toronto  Blue Jays
67109,19790623,-1,Toronto  Blue Jays
67110,19790624,-4,Toronto  Blue Jays
67149,19790925,2,Toronto  Blue Jays
67150,19790926,-2,Toronto  Blue Jays
67151,19790927,-1,Toronto  Blue Jays
67176,19790604,-2,Toronto  Blue Jays
67177,19790605,-3,Toronto  Blue Jays
67178,19790606,1,Toronto  Blue Jays
67214,19790817,1,Toronto  Blue Jays
67215,19790818,-2,Toronto  Blue Jays
67216,19790819,-2,Toronto  Blue Jays
67233,19790410,8,Toronto  Blue Jays
67234,19790412,2,Toronto  Blue Jays
67288,19790811,-5,Toronto  Blue Jays
67289,19790811,6,Toronto  Blue Jays
67290,19790812,-7,Toronto  Blue Jays
67291,19790812,2,Toronto  Blue Jays
67487,19790514,-1,Toronto  Blue Jays
67488,19790515,-2,Toronto  Blue Jays
67489,19790516,1,Toronto  Blue Jays
67490,19790517,-5,Toronto  Blue Jays
67543,19790907,-1,Toronto  Blue Jays
67544,19790908,-1,Toronto  Blue Jays
67545,19790909,-4,Toronto  Blue Jays
