,game_dt,s,team_name
17172,19700920,-2,Washington  Senators
34564,19610519,-2,Washington  Senators
34565,19610520,-1,Washington  Senators
34581,19610613,-1,Washington  Senators
34582,19610614,4,Washington  Senators
34583,19610615,3,Washington  Senators
34620,19610907,-3,Washington  Senators
34621,19610908,-1,Washington  Senators
34622,19610908,-2,Washington  Senators
34623,19610909,4,Washington  Senators
34624,19610910,-1,Washington  Senators
34635,19610425,-5,Washington  Senators
34636,19610426,1,Washington  Senators
34664,19610616,-5,Washington  Senators
34665,19610617,-1,Washington  Senators
34666,19610618,-1,Washington  Senators
34667,19610618,-1,Washington  Senators
34695,19610822,-1,Washington  Senators
34696,19610823,-5,Washington  Senators
34697,19610824,-1,Washington  Senators
34713,19610419,5,Washington  Senators
34714,19610420,-5,Washington  Senators
34751,19610623,-1,Washington  Senators
34752,19610624,-6,Washington  Senators
34753,19610625,-4,Washington  Senators
34754,19610625,-3,Washington  Senators
34766,19610805,-5,Washington  Senators
34767,19610806,-1,Washington  Senators
34768,19610806,-1,Washington  Senators
34955,19610505,3,Washington  Senators
34956,19610507,-2,Washington  Senators
34957,19610507,1,Washington  Senators
34987,19610627,3,Washington  Senators
34988,19610628,-1,Washington  Senators
34989,19610628,3,Washington  Senators
34990,19610629,2,Washington  Senators
35007,19610808,-1,Washington  Senators
35008,19610809,-2,Washington  Senators
35042,19610509,-5,Washington  Senators
35043,19610509,1,Washington  Senators
35044,19610510,-6,Washington  Senators
35045,19610511,5,Washington  Senators
35058,19610611,3,Washington  Senators
35059,19610611,-1,Washington  Senators
35085,19610802,-1,Washington  Senators
35086,19610802,4,Washington  Senators
35087,19610803,-1,Washington  Senators
35130,19610523,4,Washington  Senators
35131,19610524,-1,Washington  Senators
35132,19610525,-1,Washington  Senators
35159,19610728,4,Washington  Senators
35160,19610729,-1,Washington  Senators
35161,19610730,4,Washington  Senators
35189,19610929,2,Washington  Senators
35190,19610930,1,Washington  Senators
35191,19611001,-1,Washington  Senators
35209,19610521,4,Washington  Senators
35210,19610521,5,Washington  Senators
35211,19610522,-2,Washington  Senators
35236,19610721,-11,Washington  Senators
35237,19610722,-1,Washington  Senators
35238,19610723,-5,Washington  Senators
35268,19610926,1,Washington  Senators
35269,19610927,-2,Washington  Senators
35270,19610928,-9,Washington  Senators
35351,19610421,2,Washington  Senators
35352,19610422,-1,Washington  Senators
35353,19610423,-1,Washington  Senators
35397,19610725,1,Washington  Senators
35398,19610726,-1,Washington  Senators
35399,19610727,-3,Washington  Senators
35423,19610923,2,Washington  Senators
35424,19610923,-10,Washington  Senators
35425,19610924,3,Washington  Senators
35520,19610516,1,Washington  Senators
35521,19610517,1,Washington  Senators
35540,19610630,-4,Washington  Senators
35541,19610701,-1,Washington  Senators
35542,19610702,-9,Washington  Senators
35576,19610904,-2,Washington  Senators
35577,19610904,-1,Washington  Senators
35578,19610905,-5,Washington  Senators
35579,19610906,-8,Washington  Senators
35990,19620511,11,Washington  Senators
35991,19620512,-1,Washington  Senators
35992,19620513,-1,Washington  Senators
36004,19620605,-1,Washington  Senators
36005,19620606,1,Washington  Senators
36006,19620607,-7,Washington  Senators
36044,19620830,1,Washington  Senators
36053,19620912,1,Washington  Senators
36054,19620913,-6,Washington  Senators
36066,19620424,-3,Washington  Senators
36067,19620425,-6,Washington  Senators
36068,19620426,-1,Washington  Senators
36114,19620803,1,Washington  Senators
36115,19620804,2,Washington  Senators
36116,19620805,2,Washington  Senators
36117,19620805,-1,Washington  Senators
36138,19620930,2,Washington  Senators
36139,19620930,-2,Washington  Senators
36153,19620515,-1,Washington  Senators
36154,19620516,2,Washington  Senators
36187,19620717,1,Washington  Senators
36188,19620717,4,Washington  Senators
36189,19620718,1,Washington  Senators
36210,19620907,5,Washington  Senators
36211,19620908,-3,Washington  Senators
36212,19620909,-1,Washington  Senators
36213,19620909,-1,Washington  Senators
36383,19620413,3,Washington  Senators
36384,19620414,-2,Washington  Senators
36412,19620622,-4,Washington  Senators
36413,19620623,2,Washington  Senators
36414,19620624,2,Washington  Senators
36415,19620624,-2,Washington  Senators
36440,19620813,9,Washington  Senators
36441,19620813,1,Washington  Senators
36457,19620911,-3,Washington  Senators
36466,19620417,-7,Washington  Senators
36467,19620418,-4,Washington  Senators
36491,19620619,-5,Washington  Senators
36492,19620620,1,Washington  Senators
36493,19620621,-3,Washington  Senators
36525,19620824,-10,Washington  Senators
36526,19620825,-2,Washington  Senators
36527,19620826,-2,Washington  Senators
36528,19620826,3,Washington  Senators
36648,19620530,8,Washington  Senators
36649,19620530,-3,Washington  Senators
36650,19620531,-1,Washington  Senators
36660,19620706,-3,Washington  Senators
36661,19620707,-1,Washington  Senators
36662,19620708,-1,Washington  Senators
36683,19620814,-1,Washington  Senators
36684,19620815,-4,Washington  Senators
36685,19620816,-2,Washington  Senators
36723,19620528,-2,Washington  Senators
36724,19620529,1,Washington  Senators
36746,19620715,-4,Washington  Senators
36747,19620715,6,Washington  Senators
36748,19620716,3,Washington  Senators
36766,19620817,-1,Washington  Senators
36767,19620817,-1,Washington  Senators
36768,19620818,2,Washington  Senators
36769,19620819,-3,Washington  Senators
36890,19620601,1,Washington  Senators
36891,19620602,-7,Washington  Senators
36892,19620603,-2,Washington  Senators
36908,19620712,3,Washington  Senators
36909,19620713,-4,Washington  Senators
36910,19620714,1,Washington  Senators
36931,19620821,-3,Washington  Senators
36932,19620822,0,Washington  Senators
36933,19620823,2,Washington  Senators
36934,19620823,6,Washington  Senators
37038,19620505,-1,Washington  Senators
37039,19620506,2,Washington  Senators
37040,19620506,-8,Washington  Senators
37072,19620720,-1,Washington  Senators
37073,19620721,-1,Washington  Senators
37074,19620722,1,Washington  Senators
37075,19620722,5,Washington  Senators
37107,19620925,-5,Washington  Senators
37108,19620926,-4,Washington  Senators
37596,19630410,-1,Washington  Senators
37613,19630516,-8,Washington  Senators
37620,19630523,-6,Washington  Senators
37640,19630723,-4,Washington  Senators
37641,19630724,-3,Washington  Senators
37642,19630725,-2,Washington  Senators
37669,19630920,-1,Washington  Senators
37670,19630922,-3,Washington  Senators
37671,19630922,2,Washington  Senators
37686,19630510,-3,Washington  Senators
37687,19630512,1,Washington  Senators
37688,19630512,-3,Washington  Senators
37689,19630513,-3,Washington  Senators
37701,19630612,-2,Washington  Senators
37702,19630613,-2,Washington  Senators
37743,19630830,7,Washington  Senators
37744,19630831,-1,Washington  Senators
37745,19630901,-1,Washington  Senators
37766,19630503,3,Washington  Senators
37767,19630504,-7,Washington  Senators
37768,19630505,-8,Washington  Senators
37769,19630505,1,Washington  Senators
37805,19630716,2,Washington  Senators
37806,19630717,-6,Washington  Senators
37835,19630927,-9,Washington  Senators
37836,19630927,-6,Washington  Senators
37837,19630928,-5,Washington  Senators
37838,19630929,7,Washington  Senators
38004,19630416,-3,Washington  Senators
38025,19630614,3,Washington  Senators
38026,19630614,-1,Washington  Senators
38027,19630615,-4,Washington  Senators
38028,19630616,-2,Washington  Senators
38029,19630616,-2,Washington  Senators
38030,19630617,-1,Washington  Senators
38074,19630902,-12,Washington  Senators
38075,19630902,1,Washington  Senators
38089,19630501,3,Washington  Senators
38090,19630502,5,Washington  Senators
38130,19630726,2,Washington  Senators
38131,19630727,4,Washington  Senators
38132,19630728,-1,Washington  Senators
38133,19630728,-3,Washington  Senators
38160,19630923,-3,Washington  Senators
38161,19630924,-1,Washington  Senators
38162,19630925,4,Washington  Senators
38266,19630531,-6,Washington  Senators
38267,19630601,8,Washington  Senators
38268,19630602,2,Washington  Senators
38281,19630625,-4,Washington  Senators
38282,19630627,2,Washington  Senators
38307,19630820,-9,Washington  Senators
38308,19630820,-2,Washington  Senators
38309,19630821,4,Washington  Senators
38310,19630822,-4,Washington  Senators
38329,19630429,6,Washington  Senators
38330,19630429,-5,Washington  Senators
38359,19630621,-1,Washington  Senators
38360,19630622,-5,Washington  Senators
38361,19630623,4,Washington  Senators
38362,19630624,-1,Washington  Senators
38387,19630813,-1,Washington  Senators
38388,19630814,-2,Washington  Senators
38389,19630815,1,Washington  Senators
38503,19630528,-3,Washington  Senators
38504,19630529,-9,Washington  Senators
38505,19630530,-1,Washington  Senators
38536,19630719,1,Washington  Senators
38537,19630720,-8,Washington  Senators
38538,19630721,-1,Washington  Senators
38546,19630816,-2,Washington  Senators
38547,19630817,10,Washington  Senators
38548,19630818,4,Washington  Senators
38664,19630524,-2,Washington  Senators
38665,19630525,-4,Washington  Senators
38666,19630526,-6,Washington  Senators
38667,19630526,1,Washington  Senators
38674,19630618,-5,Washington  Senators
38675,19630619,-1,Washington  Senators
38676,19630620,-1,Washington  Senators
38716,19630904,-1,Washington  Senators
38717,19630905,-1,Washington  Senators
39220,19640504,-7,Washington  Senators
