,game_dt,s,team_name
40855,19650528,2,California  Angels
40856,19650528,-3,California  Angels
40857,19650529,2,California  Angels
40858,19650530,-1,California  Angels
40885,19650727,-1,California  Angels
40886,19650728,-4,California  Angels
40907,19650924,-4,California  Angels
40908,19650925,-1,California  Angels
40909,19650925,-2,California  Angels
40910,19650926,-1,California  Angels
40936,19650531,2,California  Angels
40937,19650531,-3,California  Angels
40938,19650601,3,California  Angels
40959,19650723,4,California  Angels
40960,19650724,-3,California  Angels
40961,19650725,-1,California  Angels
40962,19650726,4,California  Angels
40992,19650928,1,California  Angels
40993,19650929,-1,California  Angels
41089,19650514,-1,California  Angels
41090,19650515,-5,California  Angels
41091,19650516,-4,California  Angels
41092,19650516,-1,California  Angels
41115,19650715,-3,California  Angels
41116,19650716,-1,California  Angels
41117,19650717,-3,California  Angels
41144,19650906,-1,California  Angels
41145,19650906,-1,California  Angels
41321,19650421,-1,California  Angels
41348,19650618,-1,California  Angels
41349,19650619,-1,California  Angels
41350,19650620,-5,California  Angels
41351,19650620,-2,California  Angels
41377,19650809,9,California  Angels
41378,19650810,3,California  Angels
41379,19650811,-6,California  Angels
41380,19650812,4,California  Angels
41406,19650427,1,California  Angels
41407,19650428,-1,California  Angels
41437,19650622,3,California  Angels
41438,19650623,-2,California  Angels
41439,19650624,-1,California  Angels
41463,19650813,-1,California  Angels
41464,19650814,3,California  Angels
41465,19650815,-7,California  Angels
41466,19650815,-4,California  Angels
41571,19650430,4,California  Angels
41572,19650501,2,California  Angels
41573,19650502,2,California  Angels
41574,19650502,-4,California  Angels
41595,19650615,-5,California  Angels
41596,19650616,6,California  Angels
41597,19650616,1,California  Angels
41638,19650908,2,California  Angels
41639,19650909,5,California  Angels
41738,19650511,-1,California  Angels
41739,19650512,-1,California  Angels
41740,19650513,1,California  Angels
41769,19650718,2,California  Angels
41770,19650718,-1,California  Angels
41771,19650719,-3,California  Angels
41772,19650720,8,California  Angels
41806,19651002,1,California  Angels
41807,19651003,-1,California  Angels
41886,19650424,3,California  Angels
41887,19650425,-1,California  Angels
41888,19650425,-1,California  Angels
41920,19650625,-4,California  Angels
41921,19650626,-7,California  Angels
41922,19650627,-5,California  Angels
41946,19650817,-5,California  Angels
41947,19650818,4,California  Angels
41948,19650819,-2,California  Angels
42387,19650525,-4,California  Angels
42388,19650525,-1,California  Angels
42389,19650526,1,California  Angels
42390,19650527,-3,California  Angels
42413,19650721,2,California  Angels
42414,19650722,-4,California  Angels
42435,19650910,-3,California  Angels
42436,19650911,1,California  Angels
