,game_dt,s,team_name
24,19210522,2,Chicago  Cubs
41,19210716,4,Chicago  Cubs
42,19210716,3,Chicago  Cubs
43,19210717,-2,Chicago  Cubs
44,19210718,7,Chicago  Cubs
45,19210719,2,Chicago  Cubs
59,19210824,5,Chicago  Cubs
60,19210825,-1,Chicago  Cubs
61,19210826,9,Chicago  Cubs
62,19210827,-10,Chicago  Cubs
86,19210516,-6,Chicago  Cubs
87,19210517,-4,Chicago  Cubs
96,19210712,-1,Chicago  Cubs
97,19210713,-2,Chicago  Cubs
98,19210714,-1,Chicago  Cubs
109,19210817,1,Chicago  Cubs
110,19210818,-1,Chicago  Cubs
111,19210819,-1,Chicago  Cubs
188,19210425,1,Chicago  Cubs
189,19210426,-2,Chicago  Cubs
190,19210427,-1,Chicago  Cubs
210,19210623,3,Chicago  Cubs
211,19210625,4,Chicago  Cubs
213,19210724,-6,Chicago  Cubs
227,19210902,7,Chicago  Cubs
228,19210903,-4,Chicago  Cubs
243,19211001,-2,Chicago  Cubs
244,19211002,2,Chicago  Cubs
245,19211002,7,Chicago  Cubs
263,19210518,-1,Chicago  Cubs
264,19210519,2,Chicago  Cubs
265,19210520,-4,Chicago  Cubs
266,19210521,3,Chicago  Cubs
281,19210708,-1,Chicago  Cubs
282,19210709,-1,Chicago  Cubs
283,19210710,-1,Chicago  Cubs
284,19210711,5,Chicago  Cubs
316,19210828,-2,Chicago  Cubs
317,19210829,-1,Chicago  Cubs
318,19210830,-2,Chicago  Cubs
336,19210510,4,Chicago  Cubs
337,19210511,11,Chicago  Cubs
338,19210513,2,Chicago  Cubs
367,19210720,10,Chicago  Cubs
368,19210720,-8,Chicago  Cubs
369,19210721,-7,Chicago  Cubs
370,19210722,5,Chicago  Cubs
371,19210723,4,Chicago  Cubs
378,19210820,3,Chicago  Cubs
379,19210822,-1,Chicago  Cubs
380,19210823,-1,Chicago  Cubs
395,19210429,-3,Chicago  Cubs
402,19210530,-13,Chicago  Cubs
403,19210530,-3,Chicago  Cubs
404,19210531,1,Chicago  Cubs
405,19210601,-2,Chicago  Cubs
442,19210811,-4,Chicago  Cubs
443,19210811,-1,Chicago  Cubs
444,19210812,-3,Chicago  Cubs
445,19210813,-1,Chicago  Cubs
451,19210909,3,Chicago  Cubs
452,19210910,-8,Chicago  Cubs
468,19210423,4,Chicago  Cubs
473,19210621,-12,Chicago  Cubs
481,19210905,-1,Chicago  Cubs
482,19210906,-1,Chicago  Cubs
545,19220610,-13,Chicago  Cubs
546,19220611,-5,Chicago  Cubs
547,19220612,8,Chicago  Cubs
548,19220613,5,Chicago  Cubs
569,19220808,3,Chicago  Cubs
570,19220809,1,Chicago  Cubs
571,19220810,-15,Chicago  Cubs
584,19220916,2,Chicago  Cubs
585,19220916,-1,Chicago  Cubs
586,19220917,4,Chicago  Cubs
587,19220918,1,Chicago  Cubs
613,19220614,13,Chicago  Cubs
614,19220616,1,Chicago  Cubs
615,19220617,-2,Chicago  Cubs
616,19220617,1,Chicago  Cubs
622,19220725,3,Chicago  Cubs
623,19220726,-1,Chicago  Cubs
624,19220726,4,Chicago  Cubs
625,19220727,-1,Chicago  Cubs
626,19220728,9,Chicago  Cubs
642,19220923,-4,Chicago  Cubs
643,19220923,2,Chicago  Cubs
784,19220412,4,Chicago  Cubs
785,19220413,4,Chicago  Cubs
786,19220415,-5,Chicago  Cubs
810,19220525,0,Chicago  Cubs
811,19220526,3,Chicago  Cubs
812,19220526,-1,Chicago  Cubs
813,19220527,-7,Chicago  Cubs
814,19220527,-1,Chicago  Cubs
815,19220528,1,Chicago  Cubs
852,19220904,-1,Chicago  Cubs
853,19220904,-5,Chicago  Cubs
854,19220905,2,Chicago  Cubs
977,19220607,-5,Chicago  Cubs
978,19220608,-6,Chicago  Cubs
979,19220609,1,Chicago  Cubs
1008,19220803,-5,Chicago  Cubs
1009,19220804,1,Chicago  Cubs
1010,19220804,-1,Chicago  Cubs
1011,19220805,-12,Chicago  Cubs
1012,19220806,7,Chicago  Cubs
1022,19220913,-5,Chicago  Cubs
1023,19220914,-1,Chicago  Cubs
1024,19220915,-1,Chicago  Cubs
1207,19220619,-2,Chicago  Cubs
1208,19220621,3,Chicago  Cubs
1211,19220729,-4,Chicago  Cubs
1212,19220729,2,Chicago  Cubs
1213,19220731,8,Chicago  Cubs
1214,19220802,0,Chicago  Cubs
1235,19220920,-1,Chicago  Cubs
1236,19220920,-10,Chicago  Cubs
1237,19220921,2,Chicago  Cubs
1238,19220921,-2,Chicago  Cubs
1239,19220922,2,Chicago  Cubs
1240,19220922,-4,Chicago  Cubs
1246,19220505,-2,Chicago  Cubs
1247,19220506,4,Chicago  Cubs
1266,19220622,-2,Chicago  Cubs
1273,19220703,-3,Chicago  Cubs
1274,19220704,4,Chicago  Cubs
1275,19220704,8,Chicago  Cubs
1276,19220705,6,Chicago  Cubs
1314,19220907,-6,Chicago  Cubs
1315,19220908,3,Chicago  Cubs
1316,19220909,-3,Chicago  Cubs
1317,19220909,-1,Chicago  Cubs
1318,19220927,3,Chicago  Cubs
1351,19220417,1,Chicago  Cubs
1352,19220418,2,Chicago  Cubs
1372,19220624,1,Chicago  Cubs
1373,19220625,-10,Chicago  Cubs
1374,19220813,11,Chicago  Cubs
1476,19250521,-1,Chicago  Cubs
1477,19250522,2,Chicago  Cubs
1478,19250523,-1,Chicago  Cubs
1492,19250707,5,Chicago  Cubs
1493,19250709,-2,Chicago  Cubs
1510,19250822,-7,Chicago  Cubs
1511,19250822,7,Chicago  Cubs
1512,19250823,-6,Chicago  Cubs
1513,19250823,2,Chicago  Cubs
