,game_dt,s,team_name
498,19220520,3,Cleveland  Indians
499,19220522,6,Cleveland  Indians
500,19220523,2,Cleveland  Indians
501,19220524,-4,Cleveland  Indians
511,19220711,2,Cleveland  Indians
512,19220712,4,Cleveland  Indians
513,19220713,2,Cleveland  Indians
514,19220714,2,Cleveland  Indians
524,19220825,-9,Cleveland  Indians
650,19220502,4,Cleveland  Indians
651,19220504,2,Cleveland  Indians
652,19220505,3,Cleveland  Indians
672,19220622,-3,Cleveland  Indians
673,19220623,-1,Cleveland  Indians
674,19220624,-2,Cleveland  Indians
675,19220625,-1,Cleveland  Indians
699,19220907,-1,Cleveland  Indians
700,19220908,-5,Cleveland  Indians
701,19220909,1,Cleveland  Indians
702,19220912,6,Cleveland  Indians
936,19220420,1,Cleveland  Indians
937,19220421,-8,Cleveland  Indians
938,19220423,-1,Cleveland  Indians
947,19220525,-4,Cleveland  Indians
948,19220526,5,Cleveland  Indians
949,19220527,2,Cleveland  Indians
950,19220528,-2,Cleveland  Indians
957,19220704,2,Cleveland  Indians
958,19220704,7,Cleveland  Indians
959,19220705,-1,Cleveland  Indians
1057,19220516,-3,Cleveland  Indians
1058,19220517,-2,Cleveland  Indians
1059,19220519,-8,Cleveland  Indians
1073,19220706,-7,Cleveland  Indians
1074,19220706,-8,Cleveland  Indians
1075,19220707,-1,Cleveland  Indians
1076,19220708,2,Cleveland  Indians
1077,19220709,2,Cleveland  Indians
1097,19220822,4,Cleveland  Indians
1098,19220823,3,Cleveland  Indians
1099,19220824,-4,Cleveland  Indians
1119,19220508,10,Cleveland  Indians
1120,19220509,-11,Cleveland  Indians
1121,19220510,-1,Cleveland  Indians
1122,19220511,1,Cleveland  Indians
1149,19220715,2,Cleveland  Indians
1150,19220717,5,Cleveland  Indians
1151,19220718,3,Cleveland  Indians
1156,19220815,7,Cleveland  Indians
1157,19220815,-3,Cleveland  Indians
1158,19220816,-1,Cleveland  Indians
1159,19220817,-7,Cleveland  Indians
1322,19220428,-1,Cleveland  Indians
1323,19220429,-1,Cleveland  Indians
1324,19220430,-2,Cleveland  Indians
1325,19220501,-11,Cleveland  Indians
1331,19220630,-7,Cleveland  Indians
1332,19220702,-4,Cleveland  Indians
1336,19220904,-7,Cleveland  Indians
1337,19220904,-11,Cleveland  Indians
1338,19220905,-1,Cleveland  Indians
1339,19220906,-8,Cleveland  Indians
1383,19220512,-1,Cleveland  Indians
1384,19220513,1,Cleveland  Indians
1385,19220514,-1,Cleveland  Indians
1386,19220515,-1,Cleveland  Indians
1400,19220719,3,Cleveland  Indians
1401,19220720,6,Cleveland  Indians
1402,19220721,1,Cleveland  Indians
1403,19220722,-2,Cleveland  Indians
1404,19220818,2,Cleveland  Indians
1405,19220820,2,Cleveland  Indians
1415,19250605,-1,Cleveland  Indians
1416,19250606,4,Cleveland  Indians
1417,19250608,-2,Cleveland  Indians
1418,19250609,1,Cleveland  Indians
1432,19250728,9,Cleveland  Indians
1433,19250729,5,Cleveland  Indians
1434,19250730,5,Cleveland  Indians
1435,19250731,-5,Cleveland  Indians
1451,19250918,1,Cleveland  Indians
1452,19250919,-1,Cleveland  Indians
1453,19250919,5,Cleveland  Indians
1596,19250426,5,Cleveland  Indians
1597,19250427,-8,Cleveland  Indians
1598,19250428,1,Cleveland  Indians
1619,19250625,-5,Cleveland  Indians
1620,19250626,-2,Cleveland  Indians
1621,19250627,-1,Cleveland  Indians
1622,19250627,-2,Cleveland  Indians
1623,19250628,-4,Cleveland  Indians
1657,19251001,-3,Cleveland  Indians
1658,19251003,-7,Cleveland  Indians
1882,19250418,2,Cleveland  Indians
1883,19250420,1,Cleveland  Indians
1884,19250421,-1,Cleveland  Indians
1891,19250530,-5,Cleveland  Indians
1892,19250530,-8,Cleveland  Indians
1893,19250531,2,Cleveland  Indians
1916,19250910,-5,Cleveland  Indians
1917,19250910,5,Cleveland  Indians
1918,19250911,-1,Cleveland  Indians
1919,19250912,3,Cleveland  Indians
1920,19250912,-1,Cleveland  Indians
1921,19250913,2,Cleveland  Indians
2006,19250610,-1,Cleveland  Indians
2007,19250611,3,Cleveland  Indians
2008,19250612,3,Cleveland  Indians
