,game_dt,s,team_name
84297,19930516,-12,Colorado  Rockies
95737,19930629,-2,Colorado  Rockies
95738,19930630,-1,Colorado  Rockies
95739,19930701,-4,Colorado  Rockies
95778,19931001,-3,Colorado  Rockies
95779,19931002,-9,Colorado  Rockies
95780,19931003,-2,Colorado  Rockies
96106,19930504,1,Colorado  Rockies
96107,19930505,-1,Colorado  Rockies
96140,19930715,-1,Colorado  Rockies
96141,19930716,-6,Colorado  Rockies
96142,19930717,-4,Colorado  Rockies
96143,19930718,-10,Colorado  Rockies
96189,19930514,-8,Colorado  Rockies
96190,19930515,-2,Colorado  Rockies
96222,19930802,-4,Colorado  Rockies
96223,19930803,-1,Colorado  Rockies
96224,19930804,-6,Colorado  Rockies
96225,19930805,-7,Colorado  Rockies
96497,19930430,4,Colorado  Rockies
96498,19930501,-1,Colorado  Rockies
96499,19930502,1,Colorado  Rockies
96529,19930719,-2,Colorado  Rockies
96530,19930720,3,Colorado  Rockies
96531,19930721,-2,Colorado  Rockies
96590,19930525,2,Colorado  Rockies
96591,19930526,1,Colorado  Rockies
96592,19930527,-8,Colorado  Rockies
96626,19930813,2,Colorado  Rockies
96627,19930814,-9,Colorado  Rockies
96628,19930815,1,Colorado  Rockies
96738,19930521,-8,Colorado  Rockies
96739,19930522,-1,Colorado  Rockies
96740,19930523,-4,Colorado  Rockies
96773,19930809,1,Colorado  Rockies
96774,19930810,2,Colorado  Rockies
96775,19930811,1,Colorado  Rockies
96776,19930812,3,Colorado  Rockies
96964,19930416,-1,Colorado  Rockies
96965,19930417,8,Colorado  Rockies
96966,19930418,-2,Colorado  Rockies
97027,19930906,-1,Colorado  Rockies
97028,19930907,-1,Colorado  Rockies
97029,19930908,-5,Colorado  Rockies
97123,19930405,-3,Colorado  Rockies
97124,19930407,-5,Colorado  Rockies
97184,19930826,-6,Colorado  Rockies
97185,19930827,-1,Colorado  Rockies
97186,19930828,2,Colorado  Rockies
97187,19930829,5,Colorado  Rockies
97311,19930604,1,Colorado  Rockies
97312,19930605,-4,Colorado  Rockies
97313,19930606,-4,Colorado  Rockies
97347,19930823,1,Colorado  Rockies
97348,19930824,-2,Colorado  Rockies
97349,19930825,-3,Colorado  Rockies
97391,19930608,3,Colorado  Rockies
97392,19930609,-3,Colorado  Rockies
97433,19930909,3,Colorado  Rockies
