,game_dt,s,team_name
95710,19930428,2,Florida  Marlins
95711,19930429,1,Florida  Marlins
95740,19930702,2,Florida  Marlins
95741,19930703,-9,Florida  Marlins
95742,19930704,-1,Florida  Marlins
95743,19930705,-2,Florida  Marlins
96126,19930614,-3,Florida  Marlins
96127,19930615,-3,Florida  Marlins
96128,19930616,-2,Florida  Marlins
96167,19930917,2,Florida  Marlins
96168,19930918,-1,Florida  Marlins
96169,19930919,1,Florida  Marlins
96179,19930426,-3,Florida  Marlins
96180,19930427,1,Florida  Marlins
96212,19930715,-3,Florida  Marlins
96213,19930716,-4,Florida  Marlins
96214,19930717,3,Florida  Marlins
96215,19930718,-2,Florida  Marlins
96336,19930423,-1,Florida  Marlins
96337,19930424,1,Florida  Marlins
96338,19930425,10,Florida  Marlins
96370,19930706,-5,Florida  Marlins
96371,19930707,-1,Florida  Marlins
96372,19930708,-1,Florida  Marlins
96570,19930416,-6,Florida  Marlins
96571,19930417,5,Florida  Marlins
96572,19930418,-3,Florida  Marlins
96629,19930817,-4,Florida  Marlins
96630,19930818,-1,Florida  Marlins
96631,19930819,-5,Florida  Marlins
96747,19930607,2,Florida  Marlins
96748,19930608,-1,Florida  Marlins
96789,19930909,-1,Florida  Marlins
96790,19930910,1,Florida  Marlins
96791,19930911,1,Florida  Marlins
96792,19930912,-1,Florida  Marlins
96975,19930511,-2,Florida  Marlins
96976,19930512,3,Florida  Marlins
96977,19930513,-1,Florida  Marlins
97011,19930730,-10,Florida  Marlins
97012,19930731,-1,Florida  Marlins
97013,19930801,1,Florida  Marlins
97135,19930507,-4,Florida  Marlins
97136,19930508,2,Florida  Marlins
97137,19930509,2,Florida  Marlins
97138,19930510,-1,Florida  Marlins
97172,19930727,-1,Florida  Marlins
97173,19930728,-1,Florida  Marlins
97174,19930729,1,Florida  Marlins
97317,19930617,3,Florida  Marlins
97318,19930618,-4,Florida  Marlins
97319,19930619,-3,Florida  Marlins
97320,19930620,-1,Florida  Marlins
97360,19930920,-6,Florida  Marlins
97361,19930921,-2,Florida  Marlins
97362,19930922,-1,Florida  Marlins
97385,19930525,-2,Florida  Marlins
97386,19930526,1,Florida  Marlins
97387,19930527,-5,Florida  Marlins
97420,19930813,-5,Florida  Marlins
97421,19930814,5,Florida  Marlins
97422,19930815,-1,Florida  Marlins
97471,19930604,4,Florida  Marlins
97472,19930605,2,Florida  Marlins
97473,19930606,7,Florida  Marlins
97513,19930906,2,Florida  Marlins
97514,19930907,-2,Florida  Marlins
97515,19930908,-1,Florida  Marlins
97609,19930412,-1,Florida  Marlins
97610,19930413,-2,Florida  Marlins
97611,19930414,2,Florida  Marlins
97669,19930820,1,Florida  Marlins
97670,19930821,-3,Florida  Marlins
97671,19930822,-1,Florida  Marlins
97707,19930514,-5,Florida  Marlins
97708,19930515,8,Florida  Marlins
97709,19930516,-1,Florida  Marlins
97743,19930802,-2,Florida  Marlins
97744,19930803,1,Florida  Marlins
97745,19930804,-8,Florida  Marlins
97746,19930805,-10,Florida  Marlins
97942,19940503,3,Florida  Marlins
97943,19940504,-3,Florida  Marlins
97978,19940714,2,Florida  Marlins
97979,19940715,-2,Florida  Marlins
97980,19940716,-2,Florida  Marlins
97981,19940717,-1,Florida  Marlins
98236,19940513,-2,Florida  Marlins
98237,19940514,2,Florida  Marlins
98238,19940515,3,Florida  Marlins
98272,19940801,-3,Florida  Marlins
98273,19940802,1,Florida  Marlins
98274,19940803,1,Florida  Marlins
98275,19940804,4,Florida  Marlins
98290,19940422,-2,Florida  Marlins
98291,19940423,1,Florida  Marlins
98292,19940424,-3,Florida  Marlins
98329,19940718,-2,Florida  Marlins
98330,19940719,-8,Florida  Marlins
98331,19940720,1,Florida  Marlins
98399,19940418,2,Florida  Marlins
98400,19940419,2,Florida  Marlins
98401,19940420,-10,Florida  Marlins
98441,19940722,4,Florida  Marlins
98442,19940723,-1,Florida  Marlins
98443,19940724,2,Florida  Marlins
98590,19940530,-1,Florida  Marlins
98591,19940531,-2,Florida  Marlins
98592,19940601,1,Florida  Marlins
98685,19940405,-1,Florida  Marlins
98686,19940406,-1,Florida  Marlins
98687,19940407,1,Florida  Marlins
98887,19940624,-9,Florida  Marlins
98888,19940625,-4,Florida  Marlins
98889,19940626,5,Florida  Marlins
98980,19940516,2,Florida  Marlins
98981,19940517,-1,Florida  Marlins
98982,19940518,1,Florida  Marlins
99014,19940805,-3,Florida  Marlins
99015,19940806,1,Florida  Marlins
99016,19940807,2,Florida  Marlins
99109,19940627,-4,Florida  Marlins
99110,19940628,1,Florida  Marlins
99111,19940629,-3,Florida  Marlins
99163,19940609,-2,Florida  Marlins
99164,19940610,-1,Florida  Marlins
99165,19940611,-6,Florida  Marlins
99166,19940612,-4,Florida  Marlins
99198,19940408,-4,Florida  Marlins
99199,19940409,14,Florida  Marlins
99200,19940410,3,Florida  Marlins
99318,19940527,-1,Florida  Marlins
99319,19940528,1,Florida  Marlins
99320,19940529,-2,Florida  Marlins
99382,19940613,-1,Florida  Marlins
99383,19940614,7,Florida  Marlins
99384,19940615,10,Florida  Marlins
99546,19950519,-4,Florida  Marlins
99547,19950520,-1,Florida  Marlins
99548,19950521,-4,Florida  Marlins
99586,19950814,-1,Florida  Marlins
99587,19950815,-3,Florida  Marlins
99588,19950816,3,Florida  Marlins
99902,19950526,2,Florida  Marlins
99903,19950527,-2,Florida  Marlins
99904,19950528,-5,Florida  Marlins
99939,19950822,2,Florida  Marlins
99940,19950823,-8,Florida  Marlins
99941,19950824,-4,Florida  Marlins
99992,19950623,12,Florida  Marlins
99993,19950624,-3,Florida  Marlins
99994,19950625,4,Florida  Marlins
100027,19950911,-1,Florida  Marlins
100028,19950912,1,Florida  Marlins
100029,19950913,-6,Florida  Marlins
100135,19950619,5,Florida  Marlins
100136,19950620,5,Florida  Marlins
100137,19950621,-3,Florida  Marlins
100174,19950915,-3,Florida  Marlins
100175,19950916,-1,Florida  Marlins
100176,19950917,17,Florida  Marlins
100339,19950605,-1,Florida  Marlins
100340,19950606,1,Florida  Marlins
100341,19950607,5,Florida  Marlins
100381,19950901,-4,Florida  Marlins
100382,19950902,-2,Florida  Marlins
100383,19950903,1,Florida  Marlins
100501,19950713,4,Florida  Marlins
100502,19950714,-7,Florida  Marlins
100503,19950715,-2,Florida  Marlins
100504,19950716,3,Florida  Marlins
100687,19950505,5,Florida  Marlins
100688,19950506,7,Florida  Marlins
100689,19950507,-6,Florida  Marlins
100690,19950508,-2,Florida  Marlins
100693,19950522,-3,Florida  Marlins
100727,19950801,3,Florida  Marlins
100728,19950802,1,Florida  Marlins
100848,19950613,-4,Florida  Marlins
100849,19950614,4,Florida  Marlins
100850,19950615,-1,Florida  Marlins
100873,19950804,5,Florida  Marlins
100874,19950805,3,Florida  Marlins
100875,19950806,-4,Florida  Marlins
100876,19950807,-3,Florida  Marlins
100994,19950616,1,Florida  Marlins
100995,19950617,-7,Florida  Marlins
100996,19950618,-2,Florida  Marlins
101036,19950918,-3,Florida  Marlins
101037,19950919,1,Florida  Marlins
101038,19950920,1,Florida  Marlins
101039,19950921,-2,Florida  Marlins
101053,19950523,5,Florida  Marlins
101054,19950525,-2,Florida  Marlins
101093,19950818,-6,Florida  Marlins
101094,19950818,-1,Florida  Marlins
101095,19950819,-5,Florida  Marlins
101096,19950820,-1,Florida  Marlins
101097,19950821,-2,Florida  Marlins
101262,19950428,-4,Florida  Marlins
101263,19950429,-1,Florida  Marlins
101264,19950430,7,Florida  Marlins
101297,19950717,2,Florida  Marlins
101298,19950718,2,Florida  Marlins
101299,19950719,2,Florida  Marlins
101370,19950706,-1,Florida  Marlins
101371,19950707,-4,Florida  Marlins
101372,19950708,-1,Florida  Marlins
101373,19950709,6,Florida  Marlins
101556,19960416,-3,Florida  Marlins
101557,19960417,-2,Florida  Marlins
101558,19960418,2,Florida  Marlins
101600,19960711,1,Florida  Marlins
101601,19960712,-3,Florida  Marlins
101602,19960713,-3,Florida  Marlins
101603,19960714,-5,Florida  Marlins
101980,19960517,-2,Florida  Marlins
101981,19960518,1,Florida  Marlins
101982,19960519,1,Florida  Marlins
102020,19960819,1,Florida  Marlins
102021,19960820,-7,Florida  Marlins
102022,19960821,-5,Florida  Marlins
102057,19960520,2,Florida  Marlins
102058,19960521,1,Florida  Marlins
102059,19960522,-3,Florida  Marlins
102101,19960830,2,Florida  Marlins
102102,19960831,-14,Florida  Marlins
102103,19960901,5,Florida  Marlins
102211,19960503,-4,Florida  Marlins
102212,19960504,-12,Florida  Marlins
102213,19960505,-1,Florida  Marlins
102254,19960805,7,Florida  Marlins
102255,19960806,-11,Florida  Marlins
102256,19960807,-7,Florida  Marlins
102479,19960701,-4,Florida  Marlins
102480,19960702,-1,Florida  Marlins
102481,19960703,-1,Florida  Marlins
102519,19960927,1,Florida  Marlins
102520,19960928,-4,Florida  Marlins
102521,19960929,-1,Florida  Marlins
102605,19960411,-5,Florida  Marlins
102606,19960412,2,Florida  Marlins
102607,19960413,-2,Florida  Marlins
102608,19960414,-5,Florida  Marlins
102652,19960730,-1,Florida  Marlins
102653,19960731,-3,Florida  Marlins
102654,19960801,1,Florida  Marlins
102875,19960610,3,Florida  Marlins
102876,19960611,-1,Florida  Marlins
102877,19960612,-8,Florida  Marlins
102918,19960912,-1,Florida  Marlins
102919,19960913,-1,Florida  Marlins
102920,19960914,-1,Florida  Marlins
102921,19960915,1,Florida  Marlins
103034,19960607,10,Florida  Marlins
103035,19960608,-1,Florida  Marlins
103036,19960609,-3,Florida  Marlins
103078,19960909,-5,Florida  Marlins
103079,19960910,6,Florida  Marlins
103080,19960911,-2,Florida  Marlins
103206,19960704,-3,Florida  Marlins
103207,19960705,-3,Florida  Marlins
103208,19960706,-1,Florida  Marlins
103209,19960707,3,Florida  Marlins
103241,19960917,6,Florida  Marlins
103242,19960918,-2,Florida  Marlins
103256,19960424,-3,Florida  Marlins
103257,19960425,3,Florida  Marlins
103281,19960613,1,Florida  Marlins
103282,19960614,-1,Florida  Marlins
103283,19960615,-4,Florida  Marlins
103284,19960616,2,Florida  Marlins
103330,19960408,-7,Florida  Marlins
103331,19960409,3,Florida  Marlins
103332,19960410,-3,Florida  Marlins
103387,19960802,-1,Florida  Marlins
103388,19960803,3,Florida  Marlins
103389,19960804,-2,Florida  Marlins
103501,19960426,3,Florida  Marlins
103502,19960427,-3,Florida  Marlins
103503,19960428,-6,Florida  Marlins
103525,19960617,-1,Florida  Marlins
103526,19960618,-1,Florida  Marlins
103527,19960619,-3,Florida  Marlins
103634,19960816,-4,Florida  Marlins
103635,19960817,-1,Florida  Marlins
103636,19960818,-2,Florida  Marlins
103637,19960827,3,Florida  Marlins
103638,19960828,1,Florida  Marlins
103639,19960829,1,Florida  Marlins
103916,19970513,6,Florida  Marlins
103917,19970514,1,Florida  Marlins
103954,19970808,2,Florida  Marlins
103955,19970809,-1,Florida  Marlins
103956,19970810,2,Florida  Marlins
103957,19970811,-1,Florida  Marlins
104101,19970630,3,Florida  Marlins
104102,19970701,-7,Florida  Marlins
104103,19970702,1,Florida  Marlins
104223,19970408,2,Florida  Marlins
104224,19970410,1,Florida  Marlins
104287,19970825,-2,Florida  Marlins
104288,19970826,11,Florida  Marlins
104289,19970827,1,Florida  Marlins
104290,19970828,-1,Florida  Marlins
104307,19970411,10,Florida  Marlins
104308,19970412,-1,Florida  Marlins
104309,19970413,-2,Florida  Marlins
104352,19970722,-1,Florida  Marlins
104353,19970723,7,Florida  Marlins
104474,19970422,-9,Florida  Marlins
104475,19970423,-4,Florida  Marlins
104492,19970607,2,Florida  Marlins
104493,19970608,-5,Florida  Marlins
104494,19970608,8,Florida  Marlins
104579,19970616,4,Florida  Marlins
104580,19970617,1,Florida  Marlins
104581,19970618,-4,Florida  Marlins
104722,19970502,-1,Florida  Marlins
104723,19970503,1,Florida  Marlins
104724,19970504,-1,Florida  Marlins
104765,19970812,-11,Florida  Marlins
104766,19970813,2,Florida  Marlins
104896,19970526,-2,Florida  Marlins
104897,19970527,3,Florida  Marlins
