,game_dt,s,team_name
36225,19620418,-1,Houston  Colts
36226,19620419,6,Houston  Colts
36240,19620530,2,Houston  Colts
36241,19620531,4,Houston  Colts
36275,19620727,-4,Houston  Colts
36276,19620729,-2,Houston  Colts
36277,19620729,2,Houston  Colts
36290,19620901,-1,Houston  Colts
36291,19620902,2,Houston  Colts
36323,19620528,-3,Houston  Colts
36336,19620706,2,Houston  Colts
36337,19620707,-9,Houston  Colts
36338,19620708,-4,Houston  Colts
36339,19620708,-1,Houston  Colts
36368,19620824,-2,Houston  Colts
36369,19620825,-1,Houston  Colts
36370,19620826,1,Houston  Colts
36371,19620826,2,Houston  Colts
36799,19620515,-3,Houston  Colts
36800,19620516,-3,Houston  Colts
36801,19620517,-1,Houston  Colts
36813,19620615,2,Houston  Colts
36814,19620616,3,Houston  Colts
36815,19620617,-4,Houston  Colts
36861,19620925,1,Houston  Colts
36862,19620926,-12,Houston  Colts
36863,19620927,2,Houston  Colts
36959,19620504,3,Houston  Colts
36960,19620505,-1,Houston  Colts
36961,19620506,-1,Houston  Colts
36962,19620506,8,Houston  Colts
37000,19620801,-3,Houston  Colts
37001,19620802,3,Houston  Colts
37021,19620914,-2,Houston  Colts
37022,19620915,-1,Houston  Colts
37023,19620916,-1,Houston  Colts
37115,19620417,3,Houston  Colts
37144,19620622,-2,Houston  Colts
37145,19620622,13,Houston  Colts
37146,19620623,-11,Houston  Colts
37185,19620918,4,Houston  Colts
37186,19620918,2,Houston  Colts
37187,19620920,5,Houston  Colts
37188,19620920,1,Houston  Colts
37192,19620413,-1,Houston  Colts
37193,19620414,-3,Houston  Colts
37229,19620625,-1,Houston  Colts
37230,19620626,-2,Houston  Colts
37231,19620626,-2,Houston  Colts
37232,19620711,-5,Houston  Colts
37247,19620820,-6,Houston  Colts
37248,19620821,-2,Houston  Colts
37249,19620821,-3,Houston  Colts
37291,19620601,-4,Houston  Colts
37292,19620602,-7,Houston  Colts
37293,19620603,4,Houston  Colts
37294,19620603,7,Houston  Colts
37318,19620712,-2,Houston  Colts
37319,19620713,-4,Houston  Colts
37320,19620714,-2,Houston  Colts
37335,19620822,-3,Houston  Colts
37336,19620823,-4,Houston  Colts
37372,19620518,1,Houston  Colts
37373,19620519,-8,Houston  Colts
37374,19620520,1,Houston  Colts
37375,19620520,-3,Houston  Colts
37385,19620619,2,Houston  Colts
37386,19620620,4,Houston  Colts
37431,19620929,-6,Houston  Colts
37432,19620929,2,Houston  Colts
37433,19620930,-1,Houston  Colts
37443,19620501,-2,Houston  Colts
37444,19620502,-3,Houston  Colts
37445,19620503,-4,Houston  Colts
37487,19620803,5,Houston  Colts
37488,19620804,-2,Houston  Colts
37489,19620805,3,Houston  Colts
37490,19620805,-3,Houston  Colts
37499,19620828,2,Houston  Colts
37500,19620829,1,Houston  Colts
37861,19630524,1,Houston  Colts
37862,19630525,-3,Houston  Colts
37863,19630526,-4,Houston  Colts
37871,19630618,-2,Houston  Colts
37872,19630619,-8,Houston  Colts
37873,19630620,-5,Houston  Colts
37909,19630830,4,Houston  Colts
37910,19630831,-1,Houston  Colts
37911,19630901,-1,Houston  Colts
37931,19630507,1,Houston  Colts
37932,19630508,-1,Houston  Colts
37933,19630509,-10,Houston  Colts
37954,19630621,-3,Houston  Colts
37955,19630622,-3,Houston  Colts
37956,19630623,-4,Houston  Colts
37957,19630623,-7,Houston  Colts
37997,19630917,-1,Houston  Colts
37998,19630918,4,Houston  Colts
38409,19630419,-2,Houston  Colts
38410,19630420,3,Houston  Colts
38411,19630421,-8,Houston  Colts
38412,19630421,-1,Houston  Colts
38434,19630612,-8,Houston  Colts
38435,19630613,-3,Houston  Colts
38473,19630902,-4,Houston  Colts
38474,19630902,-6,Houston  Colts
38475,19630903,-1,Houston  Colts
38592,19630531,1,Houston  Colts
38593,19630601,-3,Houston  Colts
38594,19630602,2,Houston  Colts
38606,19630624,-3,Houston  Colts
38607,19630625,-4,Houston  Colts
38608,19630626,5,Houston  Colts
38634,19630816,-1,Houston  Colts
38635,19630817,-3,Houston  Colts
38636,19630818,-1,Houston  Colts
38736,19630502,-7,Houston  Colts
38776,19630714,5,Houston  Colts
38777,19630715,-9,Houston  Colts
38778,19630715,8,Houston  Colts
38779,19630716,-1,Houston  Colts
38804,19630913,1,Houston  Colts
38805,19630914,4,Houston  Colts
38806,19630915,1,Houston  Colts
38807,19630915,5,Houston  Colts
38820,19630503,-1,Houston  Colts
38821,19630504,-7,Houston  Colts
38822,19630505,-1,Houston  Colts
38823,19630505,4,Houston  Colts
38854,19630717,-1,Houston  Colts
38855,19630718,-4,Houston  Colts
38884,19630910,-16,Houston  Colts
38885,19630911,2,Houston  Colts
38886,19630912,-3,Houston  Colts
38927,19630710,2,Houston  Colts
38928,19630711,-3,Houston  Colts
38929,19630712,-1,Houston  Colts
38930,19630713,-3,Houston  Colts
38942,19630809,1,Houston  Colts
38943,19630809,-1,Houston  Colts
38944,19630810,-1,Houston  Colts
38945,19630811,-1,Houston  Colts
38946,19630812,-2,Houston  Colts
38970,19630416,-7,Houston  Colts
38971,19630417,1,Houston  Colts
38972,19630418,-3,Houston  Colts
38998,19630614,-1,Houston  Colts
38999,19630615,-1,Houston  Colts
39000,19630616,3,Houston  Colts
39001,19630616,-1,Houston  Colts
39037,19630904,-5,Houston  Colts
39038,19630905,3,Houston  Colts
39070,19630528,-1,Houston  Colts
39071,19630529,-1,Houston  Colts
39072,19630530,-4,Houston  Colts
39097,19630719,-5,Houston  Colts
39098,19630720,-7,Houston  Colts
39099,19630721,-5,Houston  Colts
39107,19630813,-2,Houston  Colts
39108,19630814,-1,Houston  Colts
39109,19630815,2,Houston  Colts
39461,19640509,-8,Houston  Colts
39462,19640510,-1,Houston  Colts
39463,19640510,3,Houston  Colts
39487,19640626,-1,Houston  Colts
39488,19640627,-1,Houston  Colts
39489,19640628,-8,Houston  Colts
39490,19640628,3,Houston  Colts
39523,19640909,-3,Houston  Colts
39524,19640910,-1,Houston  Colts
39537,19640413,3,Houston  Colts
39573,19640714,-1,Houston  Colts
39574,19640714,-7,Houston  Colts
39575,19640715,-1,Houston  Colts
39576,19640716,-1,Houston  Colts
39601,19640829,-1,Houston  Colts
39602,19640829,-1,Houston  Colts
39603,19640830,3,Houston  Colts
39604,19640830,-1,Houston  Colts
40037,19640506,-3,Houston  Colts
40038,19640507,1,Houston  Colts
40070,19640720,3,Houston  Colts
40071,19640721,1,Houston  Colts
40072,19640722,-1,Houston  Colts
40073,19640723,-1,Houston  Colts
40104,19641002,5,Houston  Colts
40105,19641003,-7,Houston  Colts
40106,19641004,-10,Houston  Colts
40203,19640526,2,Houston  Colts
40204,19640527,-2,Houston  Colts
40205,19640528,2,Houston  Colts
40212,19640619,2,Houston  Colts
40213,19640620,1,Houston  Colts
40214,19640621,3,Houston  Colts
40215,19640621,1,Houston  Colts
40243,19640811,-3,Houston  Colts
40244,19640812,-4,Houston  Colts
40367,19640602,-3,Houston  Colts
40368,19640604,4,Houston  Colts
