,game_dt,s,team_name
140231,20120820,9,Miami  Marlins
140232,20120821,1,Miami  Marlins
140233,20120822,-1,Miami  Marlins
140234,20120822,-3,Miami  Marlins
140270,20120516,4,Miami  Marlins
140271,20120517,-7,Miami  Marlins
140306,20120730,-6,Miami  Marlins
140307,20120731,-6,Miami  Marlins
140308,20120801,2,Miami  Marlins
140309,20120802,-5,Miami  Marlins
140330,20120925,-1,Miami  Marlins
140331,20120926,-3,Miami  Marlins
140332,20120927,-4,Miami  Marlins
140450,20120619,-2,Miami  Marlins
140451,20120620,-10,Miami  Marlins
140452,20120621,-1,Miami  Marlins
140621,20120717,4,Miami  Marlins
140622,20120718,-4,Miami  Marlins
140623,20120719,-2,Miami  Marlins
140660,20120405,-4,Miami  Marlins
140661,20120407,5,Miami  Marlins
140662,20120408,-1,Miami  Marlins
140761,20120518,1,Miami  Marlins
140762,20120519,-2,Miami  Marlins
140763,20120520,2,Miami  Marlins
140883,20120816,-2,Miami  Marlins
140884,20120817,1,Miami  Marlins
140885,20120818,1,Miami  Marlins
140886,20120819,-1,Miami  Marlins
140999,20120507,4,Miami  Marlins
141000,20120508,-1,Miami  Marlins
141001,20120509,2,Miami  Marlins
141207,20120824,-7,Miami  Marlins
141208,20120825,-6,Miami  Marlins
141209,20120826,4,Miami  Marlins
141347,20120702,-1,Miami  Marlins
141348,20120703,-1,Miami  Marlins
141349,20120704,1,Miami  Marlins
141350,20120705,4,Miami  Marlins
141561,20120424,-1,Miami  Marlins
141562,20120425,-4,Miami  Marlins
141563,20120426,-1,Miami  Marlins
141603,20120807,2,Miami  Marlins
141604,20120808,13,Miami  Marlins
141605,20120809,-5,Miami  Marlins
141625,20120921,-4,Miami  Marlins
141626,20120922,-1,Miami  Marlins
141627,20120923,-1,Miami  Marlins
141713,20120409,4,Miami  Marlins
141714,20120411,-6,Miami  Marlins
141715,20120412,-2,Miami  Marlins
141737,20120601,-2,Miami  Marlins
141738,20120602,1,Miami  Marlins
141739,20120603,4,Miami  Marlins
141785,20120910,-2,Miami  Marlins
141786,20120911,-2,Miami  Marlins
141787,20120912,-2,Miami  Marlins
141837,20120720,-1,Miami  Marlins
141838,20120721,-4,Miami  Marlins
141839,20120722,-3,Miami  Marlins
141892,20120504,1,Miami  Marlins
141893,20120505,3,Miami  Marlins
141894,20120506,3,Miami  Marlins
142046,20120501,1,Miami  Marlins
142047,20120502,1,Miami  Marlins
142048,20120503,1,Miami  Marlins
142158,20120706,1,Miami  Marlins
142159,20120707,-1,Miami  Marlins
142160,20120708,-1,Miami  Marlins
142232,20120615,-11,Miami  Marlins
142233,20120616,1,Miami  Marlins
142234,20120617,-3,Miami  Marlins
142450,20120420,-2,Miami  Marlins
142451,20120421,-1,Miami  Marlins
142492,20120803,-3,Miami  Marlins
142493,20120803,3,Miami  Marlins
142494,20120804,-3,Miami  Marlins
142495,20120805,-3,Miami  Marlins
142510,20120907,2,Miami  Marlins
142511,20120908,-1,Miami  Marlins
142512,20120909,8,Miami  Marlins
142635,20130617,1,Miami  Marlins
142636,20130618,-1,Miami  Marlins
142637,20130619,-2,Miami  Marlins
142724,20130702,-8,Miami  Marlins
142725,20130703,3,Miami  Marlins
142726,20130704,1,Miami  Marlins
142738,20130809,-5,Miami  Marlins
142739,20130810,1,Miami  Marlins
142740,20130811,-5,Miami  Marlins
142750,20130830,-1,Miami  Marlins
142751,20130831,-1,Miami  Marlins
142752,20130901,7,Miami  Marlins
142948,20130524,-1,Miami  Marlins
142949,20130525,-1,Miami  Marlins
142950,20130526,-2,Miami  Marlins
143078,20130902,1,Miami  Marlins
143079,20130903,4,Miami  Marlins
143080,20130904,-2,Miami  Marlins
143099,20130418,-10,Miami  Marlins
143100,20130419,1,Miami  Marlins
143101,20130420,-1,Miami  Marlins
143102,20130421,-4,Miami  Marlins
143302,20130722,2,Miami  Marlins
143303,20130723,2,Miami  Marlins
143304,20130724,-1,Miami  Marlins
143305,20130725,2,Miami  Marlins
143553,20130812,-4,Miami  Marlins
143554,20130813,1,Miami  Marlins
143555,20130814,3,Miami  Marlins
143594,20130510,1,Miami  Marlins
143595,20130511,-6,Miami  Marlins
143596,20130512,-2,Miami  Marlins
143786,20130719,-2,Miami  Marlins
143787,20130720,-6,Miami  Marlins
143788,20130721,-1,Miami  Marlins
143826,20130423,-1,Miami  Marlins
143827,20130423,3,Miami  Marlins
143984,20130405,2,Miami  Marlins
143985,20130406,-4,Miami  Marlins
143986,20130407,-1,Miami  Marlins
144010,20130608,1,Miami  Marlins
144011,20130609,4,Miami  Marlins
144051,20130913,-1,Miami  Marlins
144052,20130914,3,Miami  Marlins
144053,20130914,-2,Miami  Marlins
144054,20130915,-1,Miami  Marlins
144157,20130502,-5,Miami  Marlins
144158,20130503,-3,Miami  Marlins
144159,20130504,2,Miami  Marlins
144160,20130505,12,Miami  Marlins
144171,20130603,-5,Miami  Marlins
144172,20130604,-4,Miami  Marlins
144173,20130605,-5,Miami  Marlins
144218,20130916,-10,Miami  Marlins
144219,20130917,-2,Miami  Marlins
144220,20130918,1,Miami  Marlins
144282,20130806,-1,Miami  Marlins
144283,20130807,-2,Miami  Marlins
144284,20130808,-1,Miami  Marlins
144320,20130506,-5,Miami  Marlins
144321,20130507,-4,Miami  Marlins
144322,20130508,-1,Miami  Marlins
144502,20130620,1,Miami  Marlins
144503,20130621,3,Miami  Marlins
144504,20130622,-1,Miami  Marlins
144505,20130623,5,Miami  Marlins
144586,20130705,-3,Miami  Marlins
144587,20130706,-1,Miami  Marlins
144588,20130707,-1,Miami  Marlins
144654,20130527,-4,Miami  Marlins
144655,20130528,-1,Miami  Marlins
144873,20130401,-2,Miami  Marlins
144874,20130403,-3,Miami  Marlins
144875,20130404,-5,Miami  Marlins
144938,20130827,-1,Miami  Marlins
144939,20130828,-1,Miami  Marlins
144940,20130829,-9,Miami  Marlins
144950,20130919,-1,Miami  Marlins
144951,20130920,-8,Miami  Marlins
144952,20130922,2,Miami  Marlins
144953,20130922,-1,Miami  Marlins
145018,20140825,6,Miami  Marlins
145019,20140826,-6,Miami  Marlins
145020,20140827,-5,Miami  Marlins
145080,20140707,-8,Miami  Marlins
145081,20140708,1,Miami  Marlins
145082,20140709,-1,Miami  Marlins
145122,20140421,-2,Miami  Marlins
145123,20140422,1,Miami  Marlins
145124,20140423,-2,Miami  Marlins
145163,20140721,2,Miami  Marlins
145164,20140722,1,Miami  Marlins
145165,20140723,-5,Miami  Marlins
145166,20140724,1,Miami  Marlins
145181,20140829,-3,Miami  Marlins
145182,20140830,4,Miami  Marlins
145183,20140831,-1,Miami  Marlins
145466,20140606,-2,Miami  Marlins
145467,20140607,-3,Miami  Marlins
145468,20140608,1,Miami  Marlins
145577,20140808,1,Miami  Marlins
145578,20140809,1,Miami  Marlins
145579,20140810,-5,Miami  Marlins
145748,20140822,8,Miami  Marlins
145749,20140823,-1,Miami  Marlins
145750,20140824,-3,Miami  Marlins
145894,20140725,2,Miami  Marlins
145895,20140726,4,Miami  Marlins
145896,20140727,2,Miami  Marlins
146026,20140512,-1,Miami  Marlins
146027,20140513,-6,Miami  Marlins
146028,20140514,10,Miami  Marlins
146240,20140908,2,Miami  Marlins
146241,20140909,3,Miami  Marlins
146242,20140910,-3,Miami  Marlins
146243,20140911,-2,Miami  Marlins
146425,20140425,-1,Miami  Marlins
146426,20140426,1,Miami  Marlins
146427,20140427,-4,Miami  Marlins
146457,20140711,-6,Miami  Marlins
146458,20140712,-1,Miami  Marlins
146459,20140713,-8,Miami  Marlins
146487,20140915,1,Miami  Marlins
146488,20140916,-8,Miami  Marlins
146489,20140917,1,Miami  Marlins
146577,20140411,-3,Miami  Marlins
146578,20140412,-1,Miami  Marlins
146579,20140413,-1,Miami  Marlins
146611,20140623,4,Miami  Marlins
146612,20140624,-3,Miami  Marlins
146613,20140625,1,Miami  Marlins
146614,20140626,-2,Miami  Marlins
146649,20140912,-2,Miami  Marlins
146650,20140913,-1,Miami  Marlins
146651,20140914,1,Miami  Marlins
146710,20140805,3,Miami  Marlins
146711,20140806,-4,Miami  Marlins
146712,20140807,-5,Miami  Marlins
146755,20140508,2,Miami  Marlins
146756,20140509,-9,Miami  Marlins
146757,20140510,-6,Miami  Marlins
146758,20140511,-1,Miami  Marlins
146916,20140515,-2,Miami  Marlins
146917,20140516,2,Miami  Marlins
146918,20140517,5,Miami  Marlins
146919,20140518,-3,Miami  Marlins
147019,20140704,-1,Miami  Marlins
147020,20140705,1,Miami  Marlins
147021,20140706,4,Miami  Marlins
147086,20140604,1,Miami  Marlins
147087,20140605,5,Miami  Marlins
147174,20140610,3,Miami  Marlins
147175,20140611,-6,Miami  Marlins
147306,20140408,-5,Miami  Marlins
147307,20140409,-3,Miami  Marlins
147308,20140410,-6,Miami  Marlins
147329,20140526,1,Miami  Marlins
147330,20140528,3,Miami  Marlins
147380,20140926,-4,Miami  Marlins
147381,20140926,8,Miami  Marlins
147382,20140927,-4,Miami  Marlins
147383,20140928,-1,Miami  Marlins
147511,20150720,-2,Miami  Marlins
147512,20150721,3,Miami  Marlins
147513,20150722,2,Miami  Marlins
147549,20150413,-1,Miami  Marlins
147550,20150414,6,Miami  Marlins
147551,20150415,4,Miami  Marlins
147595,20150806,-1,Miami  Marlins
147596,20150807,-3,Miami  Marlins
147597,20150808,-5,Miami  Marlins
147598,20150809,3,Miami  Marlins
147608,20150831,4,Miami  Marlins
147609,20150901,6,Miami  Marlins
147610,20150902,4,Miami  Marlins
147748,20150707,-1,Miami  Marlins
147749,20150708,-3,Miami  Marlins
147905,20150703,1,Miami  Marlins
147906,20150704,-5,Miami  Marlins
147907,20150705,-2,Miami  Marlins
147982,20150619,-5,Miami  Marlins
147983,20150620,5,Miami  Marlins
147984,20150621,-3,Miami  Marlins
148137,20150605,4,Miami  Marlins
148138,20150606,-5,Miami  Marlins
148139,20150607,1,Miami  Marlins
148451,20150511,-2,Miami  Marlins
148452,20150512,-10,Miami  Marlins
148453,20150513,1,Miami  Marlins
148661,20150817,4,Miami  Marlins
148662,20150818,3,Miami  Marlins
148663,20150819,-1,Miami  Marlins
148787,20150617,-1,Miami  Marlins
148788,20150618,-5,Miami  Marlins
148844,20150416,-2,Miami  Marlins
148845,20150417,-3,Miami  Marlins
148846,20150418,-1,Miami  Marlins
148847,20150419,-1,Miami  Marlins
148867,20150529,1,Miami  Marlins
148868,20150530,4,Miami  Marlins
148869,20150531,-1,Miami  Marlins
148910,20150914,-1,Miami  Marlins
148911,20150915,6,Miami  Marlins
148912,20150916,6,Miami  Marlins
149009,20150421,-4,Miami  Marlins
149010,20150422,5,Miami  Marlins
149011,20150423,8,Miami  Marlins
149046,20150717,-3,Miami  Marlins
149047,20150718,-2,Miami  Marlins
149048,20150719,-1,Miami  Marlins
149081,20151003,1,Miami  Marlins
149082,20151003,3,Miami  Marlins
149083,20151004,-5,Miami  Marlins
149105,20150525,-2,Miami  Marlins
149106,20150526,-4,Miami  Marlins
149107,20150527,-3,Miami  Marlins
149210,20150723,4,Miami  Marlins
149211,20150724,-2,Miami  Marlins
149212,20150725,-2,Miami  Marlins
149213,20150726,-1,Miami  Marlins
149343,20150507,5,Miami  Marlins
149344,20150508,-6,Miami  Marlins
149345,20150509,4,Miami  Marlins
149346,20150510,-1,Miami  Marlins
149467,20150814,-2,Miami  Marlins
149468,20150815,-4,Miami  Marlins
149469,20150816,2,Miami  Marlins
149564,20150929,-2,Miami  Marlins
149565,20150930,-2,Miami  Marlins
149566,20151001,-3,Miami  Marlins
149680,20150608,-8,Miami  Marlins
149681,20150609,-1,Miami  Marlins
149682,20150610,-5,Miami  Marlins
149742,20150504,-2,Miami  Marlins
149743,20150505,1,Miami  Marlins
149744,20150506,-2,Miami  Marlins
149792,20150828,1,Miami  Marlins
149793,20150829,-4,Miami  Marlins
149794,20150830,-3,Miami  Marlins
149802,20150917,2,Miami  Marlins
149803,20150918,-1,Miami  Marlins
149804,20150919,-3,Miami  Marlins
149805,20150920,-10,Miami  Marlins
149926,20160610,2,Miami  Marlins
149927,20160611,-2,Miami  Marlins
149928,20160612,-6,Miami  Marlins
149997,20160527,-2,Miami  Marlins
149998,20160528,-5,Miami  Marlins
149999,20160529,4,Miami  Marlins
150018,20160630,-3,Miami  Marlins
150019,20160701,2,Miami  Marlins
150020,20160702,-8,Miami  Marlins
150021,20160703,3,Miami  Marlins
150044,20160912,-5,Miami  Marlins
150045,20160913,2,Miami  Marlins
150046,20160914,2,Miami  Marlins
150350,20160801,-5,Miami  Marlins
150351,20160802,-1,Miami  Marlins
150352,20160803,-1,Miami  Marlins
150435,20160815,3,Miami  Marlins
150436,20160816,-3,Miami  Marlins
150437,20160817,-1,Miami  Marlins
150438,20160818,-1,Miami  Marlins
150526,20160902,-4,Miami  Marlins
150527,20160903,-5,Miami  Marlins
150528,20160904,-1,Miami  Marlins
150594,20160805,2,Miami  Marlins
150595,20160806,-6,Miami  Marlins
150596,20160807,3,Miami  Marlins
150660,20160628,-2,Miami  Marlins
150661,20160629,-7,Miami  Marlins
150871,20160425,1,Miami  Marlins
150872,20160426,3,Miami  Marlins
150873,20160427,2,Miami  Marlins
150874,20160428,2,Miami  Marlins
151037,20160429,3,Miami  Marlins
151038,20160430,2,Miami  Marlins
151039,20160501,-9,Miami  Marlins
151134,20160607,-2,Miami  Marlins
151135,20160608,-2,Miami  Marlins
151136,20160609,7,Miami  Marlins
151272,20160411,7,Miami  Marlins
151273,20160412,1,Miami  Marlins
151274,20160413,-1,Miami  Marlins
151308,20160704,-2,Miami  Marlins
151309,20160705,3,Miami  Marlins
