,game_dt,s,team_name
36233,19620508,2,New York  Mets
36248,19620608,1,New York  Mets
36249,19620608,-1,New York  Mets
36250,19620609,5,New York  Mets
36251,19620610,1,New York  Mets
36252,19620610,-1,New York  Mets
36299,19620928,-1,New York  Mets
36300,19620929,1,New York  Mets
36301,19620930,-4,New York  Mets
36309,19620424,-4,New York  Mets
36310,19620425,-6,New York  Mets
36343,19620720,-2,New York  Mets
36344,19620721,-2,New York  Mets
36345,19620722,-7,New York  Mets
36346,19620722,-1,New York  Mets
36357,19620810,-4,New York  Mets
36358,19620811,-1,New York  Mets
36359,19620812,-4,New York  Mets
36564,19620521,-1,New York  Mets
36565,19620522,-1,New York  Mets
36578,19620611,2,New York  Mets
36579,19620612,-1,New York  Mets
36580,19620614,-8,New York  Mets
36620,19620907,-2,New York  Mets
36621,19620908,-1,New York  Mets
36622,19620908,-1,New York  Mets
36623,19620909,0,New York  Mets
36807,19620523,-2,New York  Mets
36808,19620524,-2,New York  Mets
36809,19620525,-9,New York  Mets
36825,19620628,-1,New York  Mets
36826,19620629,6,New York  Mets
36827,19620630,-5,New York  Mets
36828,19620701,-4,New York  Mets
36842,19620806,-1,New York  Mets
36843,19620807,-2,New York  Mets
36965,19620518,-3,New York  Mets
36966,19620519,1,New York  Mets
36967,19620520,1,New York  Mets
36968,19620520,3,New York  Mets
36997,19620724,-1,New York  Mets
36998,19620725,-6,New York  Mets
36999,19620726,-5,New York  Mets
37027,19620925,-4,New York  Mets
37028,19620926,-3,New York  Mets
37199,19620504,-1,New York  Mets
37200,19620505,-1,New York  Mets
37201,19620506,2,New York  Mets
37217,19620606,-2,New York  Mets
37218,19620606,-1,New York  Mets
37255,19620828,2,New York  Mets
37256,19620828,-9,New York  Mets
37257,19620829,-1,New York  Mets
37258,19620830,-1,New York  Mets
37273,19620421,-4,New York  Mets
37274,19620422,-1,New York  Mets
37275,19620423,8,New York  Mets
37310,19620625,-10,New York  Mets
37311,19620626,-3,New York  Mets
37312,19620627,-1,New York  Mets
37340,19620903,-2,New York  Mets
37341,19620903,-1,New York  Mets
37342,19620904,-4,New York  Mets
37379,19620526,-1,New York  Mets
37380,19620527,-6,New York  Mets
37381,19620527,-1,New York  Mets
37397,19620702,3,New York  Mets
37398,19620703,-9,New York  Mets
37399,19620704,-7,New York  Mets
37400,19620704,-7,New York  Mets
37412,19620808,3,New York  Mets
37413,19620809,-6,New York  Mets
37435,19620411,-7,New York  Mets
37482,19620727,1,New York  Mets
37483,19620727,-1,New York  Mets
37484,19620728,1,New York  Mets
37485,19620729,-1,New York  Mets
37486,19620729,-4,New York  Mets
37501,19620831,-2,New York  Mets
37502,19620901,-5,New York  Mets
37503,19620902,1,New York  Mets
37844,19630424,2,New York  Mets
37845,19630425,1,New York  Mets
37877,19630702,-3,New York  Mets
37878,19630703,-7,New York  Mets
37879,19630704,-1,New York  Mets
37880,19630704,-3,New York  Mets
37903,19630823,-1,New York  Mets
37904,19630824,5,New York  Mets
37905,19630825,-2,New York  Mets
37923,19630416,-3,New York  Mets
37924,19630417,-5,New York  Mets
37946,19630614,7,New York  Mets
37947,19630615,3,New York  Mets
37948,19630616,-6,New York  Mets
37949,19630616,-7,New York  Mets
37990,19630906,1,New York  Mets
37991,19630907,-2,New York  Mets
37992,19630908,1,New York  Mets
38180,19630513,-2,New York  Mets
38181,19630514,-1,New York  Mets
38182,19630515,3,New York  Mets
38213,19630726,-4,New York  Mets
38214,19630727,-1,New York  Mets
38215,19630728,-6,New York  Mets
38241,19630927,7,New York  Mets
38242,19630928,-8,New York  Mets
38243,19630929,-9,New York  Mets
38428,19630519,-1,New York  Mets
38429,19630519,-2,New York  Mets
38430,19630521,-2,New York  Mets
38431,19630522,-4,New York  Mets
38458,19630730,4,New York  Mets
38459,19630731,-2,New York  Mets
38481,19630924,-3,New York  Mets
38482,19630925,-1,New York  Mets
38483,19630926,-1,New York  Mets
38568,19630411,-5,New York  Mets
38569,19630413,-3,New York  Mets
38570,19630414,-1,New York  Mets
38571,19630415,-1,New York  Mets
38595,19630612,-9,New York  Mets
38624,19630802,-8,New York  Mets
38625,19630802,2,New York  Mets
38626,19630803,-3,New York  Mets
38627,19630804,-1,New York  Mets
38816,19630422,-2,New York  Mets
38856,19630719,-1,New York  Mets
38857,19630720,-4,New York  Mets
38858,19630721,-8,New York  Mets
38859,19630721,-5,New York  Mets
38871,19630819,-1,New York  Mets
38872,19630820,4,New York  Mets
38873,19630820,-1,New York  Mets
