,game_dt,s,team_name
664,19220614,-1,Philadelphia  Athletics
665,19220615,2,Philadelphia  Athletics
666,19220616,-1,Philadelphia  Athletics
667,19220617,-2,Philadelphia  Athletics
690,19220806,4,Philadelphia  Athletics
691,19220807,-7,Philadelphia  Athletics
692,19220808,-2,Philadelphia  Athletics
693,19220809,1,Philadelphia  Athletics
708,19220920,-1,Philadelphia  Athletics
885,19220610,3,Philadelphia  Athletics
886,19220611,-1,Philadelphia  Athletics
887,19220612,-8,Philadelphia  Athletics
900,19220725,-4,Philadelphia  Athletics
901,19220725,7,Philadelphia  Athletics
902,19220726,-2,Philadelphia  Athletics
903,19220727,9,Philadelphia  Athletics
904,19220728,9,Philadelphia  Athletics
929,19220916,5,Philadelphia  Athletics
930,19220917,-2,Philadelphia  Athletics
1042,19220425,-6,Philadelphia  Athletics
1043,19220426,2,Philadelphia  Athletics
1066,19220529,-3,Philadelphia  Athletics
1067,19220530,-1,Philadelphia  Athletics
1068,19220530,1,Philadelphia  Athletics
1071,19220604,-5,Philadelphia  Athletics
1072,19220702,-6,Philadelphia  Athletics
1090,19220811,-1,Philadelphia  Athletics
1111,19220910,-7,Philadelphia  Athletics
1393,19220624,6,Philadelphia  Athletics
1408,19250425,-1,Philadelphia  Athletics
1411,19250601,-2,Philadelphia  Athletics
1412,19250602,13,Philadelphia  Athletics
1413,19250603,-2,Philadelphia  Athletics
1414,19250604,10,Philadelphia  Athletics
1442,19250814,3,Philadelphia  Athletics
1443,19250815,2,Philadelphia  Athletics
1444,19250815,-5,Philadelphia  Athletics
1608,19250518,-1,Philadelphia  Athletics
1609,19250519,-1,Philadelphia  Athletics
1631,19250715,2,Philadelphia  Athletics
1632,19250715,6,Philadelphia  Athletics
1633,19250716,9,Philadelphia  Athletics
1634,19250717,7,Philadelphia  Athletics
1645,19250821,-6,Philadelphia  Athletics
1646,19250822,5,Philadelphia  Athletics
1647,19250823,3,Philadelphia  Athletics
1648,19250824,-2,Philadelphia  Athletics
1810,19250508,2,Philadelphia  Athletics
1811,19250509,1,Philadelphia  Athletics
1812,19250511,1,Philadelphia  Athletics
1828,19250614,-3,Philadelphia  Athletics
1829,19250618,4,Philadelphia  Athletics
1843,19250708,-11,Philadelphia  Athletics
1844,19250708,2,Philadelphia  Athletics
1845,19250709,-2,Philadelphia  Athletics
1846,19250710,-5,Philadelphia  Athletics
1868,19250825,-1,Philadelphia  Athletics
1869,19250826,-7,Philadelphia  Athletics
1900,19250711,-1,Philadelphia  Athletics
1901,19250712,7,Philadelphia  Athletics
1902,19250713,3,Philadelphia  Athletics
1903,19250714,8,Philadelphia  Athletics
1912,19250828,-7,Philadelphia  Athletics
1913,19250829,-4,Philadelphia  Athletics
1914,19250830,-3,Philadelphia  Athletics
1991,19250504,1,Philadelphia  Athletics
1992,19250505,-4,Philadelphia  Athletics
1993,19250506,4,Philadelphia  Athletics
2016,19250702,3,Philadelphia  Athletics
2017,19250703,-1,Philadelphia  Athletics
2018,19250704,-1,Philadelphia  Athletics
2019,19250704,3,Philadelphia  Athletics
2036,19250905,-3,Philadelphia  Athletics
2037,19250906,-1,Philadelphia  Athletics
2051,19251003,-1,Philadelphia  Athletics
2287,19250520,2,Philadelphia  Athletics
2288,19250521,16,Philadelphia  Athletics
2289,19250523,-3,Philadelphia  Athletics
2309,19250718,-4,Philadelphia  Athletics
2310,19250719,4,Philadelphia  Athletics
2311,19250720,5,Philadelphia  Athletics
2312,19250721,-1,Philadelphia  Athletics
2316,19250818,-1,Philadelphia  Athletics
2317,19250819,-1,Philadelphia  Athletics
2318,19250820,-1,Philadelphia  Athletics
2377,19250531,-1,Philadelphia  Athletics
2388,19250628,-5,Philadelphia  Athletics
2389,19250629,-3,Philadelphia  Athletics
2390,19250630,-7,Philadelphia  Athletics
2402,19250901,-4,Philadelphia  Athletics
2403,19250902,-3,Philadelphia  Athletics
2404,19250913,0,Philadelphia  Athletics
2410,19270426,1,Philadelphia  Athletics
2411,19270427,3,Philadelphia  Athletics
2414,19270526,2,Philadelphia  Athletics
2415,19270528,2,Philadelphia  Athletics
2433,19270704,8,Philadelphia  Athletics
2434,19270704,-8,Philadelphia  Athletics
2435,19270705,-1,Philadelphia  Athletics
2436,19270706,4,Philadelphia  Athletics
2437,19270706,1,Philadelphia  Athletics
2594,19270519,-3,Philadelphia  Athletics
2595,19270520,7,Philadelphia  Athletics
2596,19270521,-2,Philadelphia  Athletics
2597,19270522,5,Philadelphia  Athletics
2614,19270712,-3,Philadelphia  Athletics
2615,19270713,2,Philadelphia  Athletics
2616,19270715,2,Philadelphia  Athletics
2617,19270715,3,Philadelphia  Athletics
2630,19270820,3,Philadelphia  Athletics
2631,19270822,-3,Philadelphia  Athletics
2799,19270507,-1,Philadelphia  Athletics
2800,19270508,-2,Philadelphia  Athletics
2801,19270509,-5,Philadelphia  Athletics
2840,19270721,5,Philadelphia  Athletics
2841,19270724,-3,Philadelphia  Athletics
