,game_dt,s,team_name
20,19210518,9,Pittsburgh  Pirates
21,19210519,2,Pittsburgh  Pirates
22,19210520,1,Pittsburgh  Pirates
23,19210521,7,Pittsburgh  Pirates
34,19210708,2,Pittsburgh  Pirates
35,19210709,2,Pittsburgh  Pirates
36,19210710,-4,Pittsburgh  Pirates
37,19210711,-1,Pittsburgh  Pirates
63,19210828,2,Pittsburgh  Pirates
64,19210829,-1,Pittsburgh  Pirates
65,19210830,6,Pittsburgh  Pirates
83,19210510,3,Pittsburgh  Pirates
84,19210511,-1,Pittsburgh  Pirates
85,19210512,2,Pittsburgh  Pirates
99,19210720,2,Pittsburgh  Pirates
100,19210722,-1,Pittsburgh  Pirates
101,19210722,1,Pittsburgh  Pirates
102,19210723,1,Pittsburgh  Pirates
103,19210723,-2,Pittsburgh  Pirates
112,19210820,2,Pittsburgh  Pirates
113,19210822,2,Pittsburgh  Pirates
114,19210823,-1,Pittsburgh  Pirates
120,19210418,-3,Pittsburgh  Pirates
121,19210419,12,Pittsburgh  Pirates
122,19210420,1,Pittsburgh  Pirates
123,19210501,2,Pittsburgh  Pirates
124,19210502,1,Pittsburgh  Pirates
145,19210626,8,Pittsburgh  Pirates
146,19210627,7,Pittsburgh  Pirates
147,19210628,-1,Pittsburgh  Pirates
148,19210628,-2,Pittsburgh  Pirates
149,19210629,2,Pittsburgh  Pirates
166,19210814,1,Pittsburgh  Pirates
180,19210413,-2,Pittsburgh  Pirates
181,19210414,5,Pittsburgh  Pirates
182,19210415,2,Pittsburgh  Pirates
183,19210416,4,Pittsburgh  Pirates
187,19210424,5,Pittsburgh  Pirates
191,19210508,-1,Pittsburgh  Pirates
192,19210529,-1,Pittsburgh  Pirates
209,19210622,3,Pittsburgh  Pirates
212,19210703,-6,Pittsburgh  Pirates
229,19210904,1,Pittsburgh  Pirates
232,19210911,-3,Pittsburgh  Pirates
267,19210522,2,Pittsburgh  Pirates
268,19210524,-2,Pittsburgh  Pirates
288,19210716,-9,Pittsburgh  Pirates
289,19210717,2,Pittsburgh  Pirates
290,19210718,-11,Pittsburgh  Pirates
291,19210719,9,Pittsburgh  Pirates
311,19210824,-8,Pittsburgh  Pirates
312,19210824,-7,Pittsburgh  Pirates
313,19210825,-3,Pittsburgh  Pirates
314,19210826,-1,Pittsburgh  Pirates
315,19210827,-2,Pittsburgh  Pirates
339,19210514,2,Pittsburgh  Pirates
340,19210516,-3,Pittsburgh  Pirates
341,19210517,2,Pittsburgh  Pirates
362,19210712,5,Pittsburgh  Pirates
363,19210714,1,Pittsburgh  Pirates
372,19210816,-1,Pittsburgh  Pirates
373,19210816,2,Pittsburgh  Pirates
374,19210818,1,Pittsburgh  Pirates
375,19210818,1,Pittsburgh  Pirates
376,19210819,11,Pittsburgh  Pirates
377,19210819,-3,Pittsburgh  Pirates
469,19210425,1,Pittsburgh  Pirates
470,19210427,3,Pittsburgh  Pirates
474,19210623,-1,Pittsburgh  Pirates
475,19210623,-1,Pittsburgh  Pirates
476,19210624,1,Pittsburgh  Pirates
477,19210625,-3,Pittsburgh  Pirates
478,19210625,3,Pittsburgh  Pirates
487,19210929,-1,Pittsburgh  Pirates
488,19210929,-2,Pittsburgh  Pirates
489,19210930,-8,Pittsburgh  Pirates
490,19211001,0,Pittsburgh  Pirates
491,19211002,1,Pittsburgh  Pirates
553,19220618,2,Pittsburgh  Pirates
554,19220619,-1,Pittsburgh  Pirates
555,19220621,-1,Pittsburgh  Pirates
557,19220716,-4,Pittsburgh  Pirates
558,19220725,2,Pittsburgh  Pirates
559,19220726,-7,Pittsburgh  Pirates
560,19220728,-1,Pittsburgh  Pirates
592,19220923,-4,Pittsburgh  Pirates
593,19220923,-4,Pittsburgh  Pirates
594,19220924,-2,Pittsburgh  Pirates
595,19220924,8,Pittsburgh  Pirates
609,19220609,-4,Pittsburgh  Pirates
610,19220610,8,Pittsburgh  Pirates
611,19220612,-9,Pittsburgh  Pirates
612,19220613,-3,Pittsburgh  Pirates
627,19220803,4,Pittsburgh  Pirates
628,19220804,3,Pittsburgh  Pirates
629,19220805,6,Pittsburgh  Pirates
637,19220913,7,Pittsburgh  Pirates
638,19220913,5,Pittsburgh  Pirates
639,19220914,8,Pittsburgh  Pirates
640,19220915,-3,Pittsburgh  Pirates
715,19220423,11,Pittsburgh  Pirates
716,19220424,-2,Pittsburgh  Pirates
717,19220426,-1,Pittsburgh  Pirates
721,19220507,6,Pittsburgh  Pirates
742,19220626,-2,Pittsburgh  Pirates
743,19220627,5,Pittsburgh  Pirates
