,game_dt,s,team_name
16,19210514,1,St.Louis  Cardinals
17,19210515,4,St.Louis  Cardinals
18,19210516,1,St.Louis  Cardinals
19,19210517,-2,St.Louis  Cardinals
46,19210720,3,St.Louis  Cardinals
47,19210721,-1,St.Louis  Cardinals
48,19210722,-1,St.Louis  Cardinals
49,19210723,-10,St.Louis  Cardinals
52,19210818,-6,St.Louis  Cardinals
53,19210818,-3,St.Louis  Cardinals
54,19210819,5,St.Louis  Cardinals
118,19210413,-3,St.Louis  Cardinals
119,19210415,-7,St.Louis  Cardinals
129,19210527,3,St.Louis  Cardinals
130,19210528,1,St.Louis  Cardinals
150,19210701,-2,St.Louis  Cardinals
151,19210702,1,St.Louis  Cardinals
184,19210418,-4,St.Louis  Cardinals
185,19210419,5,St.Louis  Cardinals
186,19210420,-1,St.Louis  Cardinals
193,19210530,5,St.Louis  Cardinals
194,19210530,3,St.Louis  Cardinals
195,19210531,-1,St.Louis  Cardinals
196,19210601,6,St.Louis  Cardinals
197,19210602,-3,St.Louis  Cardinals
226,19210814,-4,St.Louis  Cardinals
230,19210909,-7,St.Louis  Cardinals
231,19210910,-4,St.Louis  Cardinals
255,19210510,1,St.Louis  Cardinals
256,19210511,-3,St.Louis  Cardinals
257,19210512,-2,St.Louis  Cardinals
258,19210513,-4,St.Louis  Cardinals
285,19210712,-6,St.Louis  Cardinals
286,19210713,-5,St.Louis  Cardinals
287,19210714,-1,St.Louis  Cardinals
307,19210820,9,St.Louis  Cardinals
308,19210821,-3,St.Louis  Cardinals
309,19210822,6,St.Louis  Cardinals
310,19210823,3,St.Louis  Cardinals
342,19210518,-1,St.Louis  Cardinals
343,19210520,-1,St.Louis  Cardinals
344,19210521,10,St.Louis  Cardinals
359,19210707,13,St.Louis  Cardinals
360,19210708,-5,St.Louis  Cardinals
361,19210709,6,St.Louis  Cardinals
386,19210830,-1,St.Louis  Cardinals
396,19210505,-5,St.Louis  Cardinals
397,19210506,-4,St.Louis  Cardinals
398,19210507,-1,St.Louis  Cardinals
425,19210704,-3,St.Louis  Cardinals
426,19210704,3,St.Louis  Cardinals
427,19210705,6,St.Louis  Cardinals
428,19210706,-1,St.Louis  Cardinals
446,19210901,6,St.Louis  Cardinals
447,19210901,8,St.Louis  Cardinals
448,19210902,1,St.Louis  Cardinals
549,19220614,-4,St.Louis  Cardinals
550,19220615,1,St.Louis  Cardinals
551,19220616,-10,St.Louis  Cardinals
552,19220617,6,St.Louis  Cardinals
561,19220729,-7,St.Louis  Cardinals
562,19220730,1,St.Louis  Cardinals
563,19220731,4,St.Louis  Cardinals
588,19220920,-5,St.Louis  Cardinals
589,19220920,6,St.Louis  Cardinals
590,19220921,-2,St.Louis  Cardinals
591,19220922,3,St.Louis  Cardinals
605,19220605,-6,St.Louis  Cardinals
606,19220606,-5,St.Louis  Cardinals
607,19220607,-3,St.Louis  Cardinals
608,19220608,4,St.Louis  Cardinals
630,19220809,-5,St.Louis  Cardinals
641,19220916,2,St.Louis  Cardinals
718,19220427,-2,St.Louis  Cardinals
719,19220428,8,St.Louis  Cardinals
720,19220429,-1,St.Louis  Cardinals
735,19220529,1,St.Louis  Cardinals
736,19220530,-3,St.Louis  Cardinals
737,19220530,-2,St.Louis  Cardinals
780,19220929,-3,St.Louis  Cardinals
781,19220930,1,St.Louis  Cardinals
782,19220930,2,St.Louis  Cardinals
783,19221001,6,St.Louis  Cardinals
790,19220423,3,St.Louis  Cardinals
791,19220424,2,St.Louis  Cardinals
792,19220426,-3,St.Louis  Cardinals
817,19220702,5,St.Louis  Cardinals
818,19220702,1,St.Louis  Cardinals
851,19220903,6,St.Louis  Cardinals
855,19220906,-3,St.Louis  Cardinals
856,19220907,-4,St.Louis  Cardinals
857,19220908,5,St.Louis  Cardinals
858,19220909,2,St.Louis  Cardinals
859,19220910,-5,St.Louis  Cardinals
988,19220618,2,St.Louis  Cardinals
989,19220619,1,St.Louis  Cardinals
999,19220725,-1,St.Louis  Cardinals
1000,19220726,-5,St.Louis  Cardinals
1001,19220727,-5,St.Louis  Cardinals
1002,19220728,-4,St.Louis  Cardinals
1003,19220728,1,St.Louis  Cardinals
1032,19220923,-2,St.Louis  Cardinals
1033,19220924,4,St.Louis  Cardinals
