,game_dt,s,team_name
42865,19660527,2,Atlanta  Braves
42866,19660528,-3,Atlanta  Braves
42867,19660529,-1,Atlanta  Braves
42897,19660802,-1,Atlanta  Braves
42898,19660803,2,Atlanta  Braves
42899,19660804,-3,Atlanta  Braves
42916,19660913,8,Atlanta  Braves
42917,19660914,2,Atlanta  Braves
42918,19660915,-6,Atlanta  Braves
42941,19660523,2,Atlanta  Braves
42942,19660524,-6,Atlanta  Braves
42943,19660525,-4,Atlanta  Braves
42973,19660722,-6,Atlanta  Braves
42974,19660724,-1,Atlanta  Braves
42975,19660724,1,Atlanta  Braves
43006,19661001,-6,Atlanta  Braves
43007,19661001,3,Atlanta  Braves
43008,19661002,2,Atlanta  Braves
43184,19660506,6,Atlanta  Braves
43185,19660507,-3,Atlanta  Braves
43186,19660508,-1,Atlanta  Braves
43215,19660704,1,Atlanta  Braves
43216,19660705,5,Atlanta  Braves
43217,19660706,7,Atlanta  Braves
43230,19660815,2,Atlanta  Braves
43231,19660816,2,Atlanta  Braves
43232,19660817,5,Atlanta  Braves
43341,19660427,-3,Atlanta  Braves
43342,19660428,-6,Atlanta  Braves
43371,19660707,-1,Atlanta  Braves
43372,19660708,-1,Atlanta  Braves
43373,19660709,3,Atlanta  Braves
43374,19660710,2,Atlanta  Braves
43395,19660822,-1,Atlanta  Braves
43396,19660823,-1,Atlanta  Braves
43397,19660824,-1,Atlanta  Braves
43577,19660415,1,Atlanta  Braves
43578,19660416,-2,Atlanta  Braves
43579,19660417,-1,Atlanta  Braves
43602,19660607,5,Atlanta  Braves
43603,19660608,1,Atlanta  Braves
43604,19660609,4,Atlanta  Braves
43650,19660909,5,Atlanta  Braves
43651,19660910,1,Atlanta  Braves
43652,19660911,5,Atlanta  Braves
43662,19660419,2,Atlanta  Braves
43663,19660420,7,Atlanta  Braves
43664,19660421,1,Atlanta  Braves
43689,19660613,-4,Atlanta  Braves
43690,19660613,-2,Atlanta  Braves
43691,19660614,5,Atlanta  Braves
43714,19660805,7,Atlanta  Braves
43715,19660806,-1,Atlanta  Braves
43716,19660807,3,Atlanta  Braves
43765,19660611,-2,Atlanta  Braves
43766,19660612,-3,Atlanta  Braves
43808,19660905,-8,Atlanta  Braves
43809,19660905,2,Atlanta  Braves
43810,19660906,3,Atlanta  Braves
43811,19660907,5,Atlanta  Braves
43824,19660425,5,Atlanta  Braves
43825,19660426,8,Atlanta  Braves
43851,19660630,-2,Atlanta  Braves
43852,19660701,-4,Atlanta  Braves
43853,19660702,2,Atlanta  Braves
43854,19660703,14,Atlanta  Braves
43877,19660819,3,Atlanta  Braves
43878,19660820,-5,Atlanta  Braves
43879,19660821,-5,Atlanta  Braves
43909,19660512,-1,Atlanta  Braves
43910,19660513,-8,Atlanta  Braves
43911,19660514,3,Atlanta  Braves
43912,19660515,-2,Atlanta  Braves
43941,19660719,-1,Atlanta  Braves
43942,19660720,-3,Atlanta  Braves
43943,19660721,-3,Atlanta  Braves
43962,19660831,3,Atlanta  Braves
43963,19660901,-3,Atlanta  Braves
44481,19670530,-7,Atlanta  Braves
44482,19670530,3,Atlanta  Braves
44501,19670718,-6,Atlanta  Braves
44502,19670719,-5,Atlanta  Braves
44503,19670720,1,Atlanta  Braves
44512,19670803,7,Atlanta  Braves
44513,19670804,3,Atlanta  Braves
44514,19670805,1,Atlanta  Braves
44515,19670806,2,Atlanta  Braves
44567,19670602,-1,Atlanta  Braves
44568,19670603,-1,Atlanta  Braves
44569,19670604,-1,Atlanta  Braves
44597,19670731,3,Atlanta  Braves
44598,19670801,-2,Atlanta  Braves
44599,19670802,-4,Atlanta  Braves
44619,19670926,1,Atlanta  Braves
44620,19670928,-8,Atlanta  Braves
44621,19670928,-8,Atlanta  Braves
44788,19670411,-5,Atlanta  Braves
44789,19670412,-2,Atlanta  Braves
44820,19670616,1,Atlanta  Braves
44821,19670617,2,Atlanta  Braves
44822,19670617,-1,Atlanta  Braves
44823,19670618,-2,Atlanta  Braves
44851,19670822,-3,Atlanta  Braves
44852,19670823,6,Atlanta  Braves
44853,19670824,-1,Atlanta  Braves
44957,19670425,6,Atlanta  Braves
44958,19670426,-1,Atlanta  Braves
44959,19670427,-6,Atlanta  Braves
44980,19670619,-1,Atlanta  Braves
44981,19670620,-1,Atlanta  Braves
45002,19670818,-4,Atlanta  Braves
45003,19670819,-4,Atlanta  Braves
45004,19670820,-5,Atlanta  Braves
45005,19670821,-2,Atlanta  Braves
45215,19670526,-1,Atlanta  Braves
45216,19670527,-1,Atlanta  Braves
45217,19670528,-3,Atlanta  Braves
45218,19670528,4,Atlanta  Braves
45237,19670707,1,Atlanta  Braves
45238,19670708,-1,Atlanta  Braves
45239,19670709,-1,Atlanta  Braves
45250,19670808,-1,Atlanta  Braves
45251,19670809,-4,Atlanta  Braves
45282,19670509,-1,Atlanta  Braves
45283,19670510,-1,Atlanta  Braves
45284,19670510,5,Atlanta  Braves
45298,19670612,-3,Atlanta  Braves
45299,19670613,1,Atlanta  Braves
45300,19670614,9,Atlanta  Braves
45344,19670908,-3,Atlanta  Braves
45345,19670909,-1,Atlanta  Braves
45346,19670910,-5,Atlanta  Braves
45368,19670512,-3,Atlanta  Braves
45369,19670513,-1,Atlanta  Braves
45370,19670514,-3,Atlanta  Braves
45388,19670630,-2,Atlanta  Braves
45417,19670906,3,Atlanta  Braves
45418,19670907,-2,Atlanta  Braves
45429,19670422,-1,Atlanta  Braves
45456,19670621,7,Atlanta  Braves
45457,19670622,1,Atlanta  Braves
45458,19670622,2,Atlanta  Braves
45484,19670825,4,Atlanta  Braves
45485,19670826,-2,Atlanta  Braves
45486,19670826,-1,Atlanta  Braves
45487,19670827,-2,Atlanta  Braves
45488,19670827,3,Atlanta  Braves
45521,19670601,-1,Atlanta  Braves
45552,19670721,3,Atlanta  Braves
45553,19670722,1,Atlanta  Braves
45554,19670723,-2,Atlanta  Braves
45555,19670723,-5,Atlanta  Braves
45585,19670921,2,Atlanta  Braves
45586,19670922,-1,Atlanta  Braves
45587,19670923,1,Atlanta  Braves
45588,19670924,-1,Atlanta  Braves
46070,19680423,-6,Atlanta  Braves
46071,19680425,-3,Atlanta  Braves
