,game_dt,s,team_name
26180,19540608,3,Baltimore  Orioles
26181,19540609,-1,Baltimore  Orioles
26182,19540610,4,Baltimore  Orioles
26183,19540610,9,Baltimore  Orioles
26199,19540718,-4,Baltimore  Orioles
26200,19540718,3,Baltimore  Orioles
26201,19540719,-2,Baltimore  Orioles
26202,19540719,-3,Baltimore  Orioles
26221,19540826,2,Baltimore  Orioles
26222,19540827,-1,Baltimore  Orioles
26223,19540828,-1,Baltimore  Orioles
26315,19540423,2,Baltimore  Orioles
26316,19540424,-10,Baltimore  Orioles
26317,19540425,-1,Baltimore  Orioles
26318,19540425,-1,Baltimore  Orioles
26350,19540705,-3,Baltimore  Orioles
26351,19540705,-1,Baltimore  Orioles
26370,19540810,2,Baltimore  Orioles
26371,19540811,-1,Baltimore  Orioles
26388,19540917,4,Baltimore  Orioles
26389,19540918,-4,Baltimore  Orioles
26390,19540919,4,Baltimore  Orioles
26548,19540521,-1,Baltimore  Orioles
26549,19540522,-1,Baltimore  Orioles
26550,19540523,-11,Baltimore  Orioles
26551,19540523,-1,Baltimore  Orioles
26574,19540706,-8,Baltimore  Orioles
26575,19540707,-5,Baltimore  Orioles
26576,19540708,-3,Baltimore  Orioles
26591,19540813,-5,Baltimore  Orioles
26592,19540814,-1,Baltimore  Orioles
26593,19540815,-3,Baltimore  Orioles
26594,19540815,-2,Baltimore  Orioles
26612,19540413,-3,Baltimore  Orioles
26613,19540414,1,Baltimore  Orioles
26632,19540525,-1,Baltimore  Orioles
26633,19540526,-3,Baltimore  Orioles
26634,19540527,-6,Baltimore  Orioles
26651,19540709,2,Baltimore  Orioles
26652,19540710,-1,Baltimore  Orioles
26653,19540711,-1,Baltimore  Orioles
26675,19540903,-1,Baltimore  Orioles
26676,19540904,-3,Baltimore  Orioles
26677,19540905,1,Baltimore  Orioles
26846,19540505,-2,Baltimore  Orioles
26847,19540506,-9,Baltimore  Orioles
26861,19540605,1,Baltimore  Orioles
26862,19540605,-2,Baltimore  Orioles
26863,19540606,2,Baltimore  Orioles
26864,19540606,-3,Baltimore  Orioles
26878,19540715,-2,Baltimore  Orioles
26879,19540716,-1,Baltimore  Orioles
26880,19540717,-6,Baltimore  Orioles
26897,19540824,-7,Baltimore  Orioles
26898,19540825,-4,Baltimore  Orioles
26918,19540430,-4,Baltimore  Orioles
26919,19540501,-1,Baltimore  Orioles
26932,19540602,8,Baltimore  Orioles
26933,19540603,-4,Baltimore  Orioles
26934,19540604,-1,Baltimore  Orioles
26962,19540723,2,Baltimore  Orioles
26963,19540724,-1,Baltimore  Orioles
26964,19540725,-5,Baltimore  Orioles
26965,19540725,-2,Baltimore  Orioles
26981,19540831,-3,Baltimore  Orioles
27188,19540429,1,Baltimore  Orioles
27211,19540611,-1,Baltimore  Orioles
27212,19540612,4,Baltimore  Orioles
27213,19540613,2,Baltimore  Orioles
27214,19540613,-4,Baltimore  Orioles
27227,19540720,-8,Baltimore  Orioles
27228,19540721,-1,Baltimore  Orioles
27229,19540722,-1,Baltimore  Orioles
27244,19540829,4,Baltimore  Orioles
27245,19540829,5,Baltimore  Orioles
27246,19540830,2,Baltimore  Orioles
27340,19550416,-1,Baltimore  Orioles
27341,19550417,-9,Baltimore  Orioles
27342,19550417,-3,Baltimore  Orioles
27358,19550530,2,Baltimore  Orioles
27359,19550530,-7,Baltimore  Orioles
27376,19550708,6,Baltimore  Orioles
27377,19550709,-1,Baltimore  Orioles
27378,19550710,-3,Baltimore  Orioles
27409,19550920,1,Baltimore  Orioles
27410,19550920,3,Baltimore  Orioles
27411,19550921,1,Baltimore  Orioles
27502,19550501,1,Baltimore  Orioles
27503,19550501,-3,Baltimore  Orioles
27522,19550608,1,Baltimore  Orioles
27536,19550716,-1,Baltimore  Orioles
27537,19550717,-1,Baltimore  Orioles
27538,19550717,-1,Baltimore  Orioles
27539,19550718,3,Baltimore  Orioles
27554,19550823,-4,Baltimore  Orioles
27555,19550823,7,Baltimore  Orioles
27556,19550824,-13,Baltimore  Orioles
27557,19550824,1,Baltimore  Orioles
27725,19550429,3,Baltimore  Orioles
27726,19550430,-3,Baltimore  Orioles
27739,19550531,-1,Baltimore  Orioles
27740,19550601,-5,Baltimore  Orioles
27741,19550602,-6,Baltimore  Orioles
27768,19550722,-2,Baltimore  Orioles
27769,19550723,-1,Baltimore  Orioles
27770,19550724,-4,Baltimore  Orioles
27771,19550724,-3,Baltimore  Orioles
27785,19550830,-3,Baltimore  Orioles
27786,19550831,-4,Baltimore  Orioles
27801,19550426,-1,Baltimore  Orioles
27802,19550427,-8,Baltimore  Orioles
27821,19550603,-5,Baltimore  Orioles
27822,19550604,-3,Baltimore  Orioles
27823,19550605,-10,Baltimore  Orioles
27824,19550605,1,Baltimore  Orioles
