,game_dt,s,team_name
493,19220512,-5,Chicago  White Sox
494,19220513,-2,Chicago  White Sox
495,19220515,-2,Chicago  White Sox
515,19220719,8,Chicago  White Sox
516,19220720,-1,Chicago  White Sox
517,19220721,-1,Chicago  White Sox
518,19220722,3,Chicago  White Sox
519,19220815,8,Chicago  White Sox
520,19220816,-2,Chicago  White Sox
521,19220817,-1,Chicago  White Sox
522,19220817,-4,Chicago  White Sox
869,19220424,-1,Chicago  White Sox
870,19220426,4,Chicago  White Sox
871,19220427,0,Chicago  White Sox
874,19220529,-3,Chicago  White Sox
875,19220530,4,Chicago  White Sox
876,19220530,1,Chicago  White Sox
877,19220531,4,Chicago  White Sox
898,19220723,4,Chicago  White Sox
899,19220724,-3,Chicago  White Sox
923,19220901,2,Chicago  White Sox
924,19220902,-2,Chicago  White Sox
925,19220903,-5,Chicago  White Sox
939,19220428,3,Chicago  White Sox
940,19220429,4,Chicago  White Sox
941,19220501,1,Chicago  White Sox
945,19220506,-7,Chicago  White Sox
946,19220507,2,Chicago  White Sox
955,19220627,4,Chicago  White Sox
956,19220628,3,Chicago  White Sox
963,19220830,1,Chicago  White Sox
964,19220831,9,Chicago  White Sox
1049,19220508,-2,Chicago  White Sox
1050,19220509,-1,Chicago  White Sox
1051,19220510,1,Chicago  White Sox
1052,19220511,-3,Chicago  White Sox
1081,19220715,1,Chicago  White Sox
1082,19220716,4,Chicago  White Sox
1083,19220717,1,Chicago  White Sox
1084,19220718,-10,Chicago  White Sox
1094,19220818,-1,Chicago  White Sox
1095,19220819,-7,Chicago  White Sox
1096,19220820,-2,Chicago  White Sox
1126,19220516,-3,Chicago  White Sox
1127,19220517,-2,Chicago  White Sox
1128,19220519,3,Chicago  White Sox
1142,19220706,4,Chicago  White Sox
1143,19220707,-3,Chicago  White Sox
1144,19220708,3,Chicago  White Sox
1145,19220708,-1,Chicago  White Sox
1146,19220710,-3,Chicago  White Sox
1167,19220826,8,Chicago  White Sox
1168,19220828,2,Chicago  White Sox
1169,19220828,-5,Chicago  White Sox
1319,19220420,2,Chicago  White Sox
1320,19220421,5,Chicago  White Sox
1321,19220422,-3,Chicago  White Sox
1327,19220601,-1,Chicago  White Sox
1328,19220602,-8,Chicago  White Sox
1329,19220603,1,Chicago  White Sox
1330,19220604,-1,Chicago  White Sox
1345,19220929,-1,Chicago  White Sox
1346,19220930,-4,Chicago  White Sox
1347,19221001,-1,Chicago  White Sox
1387,19220520,-1,Chicago  White Sox
1388,19220521,-7,Chicago  White Sox
1389,19220523,-1,Chicago  White Sox
1397,19220711,-1,Chicago  White Sox
1398,19220712,3,Chicago  White Sox
1399,19220714,-4,Chicago  White Sox
1406,19220822,-2,Chicago  White Sox
1422,19250615,-8,Chicago  White Sox
1423,19250616,-1,Chicago  White Sox
1424,19250617,2,Chicago  White Sox
1425,19250617,-1,Chicago  White Sox
1426,19250618,4,Chicago  White Sox
1438,19250806,10,Chicago  White Sox
1439,19250807,2,Chicago  White Sox
1440,19250808,-1,Chicago  White Sox
1441,19250808,-3,Chicago  White Sox
1454,19250926,6,Chicago  White Sox
1808,19250505,5,Chicago  White Sox
1809,19250507,-2,Chicago  White Sox
1837,19250703,5,Chicago  White Sox
1838,19250704,9,Chicago  White Sox
1839,19250704,-1,Chicago  White Sox
1840,19250705,1,Chicago  White Sox
1841,19250706,-2,Chicago  White Sox
1842,19250706,-1,Chicago  White Sox
1875,19250907,-1,Chicago  White Sox
1876,19250907,5,Chicago  White Sox
1877,19250908,-2,Chicago  White Sox
1878,19250414,-1,Chicago  White Sox
1879,19250415,3,Chicago  White Sox
1880,19250416,2,Chicago  White Sox
1881,19250417,-6,Chicago  White Sox
1894,19250601,-2,Chicago  White Sox
