,game_dt,s,team_name
27265,19550510,-10,Kansas City  Athletics
27266,19550511,2,Kansas City  Athletics
27288,19550624,2,Kansas City  Athletics
27289,19550625,0,Kansas City  Athletics
27290,19550626,1,Kansas City  Athletics
27291,19550626,3,Kansas City  Athletics
27306,19550802,-4,Kansas City  Athletics
27307,19550803,-1,Kansas City  Athletics
27308,19550803,4,Kansas City  Athletics
27309,19550804,-7,Kansas City  Athletics
27328,19550911,1,Kansas City  Athletics
27329,19550911,-2,Kansas City  Athletics
27348,19550512,-5,Kansas City  Athletics
27349,19550513,-1,Kansas City  Athletics
27350,19550514,-2,Kansas City  Athletics
27360,19550614,-8,Kansas City  Athletics
27361,19550615,-3,Kansas City  Athletics
27362,19550616,-1,Kansas City  Athletics
27389,19550805,3,Kansas City  Athletics
27390,19550806,1,Kansas City  Athletics
27391,19550807,-4,Kansas City  Athletics
27406,19550913,1,Kansas City  Athletics
27407,19550913,-1,Kansas City  Athletics
27408,19550914,4,Kansas City  Athletics
27493,19550414,-6,Kansas City  Athletics
27510,19550520,1,Kansas City  Athletics
27511,19550521,-3,Kansas City  Athletics
27512,19550522,5,Kansas City  Athletics
27513,19550522,-4,Kansas City  Athletics
27547,19550816,-1,Kansas City  Athletics
27548,19550818,-4,Kansas City  Athletics
27549,19550818,2,Kansas City  Athletics
27567,19550923,-8,Kansas City  Athletics
27568,19550924,-4,Kansas City  Athletics
27569,19550925,-5,Kansas City  Athletics
27732,19550506,-3,Kansas City  Athletics
27733,19550507,-6,Kansas City  Athletics
27734,19550508,-3,Kansas City  Athletics
27735,19550508,-1,Kansas City  Athletics
27753,19550628,-2,Kansas City  Athletics
27754,19550629,8,Kansas City  Athletics
27775,19550819,-1,Kansas City  Athletics
27776,19550820,-2,Kansas City  Athletics
27777,19550821,-5,Kansas City  Athletics
27791,19550905,1,Kansas City  Athletics
27792,19550905,-7,Kansas City  Athletics
27798,19550416,-5,Kansas City  Athletics
27799,19550417,-16,Kansas City  Athletics
27817,19550530,2,Kansas City  Athletics
27818,19550530,1,Kansas City  Athletics
27833,19550708,-3,Kansas City  Athletics
27834,19550709,1,Kansas City  Athletics
27835,19550710,4,Kansas City  Athletics
27836,19550710,-9,Kansas City  Athletics
27867,19550919,-4,Kansas City  Athletics
27868,19550920,-4,Kansas City  Athletics
27869,19550921,-9,Kansas City  Athletics
28096,19550515,1,Kansas City  Athletics
28097,19550515,-4,Kansas City  Athletics
28115,19550621,-4,Kansas City  Athletics
28116,19550622,-5,Kansas City  Athletics
28117,19550623,-4,Kansas City  Athletics
28132,19550729,-1,Kansas City  Athletics
28133,19550730,10,Kansas City  Athletics
28134,19550731,-3,Kansas City  Athletics
28135,19550731,6,Kansas City  Athletics
28152,19550907,-1,Kansas City  Athletics
28153,19550908,-13,Kansas City  Athletics
28382,19550517,1,Kansas City  Athletics
28383,19550518,-5,Kansas City  Athletics
28392,19550617,2,Kansas City  Athletics
28393,19550618,5,Kansas City  Athletics
28409,19550726,-6,Kansas City  Athletics
28410,19550726,2,Kansas City  Athletics
28411,19550727,2,Kansas City  Athletics
28412,19550727,3,Kansas City  Athletics
28429,19550909,-1,Kansas City  Athletics
28430,19550909,1,Kansas City  Athletics
28431,19550910,2,Kansas City  Athletics
28458,19560508,-3,Kansas City  Athletics
28459,19560509,4,Kansas City  Athletics
28474,19560608,-3,Kansas City  Athletics
28475,19560609,-3,Kansas City  Athletics
28476,19560609,-2,Kansas City  Athletics
28477,19560610,4,Kansas City  Athletics
28485,19560712,-4,Kansas City  Athletics
28486,19560713,1,Kansas City  Athletics
28487,19560714,-1,Kansas City  Athletics
28503,19560821,-1,Kansas City  Athletics
28504,19560822,5,Kansas City  Athletics
28528,19560501,1,Kansas City  Athletics
28529,19560502,-2,Kansas City  Athletics
28541,19560601,-5,Kansas City  Athletics
28542,19560602,8,Kansas City  Athletics
28543,19560603,1,Kansas City  Athletics
28567,19560717,-10,Kansas City  Athletics
28568,19560717,-1,Kansas City  Athletics
28569,19560718,-3,Kansas City  Athletics
28570,19560719,4,Kansas City  Athletics
28587,19560826,-1,Kansas City  Athletics
28588,19560826,1,Kansas City  Athletics
28679,19560427,-2,Kansas City  Athletics
28705,19560704,-3,Kansas City  Athletics
28706,19560704,1,Kansas City  Athletics
28711,19560723,1,Kansas City  Athletics
28726,19560807,-1,Kansas City  Athletics
28727,19560807,-1,Kansas City  Athletics
28749,19560921,-2,Kansas City  Athletics
28750,19560921,1,Kansas City  Athletics
28751,19560922,-14,Kansas City  Athletics
28752,19560923,1,Kansas City  Athletics
28753,19560923,-4,Kansas City  Athletics
28910,19560511,-3,Kansas City  Athletics
28911,19560512,-2,Kansas City  Athletics
28912,19560513,3,Kansas City  Athletics
28914,19560513,-5,Kansas City  Athletics
28942,19560703,-6,Kansas City  Athletics
28960,19560817,6,Kansas City  Athletics
28961,19560818,-7,Kansas City  Athletics
28962,19560819,-3,Kansas City  Athletics
28963,19560819,-1,Kansas City  Athletics
28979,19560925,-3,Kansas City  Athletics
28980,19560926,-4,Kansas City  Athletics
28984,19560417,1,Kansas City  Athletics
28985,19560419,3,Kansas City  Athletics
29001,19560525,3,Kansas City  Athletics
29002,19560526,-6,Kansas City  Athletics
29003,19560527,-6,Kansas City  Athletics
29004,19560527,5,Kansas City  Athletics
29039,19560808,-1,Kansas City  Athletics
29040,19560809,2,Kansas City  Athletics
29044,19560831,-5,Kansas City  Athletics
29045,19560901,-5,Kansas City  Athletics
29046,19560902,-2,Kansas City  Athletics
29280,19560503,1,Kansas City  Athletics
29281,19560504,-4,Kansas City  Athletics
29282,19560505,-3,Kansas City  Athletics
29300,19560605,3,Kansas City  Athletics
29301,19560606,-5,Kansas City  Athletics
29302,19560607,-8,Kansas City  Athletics
29323,19560720,-4,Kansas City  Athletics
29324,19560722,3,Kansas City  Athletics
29325,19560722,-9,Kansas City  Athletics
29341,19560828,-4,Kansas City  Athletics
29342,19560829,-1,Kansas City  Athletics
29573,19560506,3,Kansas City  Athletics
29574,19560506,10,Kansas City  Athletics
29593,19560611,-1,Kansas City  Athletics
29594,19560611,3,Kansas City  Athletics
29595,19560612,6,Kansas City  Athletics
29596,19560613,9,Kansas City  Athletics
29606,19560715,8,Kansas City  Athletics
29607,19560715,-4,Kansas City  Athletics
29620,19560823,-2,Kansas City  Athletics
29621,19560824,4,Kansas City  Athletics
29622,19560825,-4,Kansas City  Athletics
29651,19570519,-8,Kansas City  Athletics
29652,19570519,0,Kansas City  Athletics
29653,19570520,-2,Kansas City  Athletics
29667,19570625,-5,Kansas City  Athletics
29668,19570626,-1,Kansas City  Athletics
29687,19570802,-1,Kansas City  Athletics
29688,19570802,-8,Kansas City  Athletics
29689,19570803,-1,Kansas City  Athletics
29690,19570804,-5,Kansas City  Athletics
29705,19570911,4,Kansas City  Athletics
29706,19570911,-4,Kansas City  Athletics
29727,19570517,-1,Kansas City  Athletics
29728,19570518,2,Kansas City  Athletics
29740,19570622,-4,Kansas City  Athletics
29741,19570623,-4,Kansas City  Athletics
29742,19570623,-9,Kansas City  Athletics
29755,19570724,-1,Kansas City  Athletics
29785,19570917,-1,Kansas City  Athletics
29786,19570918,1,Kansas City  Athletics
29867,19570418,-4,Kansas City  Athletics
29868,19570420,-4,Kansas City  Athletics
29869,19570421,-1,Kansas City  Athletics
29882,19570527,6,Kansas City  Athletics
29883,19570528,-2,Kansas City  Athletics
29919,19570806,1,Kansas City  Athletics
29920,19570807,-7,Kansas City  Athletics
29921,19570808,-3,Kansas City  Athletics
29936,19570906,-1,Kansas City  Athletics
29937,19570907,-6,Kansas City  Athletics
29938,19570908,1,Kansas City  Athletics
30108,19570510,-3,Kansas City  Athletics
30109,19570511,-1,Kansas City  Athletics
30110,19570512,7,Kansas City  Athletics
30111,19570512,-3,Kansas City  Athletics
30130,19570701,7,Kansas City  Athletics
30147,19570809,1,Kansas City  Athletics
30148,19570810,3,Kansas City  Athletics
30149,19570811,7,Kansas City  Athletics
30150,19570811,1,Kansas City  Athletics
30167,19570902,-8,Kansas City  Athletics
30168,19570902,-3,Kansas City  Athletics
30176,19570422,4,Kansas City  Athletics
30177,19570423,1,Kansas City  Athletics
30192,19570529,-1,Kansas City  Athletics
30193,19570530,-1,Kansas City  Athletics
30194,19570530,-1,Kansas City  Athletics
30210,19570705,-4,Kansas City  Athletics
30211,19570706,2,Kansas City  Athletics
30212,19570707,-3,Kansas City  Athletics
30247,19570927,2,Kansas City  Athletics
30248,19570928,2,Kansas City  Athletics
30249,19570929,-3,Kansas City  Athletics
30476,19570515,-3,Kansas City  Athletics
30477,19570516,-3,Kansas City  Athletics
30501,19570628,-1,Kansas City  Athletics
30502,19570629,-1,Kansas City  Athletics
30503,19570630,-1,Kansas City  Athletics
30504,19570630,-4,Kansas City  Athletics
30515,19570730,-6,Kansas City  Athletics
30516,19570731,-2,Kansas City  Athletics
