,game_dt,s,team_name
47372,19690509,2,Kansas City  Royals
47373,19690510,-1,Kansas City  Royals
47374,19690511,-5,Kansas City  Royals
47409,19690805,-2,Kansas City  Royals
47410,19690806,-1,Kansas City  Royals
47411,19690807,-8,Kansas City  Royals
47461,19690606,-2,Kansas City  Royals
47462,19690607,-4,Kansas City  Royals
47463,19690608,-6,Kansas City  Royals
47498,19690826,-3,Kansas City  Royals
47499,19690827,-1,Kansas City  Royals
47500,19690828,-1,Kansas City  Royals
47526,19690502,5,Kansas City  Royals
47527,19690502,1,Kansas City  Royals
47528,19690503,-1,Kansas City  Royals
47529,19690504,14,Kansas City  Royals
47558,19690714,-2,Kansas City  Royals
47559,19690715,-3,Kansas City  Royals
47560,19690716,-2,Kansas City  Royals
47591,19690910,-7,Kansas City  Royals
47592,19690911,3,Kansas City  Royals
47599,19690416,-3,Kansas City  Royals
47643,19690718,-5,Kansas City  Royals
47644,19690719,-1,Kansas City  Royals
47645,19690720,2,Kansas City  Royals
47646,19690720,1,Kansas City  Royals
47676,19690925,-1,Kansas City  Royals
47677,19690926,2,Kansas City  Royals
47678,19690927,-5,Kansas City  Royals
47679,19690928,7,Kansas City  Royals
47859,19690520,-3,Kansas City  Royals
47860,19690521,4,Kansas City  Royals
47861,19690522,-3,Kansas City  Royals
47903,19690808,-3,Kansas City  Royals
47904,19690809,10,Kansas City  Royals
47905,19690810,-7,Kansas City  Royals
47936,19690506,1,Kansas City  Royals
47937,19690507,-4,Kansas City  Royals
47970,19690724,-2,Kansas City  Royals
47971,19690725,-3,Kansas City  Royals
47972,19690726,-10,Kansas City  Royals
47973,19690727,5,Kansas City  Royals
48256,19690428,-4,Kansas City  Royals
48257,19690429,-8,Kansas City  Royals
48286,19690707,-1,Kansas City  Royals
48287,19690708,-1,Kansas City  Royals
48288,19690709,1,Kansas City  Royals
48289,19690710,-1,Kansas City  Royals
48317,19690912,-3,Kansas City  Royals
48318,19690913,1,Kansas City  Royals
48319,19690914,1,Kansas City  Royals
48438,19690609,6,Kansas City  Royals
48439,19690610,1,Kansas City  Royals
48440,19690611,-1,Kansas City  Royals
48472,19690829,-5,Kansas City  Royals
48473,19690830,2,Kansas City  Royals
48474,19690831,-2,Kansas City  Royals
48575,19690411,-5,Kansas City  Royals
48576,19690412,6,Kansas City  Royals
48577,19690413,3,Kansas City  Royals
48578,19690413,-3,Kansas City  Royals
48605,19690624,1,Kansas City  Royals
48606,19690625,-2,Kansas City  Royals
48607,19690626,-1,Kansas City  Royals
48643,19690908,4,Kansas City  Royals
48644,19690909,1,Kansas City  Royals
48900,19690414,1,Kansas City  Royals
48922,19690620,-2,Kansas City  Royals
48923,19690620,4,Kansas City  Royals
48924,19690621,-1,Kansas City  Royals
48925,19690622,-4,Kansas City  Royals
48961,19690904,2,Kansas City  Royals
48962,19690905,-1,Kansas City  Royals
48963,19690906,4,Kansas City  Royals
48964,19690907,-1,Kansas City  Royals
49158,19690523,1,Kansas City  Royals
49159,19690524,1,Kansas City  Royals
49160,19690525,1,Kansas City  Royals
49194,19690811,-1,Kansas City  Royals
49195,19690812,3,Kansas City  Royals
49196,19690813,4,Kansas City  Royals
49314,19700505,-4,Kansas City  Royals
49315,19700506,-2,Kansas City  Royals
49316,19700507,-1,Kansas City  Royals
49354,19700731,-2,Kansas City  Royals
49355,19700801,-8,Kansas City  Royals
49356,19700802,-2,Kansas City  Royals
49409,19700605,-2,Kansas City  Royals
49410,19700607,-3,Kansas City  Royals
49411,19700607,-3,Kansas City  Royals
49438,19700812,-3,Kansas City  Royals
49439,19700812,1,Kansas City  Royals
49440,19700813,8,Kansas City  Royals
49466,19700417,2,Kansas City  Royals
49467,19700418,-6,Kansas City  Royals
49468,19700419,3,Kansas City  Royals
49503,19700706,-4,Kansas City  Royals
49504,19700707,1,Kansas City  Royals
49505,19700708,-1,Kansas City  Royals
49528,19700901,4,Kansas City  Royals
49529,19700902,-2,Kansas City  Royals
49530,19700903,-1,Kansas City  Royals
49558,19700515,-6,Kansas City  Royals
49559,19700516,-5,Kansas City  Royals
49560,19700517,1,Kansas City  Royals
49561,19700517,4,Kansas City  Royals
49594,19700803,5,Kansas City  Royals
49595,19700804,-1,Kansas City  Royals
49619,19700921,-4,Kansas City  Royals
49620,19700921,6,Kansas City  Royals
49621,19700922,1,Kansas City  Royals
49622,19700922,4,Kansas City  Royals
49623,19700923,-6,Kansas City  Royals
49801,19700513,1,Kansas City  Royals
49833,19700724,3,Kansas City  Royals
49834,19700724,-3,Kansas City  Royals
49835,19700725,4,Kansas City  Royals
49836,19700726,-1,Kansas City  Royals
49837,19700726,-3,Kansas City  Royals
49877,19700508,6,Kansas City  Royals
49878,19700509,-3,Kansas City  Royals
49879,19700510,2,Kansas City  Royals
49920,19700728,1,Kansas City  Royals
49921,19700729,-7,Kansas City  Royals
49922,19700730,1,Kansas City  Royals
50194,19700416,2,Kansas City  Royals
50232,19700703,2,Kansas City  Royals
50233,19700703,1,Kansas City  Royals
50234,19700704,2,Kansas City  Royals
50235,19700705,-1,Kansas City  Royals
50266,19700917,-1,Kansas City  Royals
50267,19700918,-1,Kansas City  Royals
50268,19700919,3,Kansas City  Royals
50269,19700920,-1,Kansas City  Royals
50286,19700514,-3,Kansas City  Royals
50302,19700629,-1,Kansas City  Royals
50303,19700630,-3,Kansas City  Royals
50304,19700701,-1,Kansas City  Royals
50305,19700702,-3,Kansas City  Royals
50350,19700928,-1,Kansas City  Royals
50351,19700929,1,Kansas City  Royals
50352,19700930,-2,Kansas City  Royals
50353,19701001,-4,Kansas City  Royals
50454,19700602,-1,Kansas City  Royals
50455,19700603,-2,Kansas City  Royals
50456,19700604,-1,Kansas City  Royals
50490,19700814,-1,Kansas City  Royals
50491,19700815,-1,Kansas City  Royals
50492,19700816,-4,Kansas City  Royals
50605,19700420,2,Kansas City  Royals
50606,19700421,-1,Kansas City  Royals
50607,19700422,-1,Kansas City  Royals
50633,19700622,-1,Kansas City  Royals
50634,19700623,2,Kansas City  Royals
50635,19700624,-4,Kansas City  Royals
50666,19700904,-5,Kansas City  Royals
50667,19700905,-5,Kansas City  Royals
50668,19700906,-6,Kansas City  Royals
51108,19700529,-1,Kansas City  Royals
51109,19700530,-1,Kansas City  Royals
51110,19700531,1,Kansas City  Royals
51145,19700817,-7,Kansas City  Royals
51146,19700818,4,Kansas City  Royals
51147,19700819,1,Kansas City  Royals
51257,19710510,3,Kansas City  Royals
51258,19710511,-1,Kansas City  Royals
51259,19710512,-6,Kansas City  Royals
51294,19710730,-1,Kansas City  Royals
51295,19710731,-4,Kansas City  Royals
51346,19710531,4,Kansas City  Royals
51347,19710531,5,Kansas City  Royals
51348,19710601,2,Kansas City  Royals
51382,19710813,4,Kansas City  Royals
51383,19710814,5,Kansas City  Royals
51384,19710815,4,Kansas City  Royals
51401,19710406,3,Kansas City  Royals
51402,19710407,-4,Kansas City  Royals
51403,19710408,1,Kansas City  Royals
51436,19710628,3,Kansas City  Royals
51437,19710629,1,Kansas City  Royals
51439,19710630,-1,Kansas City  Royals
51440,19710701,5,Kansas City  Royals
51476,19710921,4,Kansas City  Royals
51477,19710922,7,Kansas City  Royals
51500,19710525,5,Kansas City  Royals
51501,19710526,-5,Kansas City  Royals
51511,19710621,-4,Kansas City  Royals
51512,19710622,-5,Kansas City  Royals
51513,19710623,-9,Kansas City  Royals
51547,19710903,2,Kansas City  Royals
51548,19710903,2,Kansas City  Royals
51549,19710904,2,Kansas City  Royals
51550,19710905,-8,Kansas City  Royals
51734,19710504,2,Kansas City  Royals
51735,19710505,2,Kansas City  Royals
51771,19710723,2,Kansas City  Royals
51772,19710724,5,Kansas City  Royals
51773,19710725,1,Kansas City  Royals
51774,19710725,-1,Kansas City  Royals
51814,19710507,-2,Kansas City  Royals
51815,19710508,-1,Kansas City  Royals
51816,19710509,4,Kansas City  Royals
51852,19710727,-1,Kansas City  Royals
51853,19710728,-1,Kansas City  Royals
51854,19710729,-1,Kansas City  Royals
52134,19710417,2,Kansas City  Royals
52135,19710418,1,Kansas City  Royals
52136,19710418,-1,Kansas City  Royals
52175,19710706,1,Kansas City  Royals
52176,19710707,-6,Kansas City  Royals
52177,19710708,-1,Kansas City  Royals
52200,19710831,2,Kansas City  Royals
52201,19710901,-1,Kansas City  Royals
52202,19710902,-1,Kansas City  Royals
52219,19710419,-1,Kansas City  Royals
52220,19710420,-1,Kansas City  Royals
52255,19710709,3,Kansas City  Royals
52256,19710711,-1,Kansas City  Royals
52257,19710711,-6,Kansas City  Royals
52282,19710917,1,Kansas City  Royals
52283,19710918,2,Kansas City  Royals
52284,19710919,-3,Kansas City  Royals
52285,19710919,3,Kansas City  Royals
52395,19710604,4,Kansas City  Royals
52396,19710605,4,Kansas City  Royals
52397,19710606,-3,Kansas City  Royals
52431,19710817,-2,Kansas City  Royals
52432,19710817,-3,Kansas City  Royals
52433,19710818,-2,Kansas City  Royals
52534,19710409,-5,Kansas City  Royals
52535,19710410,-1,Kansas City  Royals
52536,19710411,5,Kansas City  Royals
52563,19710625,-7,Kansas City  Royals
52564,19710626,-2,Kansas City  Royals
52565,19710627,-3,Kansas City  Royals
52566,19710627,3,Kansas City  Royals
52611,19710928,-1,Kansas City  Royals
52612,19710929,-1,Kansas City  Royals
53036,19710528,5,Kansas City  Royals
53068,19710810,7,Kansas City  Royals
53069,19710810,2,Kansas City  Royals
53070,19710811,1,Kansas City  Royals
53071,19710812,2,Kansas City  Royals
53072,19710812,-1,Kansas City  Royals
53179,19720505,-1,Kansas City  Royals
53180,19720506,8,Kansas City  Royals
53181,19720507,-1,Kansas City  Royals
53205,19720710,1,Kansas City  Royals
53206,19720711,-1,Kansas City  Royals
53207,19720712,7,Kansas City  Royals
53265,19720613,2,Kansas City  Royals
53266,19720614,-8,Kansas City  Royals
53267,19720615,4,Kansas City  Royals
53307,19720901,-1,Kansas City  Royals
53308,19720902,-2,Kansas City  Royals
53324,19720928,-2,Kansas City  Royals
53342,19720525,3,Kansas City  Royals
53343,19720526,-5,Kansas City  Royals
53344,19720527,-2,Kansas City  Royals
53345,19720528,-2,Kansas City  Royals
53373,19720730,-1,Kansas City  Royals
53374,19720731,1,Kansas City  Royals
53396,19720919,5,Kansas City  Royals
53397,19720920,7,Kansas City  Royals
53398,19720921,-2,Kansas City  Royals
53406,19720422,-1,Kansas City  Royals
53407,19720422,-1,Kansas City  Royals
53408,19720423,-1,Kansas City  Royals
53450,19720727,-4,Kansas City  Royals
53451,19720727,3,Kansas City  Royals
53452,19720728,-5,Kansas City  Royals
53453,19720729,-1,Kansas City  Royals
53480,19720926,1,Kansas City  Royals
53481,19720927,2,Kansas City  Royals
53642,19720509,-1,Kansas City  Royals
53643,19720510,-5,Kansas City  Royals
53668,19720707,3,Kansas City  Royals
53669,19720708,-1,Kansas City  Royals
53670,19720709,2,Kansas City  Royals
53671,19720709,3,Kansas City  Royals
53716,19720502,3,Kansas City  Royals
53717,19720503,-5,Kansas City  Royals
53749,19720713,-2,Kansas City  Royals
53750,19720714,1,Kansas City  Royals
53751,19720715,-2,Kansas City  Royals
53752,19720716,-2,Kansas City  Royals
54038,19720616,1,Kansas City  Royals
54039,19720617,3,Kansas City  Royals
54040,19720618,-3,Kansas City  Royals
54081,19720829,2,Kansas City  Royals
54082,19720830,4,Kansas City  Royals
54083,19720831,-4,Kansas City  Royals
54111,19720530,-1,Kansas City  Royals
54112,19720531,-1,Kansas City  Royals
54113,19720601,2,Kansas City  Royals
54126,19720629,2,Kansas City  Royals
54127,19720629,8,Kansas City  Royals
54128,19720630,-2,Kansas City  Royals
54161,19720915,-1,Kansas City  Royals
54162,19720916,-10,Kansas City  Royals
54163,19720917,4,Kansas City  Royals
54275,19720620,-2,Kansas City  Royals
54305,19720825,-3,Kansas City  Royals
54306,19720825,4,Kansas City  Royals
54307,19720826,3,Kansas City  Royals
54308,19720827,-1,Kansas City  Royals
54309,19720827,-1,Kansas City  Royals
54407,19720418,-1,Kansas City  Royals
54408,19720419,-4,Kansas City  Royals
54409,19720419,-2,Kansas City  Royals
54453,19720801,-4,Kansas City  Royals
54454,19720802,-5,Kansas City  Royals
54475,19720922,2,Kansas City  Royals
54476,19720923,-1,Kansas City  Royals
54477,19720924,2,Kansas City  Royals
54478,19720924,-1,Kansas City  Royals
54925,19720811,2,Kansas City  Royals
54926,19720812,-3,Kansas City  Royals
54927,19720813,-9,Kansas City  Royals
54937,19720904,1,Kansas City  Royals
54938,19720905,5,Kansas City  Royals
55051,19730612,-2,Kansas City  Royals
55052,19730613,2,Kansas City  Royals
55053,19730614,-5,Kansas City  Royals
55088,19730824,-6,Kansas City  Royals
55089,19730825,-6,Kansas City  Royals
55090,19730826,-9,Kansas City  Royals
55137,19730604,-6,Kansas City  Royals
55138,19730605,-7,Kansas City  Royals
55139,19730606,-1,Kansas City  Royals
55172,19730817,-2,Kansas City  Royals
55173,19730818,-3,Kansas City  Royals
55174,19730819,-1,Kansas City  Royals
55191,19730406,-1,Kansas City  Royals
55192,19730407,7,Kansas City  Royals
55193,19730408,1,Kansas City  Royals
55223,19730625,-3,Kansas City  Royals
55224,19730626,-1,Kansas City  Royals
55261,19730913,1,Kansas City  Royals
55262,19730914,-1,Kansas City  Royals
55263,19730915,-2,Kansas City  Royals
55264,19730916,4,Kansas City  Royals
55274,19730413,7,Kansas City  Royals
55275,19730414,3,Kansas City  Royals
55276,19730415,7,Kansas City  Royals
55322,19730731,1,Kansas City  Royals
55323,19730801,2,Kansas City  Royals
55324,19730802,2,Kansas City  Royals
55350,19730925,4,Kansas City  Royals
55351,19730926,4,Kansas City  Royals
55352,19730927,-1,Kansas City  Royals
55543,19730615,5,Kansas City  Royals
55544,19730616,3,Kansas City  Royals
55545,19730617,3,Kansas City  Royals
55546,19730617,4,Kansas City  Royals
55580,19730828,-1,Kansas City  Royals
55581,19730829,1,Kansas City  Royals
55600,19730427,3,Kansas City  Royals
55601,19730428,3,Kansas City  Royals
55602,19730429,-5,Kansas City  Royals
55641,19730716,8,Kansas City  Royals
55642,19730717,1,Kansas City  Royals
55643,19730718,-10,Kansas City  Royals
55929,19730504,2,Kansas City  Royals
55930,19730505,2,Kansas City  Royals
55931,19730506,-1,Kansas City  Royals
55961,19730709,7,Kansas City  Royals
55962,19730710,2,Kansas City  Royals
55963,19730711,-7,Kansas City  Royals
56015,19730522,-1,Kansas City  Royals
56016,19730523,-2,Kansas City  Royals
56017,19730524,-2,Kansas City  Royals
56018,19730525,1,Kansas City  Royals
56035,19730704,1,Kansas City  Royals
56036,19730705,2,Kansas City  Royals
56055,19730803,2,Kansas City  Royals
56056,19730804,2,Kansas City  Royals
56057,19730805,-6,Kansas City  Royals
56172,19730501,-5,Kansas City  Royals
56173,19730502,1,Kansas City  Royals
56207,19730712,-7,Kansas City  Royals
56208,19730713,-5,Kansas City  Royals
56209,19730714,2,Kansas City  Royals
56210,19730715,-2,Kansas City  Royals
56339,19730518,-1,Kansas City  Royals
56340,19730519,3,Kansas City  Royals
56341,19730520,6,Kansas City  Royals
56342,19730521,-5,Kansas City  Royals
56357,19730627,-1,Kansas City  Royals
56358,19730628,-1,Kansas City  Royals
56391,19730910,-13,Kansas City  Royals
56392,19730911,-2,Kansas City  Royals
56393,19730912,5,Kansas City  Royals
56825,19730516,-1,Kansas City  Royals
56826,19730517,5,Kansas City  Royals
56843,19730629,-3,Kansas City  Royals
56844,19730630,5,Kansas City  Royals
56845,19730630,2,Kansas City  Royals
56846,19730701,-5,Kansas City  Royals
56888,19730928,-1,Kansas City  Royals
56889,19730929,6,Kansas City  Royals
56890,19730930,-3,Kansas City  Royals
