,game_dt,s,team_name
24991,19530503,-1,Milwaukee  Braves
24992,19530504,5,Milwaukee  Braves
25001,19530602,1,Milwaukee  Braves
25002,19530603,5,Milwaukee  Braves
25003,19530604,-5,Milwaukee  Braves
25032,19530724,5,Milwaukee  Braves
25033,19530725,-7,Milwaukee  Braves
25034,19530726,-1,Milwaukee  Braves
25035,19530726,-1,Milwaukee  Braves
25052,19530902,1,Milwaukee  Braves
25053,19530903,5,Milwaukee  Braves
25139,19530422,9,Milwaukee  Braves
25140,19530423,-4,Milwaukee  Braves
25147,19530523,2,Milwaukee  Braves
25148,19530524,1,Milwaukee  Braves
25149,19530524,-3,Milwaukee  Braves
25188,19530814,-7,Milwaukee  Braves
25189,19530815,2,Milwaukee  Braves
25190,19530816,2,Milwaukee  Braves
25191,19530816,4,Milwaukee  Braves
25195,19530907,-1,Milwaukee  Braves
25196,19530907,-2,Milwaukee  Braves
25208,19530413,2,Milwaukee  Braves
25209,19530417,-1,Milwaukee  Braves
25225,19530531,-2,Milwaukee  Braves
25226,19530531,2,Milwaukee  Braves
25243,19530630,-3,Milwaukee  Braves
25244,19530630,2,Milwaukee  Braves
25245,19530701,8,Milwaukee  Braves
25271,19530818,6,Milwaukee  Braves
25272,19530819,1,Milwaukee  Braves
25284,19530926,-3,Milwaukee  Braves
25285,19530927,6,Milwaukee  Braves
25516,19530428,3,Milwaukee  Braves
25517,19530429,1,Milwaukee  Braves
25518,19530430,-1,Milwaukee  Braves
25537,19530608,4,Milwaukee  Braves
25538,19530609,2,Milwaukee  Braves
25539,19530610,1,Milwaukee  Braves
25540,19530611,-2,Milwaukee  Braves
25553,19530719,-2,Milwaukee  Braves
25554,19530719,1,Milwaukee  Braves
25574,19530828,2,Milwaukee  Braves
25575,19530829,-3,Milwaukee  Braves
25756,19530501,3,Milwaukee  Braves
25767,19530605,1,Milwaukee  Braves
25768,19530606,-4,Milwaukee  Braves
25769,19530607,6,Milwaukee  Braves
25770,19530607,2,Milwaukee  Braves
25793,19530721,-10,Milwaukee  Braves
25794,19530721,4,Milwaukee  Braves
25795,19530722,-3,Milwaukee  Braves
25806,19530825,-5,Milwaukee  Braves
25807,19530825,4,Milwaukee  Braves
25808,19530826,-1,Milwaukee  Braves
25848,19530612,9,Milwaukee  Braves
25849,19530613,1,Milwaukee  Braves
25857,19530718,1,Milwaukee  Braves
25956,19530529,-4,Milwaukee  Braves
25957,19530530,3,Milwaukee  Braves
25958,19530530,2,Milwaukee  Braves
25972,19530710,3,Milwaukee  Braves
25973,19530712,9,Milwaukee  Braves
25974,19530712,1,Milwaukee  Braves
26003,19530922,1,Milwaukee  Braves
26004,19530923,1,Milwaukee  Braves
26239,19540511,2,Milwaukee  Braves
26240,19540512,4,Milwaukee  Braves
26255,19540615,1,Milwaukee  Braves
26256,19540616,-4,Milwaukee  Braves
26257,19540617,2,Milwaukee  Braves
26279,19540730,6,Milwaukee  Braves
26280,19540731,8,Milwaukee  Braves
26281,19540801,8,Milwaukee  Braves
26282,19540802,-1,Milwaukee  Braves
26300,19540910,-1,Milwaukee  Braves
26301,19540911,-2,Milwaukee  Braves
26398,19540521,2,Milwaukee  Braves
26399,19540522,4,Milwaukee  Braves
26400,19540522,2,Milwaukee  Braves
26401,19540523,2,Milwaukee  Braves
26402,19540523,6,Milwaukee  Braves
26422,19540706,11,Milwaukee  Braves
26423,19540707,1,Milwaukee  Braves
26424,19540708,-1,Milwaukee  Braves
26441,19540820,-2,Milwaukee  Braves
26442,19540821,-3,Milwaukee  Braves
26443,19540822,6,Milwaukee  Braves
26458,19540413,-1,Milwaukee  Braves
26476,19540525,2,Milwaukee  Braves
26477,19540526,1,Milwaukee  Braves
26494,19540709,-2,Milwaukee  Braves
26495,19540710,-4,Milwaukee  Braves
26496,19540711,-1,Milwaukee  Braves
26497,19540711,1,Milwaukee  Braves
26528,19540903,1,Milwaukee  Braves
26529,19540904,1,Milwaukee  Braves
26530,19540905,3,Milwaukee  Braves
26531,19540905,2,Milwaukee  Braves
26773,19540516,1,Milwaukee  Braves
26774,19540516,-7,Milwaukee  Braves
26790,19540622,-1,Milwaukee  Braves
26791,19540623,3,Milwaukee  Braves
26792,19540624,-1,Milwaukee  Braves
26814,19540806,1,Milwaukee  Braves
26815,19540807,2,Milwaukee  Braves
26816,19540808,3,Milwaukee  Braves
26832,19540914,-1,Milwaukee  Braves
26833,19540916,-4,Milwaukee  Braves
26834,19540916,-4,Milwaukee  Braves
27005,19540518,4,Milwaukee  Braves
27020,19540625,7,Milwaukee  Braves
27021,19540626,-7,Milwaukee  Braves
27022,19540627,-1,Milwaukee  Braves
27023,19540627,-1,Milwaukee  Braves
27034,19540803,2,Milwaukee  Braves
27035,19540804,-1,Milwaukee  Braves
27052,19540912,-3,Milwaukee  Braves
27053,19540912,1,Milwaukee  Braves
27054,19540913,3,Milwaukee  Braves
27073,19540515,-5,Milwaukee  Braves
27083,19540618,-1,Milwaukee  Braves
27084,19540619,9,Milwaukee  Braves
27085,19540620,-1,Milwaukee  Braves
27086,19540620,-3,Milwaukee  Braves
27097,19540728,2,Milwaukee  Braves
27098,19540729,2,Milwaukee  Braves
27111,19540908,3,Milwaukee  Braves
27120,19540423,2,Milwaukee  Braves
27121,19540424,-4,Milwaukee  Braves
27122,19540425,-1,Milwaukee  Braves
27147,19540705,2,Milwaukee  Braves
27148,19540705,6,Milwaukee  Braves
27162,19540810,11,Milwaukee  Braves
27163,19540811,1,Milwaukee  Braves
27164,19540812,2,Milwaukee  Braves
27180,19540919,-1,Milwaukee  Braves
27425,19550501,-1,Milwaukee  Braves
27426,19550502,-2,Milwaukee  Braves
27435,19550601,-3,Milwaukee  Braves
