,game_dt,s,team_name
4,19210425,-3,New York  Giants
5,19210426,-2,New York  Giants
6,19210427,-1,New York  Giants
7,19210428,-1,New York  Giants
11,19210508,-2,New York  Giants
66,19210901,-4,New York  Giants
67,19210903,4,New York  Giants
72,19210911,8,New York  Giants
74,19211002,-3,New York  Giants
79,19210419,8,New York  Giants
80,19210420,4,New York  Giants
88,19210526,2,New York  Giants
89,19210526,-1,New York  Giants
90,19210527,1,New York  Giants
95,19210629,-1,New York  Giants
140,19210615,4,New York  Giants
141,19210616,-1,New York  Giants
142,19210617,-1,New York  Giants
143,19210618,7,New York  Giants
144,19210619,8,New York  Giants
163,19210806,-3,New York  Giants
164,19210808,3,New York  Giants
165,19210809,-1,New York  Giants
175,19210920,-1,New York  Giants
176,19210921,2,New York  Giants
202,19210607,-6,New York  Giants
203,19210610,-2,New York  Giants
217,19210729,3,New York  Giants
218,19210730,-7,New York  Giants
219,19210731,-1,New York  Giants
220,19210801,1,New York  Giants
233,19210913,1,New York  Giants
234,19210914,9,New York  Giants
325,19210413,2,New York  Giants
326,19210414,8,New York  Giants
327,19210416,-6,New York  Giants
349,19210624,9,New York  Giants
350,19210625,5,New York  Giants
351,19210625,13,New York  Giants
352,19210627,-4,New York  Giants
389,19210907,5,New York  Giants
390,19210907,9,New York  Giants
391,19211001,-1,New York  Giants
406,19210602,7,New York  Giants
407,19210603,3,New York  Giants
408,19210604,12,New York  Giants
409,19210606,-1,New York  Giants
429,19210725,-3,New York  Giants
430,19210726,1,New York  Giants
431,19210727,3,New York  Giants
432,19210728,2,New York  Giants
458,19210916,5,New York  Giants
459,19210917,5,New York  Giants
460,19210919,-1,New York  Giants
480,19210804,-1,New York  Giants
485,19210925,3,New York  Giants
486,19210926,3,New York  Giants
527,19220421,3,New York  Giants
528,19220422,-2,New York  Giants
529,19220423,4,New York  Giants
541,19220604,1,New York  Giants
572,19220811,5,New York  Giants
573,19220812,6,New York  Giants
574,19220812,2,New York  Giants
576,19220830,-7,New York  Giants
577,19220901,-1,New York  Giants
580,19220910,6,New York  Giants
598,19220428,4,New York  Giants
599,19220429,11,New York  Giants
600,19220501,7,New York  Giants
601,19220502,3,New York  Giants
602,19220601,-2,New York  Giants
603,19220602,-4,New York  Giants
604,19220603,-1,New York  Giants
634,19220905,-6,New York  Giants
635,19220905,-2,New York  Giants
636,19220906,0,New York  Giants
726,19220513,-3,New York  Giants
727,19220514,1,New York  Giants
728,19220515,1,New York  Giants
729,19220516,-1,New York  Giants
753,19220711,4,New York  Giants
754,19220712,4,New York  Giants
755,19220713,-1,New York  Giants
756,19220714,-4,New York  Giants
770,19220819,-1,New York  Giants
771,19220820,1,New York  Giants
806,19220521,-4,New York  Giants
807,19220522,-5,New York  Giants
808,19220523,-1,New York  Giants
809,19220524,1,New York  Giants
832,19220719,3,New York  Giants
833,19220720,4,New York  Giants
834,19220721,-2,New York  Giants
835,19220722,-1,New York  Giants
836,19220723,3,New York  Giants
844,19220822,4,New York  Giants
845,19220824,1,New York  Giants
1186,19220424,1,New York  Giants
1187,19220425,6,New York  Giants
1188,19220426,-2,New York  Giants
1189,19220427,5,New York  Giants
1196,19220529,-2,New York  Giants
1197,19220530,-1,New York  Giants
1198,19220530,9,New York  Giants
1199,19220531,-2,New York  Giants
1225,19220907,7,New York  Giants
1226,19220908,-4,New York  Giants
1227,19220909,1,New York  Giants
1255,19220520,-3,New York  Giants
1263,19220706,3,New York  Giants
1277,19220707,1,New York  Giants
1278,19220708,-2,New York  Giants
1279,19220710,17,New York  Giants
1280,19220710,-1,New York  Giants
1290,19220724,-1,New York  Giants
1291,19220724,7,New York  Giants
1295,19220815,-4,New York  Giants
1296,19220816,1,New York  Giants
1297,19220817,3,New York  Giants
1357,19220509,6,New York  Giants
1358,19220510,1,New York  Giants
1359,19220511,-2,New York  Giants
1360,19220512,-1,New York  Giants
1458,19250418,6,New York  Giants
1459,19250419,1,New York  Giants
1480,19250531,2,New York  Giants
1481,19250601,4,New York  Giants
1482,19250602,-1,New York  Giants
1486,19250703,-3,New York  Giants
1487,19250704,-8,New York  Giants
1488,19250704,-2,New York  Giants
1504,19250726,-3,New York  Giants
1529,19250927,-1,New York  Giants
1530,19250928,2,New York  Giants
1532,19250414,-1,New York  Giants
1533,19250416,7,New York  Giants
1534,19250417,2,New York  Giants
1552,19250526,-3,New York  Giants
1553,19250526,-1,New York  Giants
1554,19250527,-2,New York  Giants
1555,19250528,2,New York  Giants
1573,19250723,-3,New York  Giants
1574,19250723,2,New York  Giants
1575,19250724,-2,New York  Giants
1576,19250725,1,New York  Giants
1671,19250608,-6,New York  Giants
1672,19250609,2,New York  Giants
1673,19250610,2,New York  Giants
1674,19250611,-3,New York  Giants
1694,19250728,7,New York  Giants
1695,19250729,-2,New York  Giants
1696,19250730,2,New York  Giants
1697,19250731,1,New York  Giants
1716,19250918,5,New York  Giants
1717,19250919,-4,New York  Giants
1755,19250617,-1,New York  Giants
1756,19250618,1,New York  Giants
1757,19250619,1,New York  Giants
1758,19250620,-2,New York  Giants
1759,19250621,1,New York  Giants
1774,19250806,-8,New York  Giants
1775,19250807,-1,New York  Giants
1776,19250808,-6,New York  Giants
1777,19250809,1,New York  Giants
1787,19250915,3,New York  Giants
1788,19250916,1,New York  Giants
2133,19250504,10,New York  Giants
2134,19250505,-8,New York  Giants
2135,19250507,3,New York  Giants
2154,19250701,2,New York  Giants
2155,19250701,9,New York  Giants
2181,19250902,-3,New York  Giants
2182,19250902,15,New York  Giants
2183,19250904,1,New York  Giants
2184,19250905,4,New York  Giants
2188,19251003,-7,New York  Giants
2189,19251003,-3,New York  Giants
2210,19250612,-4,New York  Giants
2211,19250613,-2,New York  Giants
2212,19250615,-1,New York  Giants
2213,19250616,-2,New York  Giants
2241,19250810,1,New York  Giants
2242,19250811,-3,New York  Giants
2243,19250812,-2,New York  Giants
2244,19250813,3,New York  Giants
2264,19250924,4,New York  Giants
2265,19250926,1,New York  Giants
2266,19250926,3,New York  Giants
2333,19250604,1,New York  Giants
2334,19250605,6,New York  Giants
2335,19250606,-3,New York  Giants
2357,19250801,4,New York  Giants
2358,19250804,-2,New York  Giants
2373,19250923,-8,New York  Giants
2471,19270426,5,New York  Giants
2486,19270527,-4,New York  Giants
2487,19270528,4,New York  Giants
2515,19270930,-5,New York  Giants
2516,19271001,5,New York  Giants
2521,19270416,1,New York  Giants
2522,19270418,1,New York  Giants
2523,19270419,-4,New York  Giants
2524,19270419,-1,New York  Giants
2537,19270630,-5,New York  Giants
2538,19270630,5,New York  Giants
2539,19270701,-1,New York  Giants
2540,19270701,3,New York  Giants
2541,19270702,3,New York  Giants
2542,19270702,-1,New York  Giants
2545,19330606,5,New York  Giants
2664,19270611,-1,New York  Giants
2665,19270613,-4,New York  Giants
2666,19270614,-1,New York  Giants
2676,19270727,2,New York  Giants
2677,19270728,1,New York  Giants
2678,19270729,-1,New York  Giants
2691,19270909,5,New York  Giants
2692,19270910,-1,New York  Giants
2693,19270912,2,New York  Giants
2723,19270602,1,New York  Giants
2724,19270603,6,New York  Giants
2725,19270604,-4,New York  Giants
2726,19270605,-1,New York  Giants
2756,19270804,3,New York  Giants
2757,19270805,-3,New York  Giants
2770,19270917,4,New York  Giants
2771,19270917,1,New York  Giants
2772,19270918,-7,New York  Giants
2773,19270918,2,New York  Giants
2774,19270919,4,New York  Giants
3128,19270412,8,New York  Giants
3129,19270414,-3,New York  Giants
3130,19270415,3,New York  Giants
3151,19270624,-1,New York  Giants
3152,19270625,3,New York  Giants
3153,19270627,-6,New York  Giants
3154,19270628,-4,New York  Giants
3196,19270926,-7,New York  Giants
3197,19270927,4,New York  Giants
3198,19270928,1,New York  Giants
3218,19270607,-3,New York  Giants
3219,19270608,1,New York  Giants
3220,19270609,11,New York  Giants
3221,19270610,-9,New York  Giants
3250,19270806,7,New York  Giants
3251,19270809,-1,New York  Giants
3252,19270810,5,New York  Giants
