,game_dt,s,team_name
123111,20050613,-10,Washington  Nationals
123112,20050614,3,Washington  Nationals
123113,20050615,1,Washington  Nationals
123185,20050509,1,Washington  Nationals
123186,20050510,-1,Washington  Nationals
123187,20050511,-1,Washington  Nationals
123250,20050411,-9,Washington  Nationals
123251,20050412,1,Washington  Nationals
123252,20050413,7,Washington  Nationals
123290,20050726,-1,Washington  Nationals
123291,20050727,-1,Washington  Nationals
123292,20050728,-1,Washington  Nationals
123309,20050830,1,Washington  Nationals
123310,20050831,-2,Washington  Nationals
123311,20050831,1,Washington  Nationals
123312,20050901,-1,Washington  Nationals
123610,20050701,1,Washington  Nationals
123611,20050702,2,Washington  Nationals
123612,20050703,1,Washington  Nationals
123674,20050523,-2,Washington  Nationals
123675,20050524,-1,Washington  Nationals
123676,20050525,-9,Washington  Nationals
123874,20050812,2,Washington  Nationals
123875,20050813,8,Washington  Nationals
123876,20050814,7,Washington  Nationals
123980,20050408,-9,Washington  Nationals
123981,20050409,1,Washington  Nationals
123982,20050410,-8,Washington  Nationals
124027,20050729,-1,Washington  Nationals
124028,20050730,-3,Washington  Nationals
124029,20050731,2,Washington  Nationals
124052,20050926,4,Washington  Nationals
124053,20050927,10,Washington  Nationals
124054,20050928,4,Washington  Nationals
124109,20050809,1,Washington  Nationals
124110,20050810,-1,Washington  Nationals
124111,20050811,-3,Washington  Nationals
124231,20050502,4,Washington  Nationals
124232,20050503,-2,Washington  Nationals
124233,20050504,3,Washington  Nationals
124340,20050714,-2,Washington  Nationals
124341,20050715,-1,Washington  Nationals
124342,20050716,2,Washington  Nationals
124343,20050717,-2,Washington  Nationals
124550,20050422,-2,Washington  Nationals
124551,20050423,-5,Washington  Nationals
124552,20050424,7,Washington  Nationals
124606,20050819,-1,Washington  Nationals
124607,20050820,-1,Washington  Nationals
124608,20050821,3,Washington  Nationals
124612,20050913,2,Washington  Nationals
124613,20050914,3,Washington  Nationals
124614,20050915,1,Washington  Nationals
124706,20050404,-4,Washington  Nationals
124707,20050406,4,Washington  Nationals
124708,20050407,1,Washington  Nationals
124748,20050708,1,Washington  Nationals
124749,20050709,-1,Washington  Nationals
124750,20050710,-1,Washington  Nationals
124767,20050815,3,Washington  Nationals
124768,20050817,-1,Washington  Nationals
124769,20050818,-1,Washington  Nationals
124770,20050818,1,Washington  Nationals
124820,20050620,3,Washington  Nationals
124821,20050621,-7,Washington  Nationals
124822,20050622,1,Washington  Nationals
124939,20050916,4,Washington  Nationals
124940,20050917,-3,Washington  Nationals
124941,20050918,-1,Washington  Nationals
125044,20050506,6,Washington  Nationals
125045,20050507,3,Washington  Nationals
125046,20050508,-1,Washington  Nationals
125135,20050527,-3,Washington  Nationals
125136,20050528,-2,Washington  Nationals
125137,20050529,1,Washington  Nationals
125305,20050617,-7,Washington  Nationals
125306,20050618,-3,Washington  Nationals
125307,20050619,6,Washington  Nationals
125371,20050520,-5,Washington  Nationals
125372,20050521,-7,Washington  Nationals
125373,20050522,7,Washington  Nationals
125668,20060911,1,Washington  Nationals
125669,20060912,1,Washington  Nationals
125670,20060913,-2,Washington  Nationals
125689,20060512,-4,Washington  Nationals
125690,20060513,-3,Washington  Nationals
125691,20060514,7,Washington  Nationals
125703,20060605,1,Washington  Nationals
125704,20060606,-2,Washington  Nationals
125705,20060607,3,Washington  Nationals
125737,20060825,1,Washington  Nationals
125738,20060826,-9,Washington  Nationals
125739,20060827,-7,Washington  Nationals
125798,20060623,-1,Washington  Nationals
125799,20060624,-1,Washington  Nationals
125800,20060625,4,Washington  Nationals
125868,20060619,-3,Washington  Nationals
125869,20060620,-8,Washington  Nationals
125870,20060621,-6,Washington  Nationals
126019,20060516,-4,Washington  Nationals
126020,20060517,-5,Washington  Nationals
126021,20060518,2,Washington  Nationals
126097,20060509,6,Washington  Nationals
126098,20060510,-3,Washington  Nationals
126099,20060511,-1,Washington  Nationals
126312,20060907,-5,Washington  Nationals
126313,20060908,-3,Washington  Nationals
126314,20060909,-4,Washington  Nationals
126315,20060910,-4,Washington  Nationals
126410,20060414,-2,Washington  Nationals
126411,20060415,1,Washington  Nationals
126412,20060416,2,Washington  Nationals
126449,20060717,-2,Washington  Nationals
126450,20060718,1,Washington  Nationals
126451,20060719,-1,Washington  Nationals
126465,20060821,-2,Washington  Nationals
126466,20060822,-2,Washington  Nationals
126467,20060823,-2,Washington  Nationals
126491,20060407,-5,Washington  Nationals
126492,20060408,4,Washington  Nationals
126493,20060409,-4,Washington  Nationals
126494,20060410,-1,Washington  Nationals
126702,20060728,-12,Washington  Nationals
126703,20060729,-2,Washington  Nationals
126704,20060730,-1,Washington  Nationals
126757,20060602,6,Washington  Nationals
126758,20060603,1,Washington  Nationals
126759,20060604,4,Washington  Nationals
126974,20060403,-1,Washington  Nationals
126975,20060405,4,Washington  Nationals
126976,20060406,-5,Washington  Nationals
126985,20060501,-1,Washington  Nationals
126986,20060502,4,Washington  Nationals
127051,20060922,1,Washington  Nationals
127052,20060923,-6,Washington  Nationals
127053,20060924,4,Washington  Nationals
127054,20060925,4,Washington  Nationals
127142,20060418,7,Washington  Nationals
127143,20060419,-1,Washington  Nationals
127144,20060420,6,Washington  Nationals
127165,20060529,-9,Washington  Nationals
127166,20060530,-2,Washington  Nationals
127167,20060531,1,Washington  Nationals
127201,20060818,2,Washington  Nationals
127202,20060819,-9,Washington  Nationals
127203,20060820,-2,Washington  Nationals
127261,20060714,-3,Washington  Nationals
127262,20060715,-1,Washington  Nationals
127263,20060716,4,Washington  Nationals
127354,20060804,4,Washington  Nationals
127355,20060805,-3,Washington  Nationals
127356,20060806,-1,Washington  Nationals
127513,20060731,3,Washington  Nationals
127514,20060801,3,Washington  Nationals
127515,20060802,-2,Washington  Nationals
127553,20060427,-4,Washington  Nationals
127554,20060428,5,Washington  Nationals
127555,20060429,-1,Washington  Nationals
127556,20060430,-7,Washington  Nationals
127823,20060627,-6,Washington  Nationals
127824,20060628,-5,Washington  Nationals
127825,20060629,-4,Washington  Nationals
128083,20070810,-7,Washington  Nationals
128084,20070811,-1,Washington  Nationals
